"Status","Year","Profession_of_post","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Analysis","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Analysis","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Analysis","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Analysis","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Analysis","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","East Midlands (England)","120","110","42940","41650"
"In post","2021","Commercial","Commercial","East of England","230","220","39160","35760"
"In post","2021","Commercial","Commercial","London","700","680","47510","42470"
"In post","2021","Commercial","Commercial","North East (England)","70","70","45820","41100"
"In post","2021","Commercial","Commercial","North West (England)","460","450","38480","35760"
"In post","2021","Commercial","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Overseas","40","30","[c]","[c]"
"In post","2021","Commercial","Commercial","Scotland","280","270","35600","33930"
"In post","2021","Commercial","Commercial","South East (England)","430","410","38370","36390"
"In post","2021","Commercial","Commercial","South West (England)","910","870","40130","38200"
"In post","2021","Commercial","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Wales","330","310","34880","31640"
"In post","2021","Commercial","Commercial","West Midlands (England)","210","200","39620","38000"
"In post","2021","Commercial","Commercial","Yorkshire and The Humber","320","310","40400","37100"
"In post","2021","Commercial","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Digital, Data & Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Internal Audit","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","No function","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","No function","London","110","110","52220","54110"
"In post","2021","Commercial","No function","North East (England)","40","40","[c]","[c]"
"In post","2021","Commercial","No function","North West (England)","40","30","[c]","[c]"
"In post","2021","Commercial","No function","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","No function","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","No function","West Midlands (England)","30","30","[c]","[c]"
"In post","2021","Commercial","No function","Yorkshire and The Humber","50","50","39580","36780"
"In post","2021","Commercial","Project Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","South East (England)","30","30","[c]","[c]"
"In post","2021","Commercial","Project Delivery","South West (England)","740","710","38660","34770"
"In post","2021","Commercial","Project Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","South West (England)","30","30","[c]","[c]"
"In post","2021","Commercial","Property","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","London","60","60","42660","43180"
"In post","2021","Commercial","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Analysis","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Analysis","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","East Midlands (England)","100","100","36620","34570"
"In post","2021","Communications","Communications","East of England","90","90","34140","31810"
"In post","2021","Communications","Communications","London","1790","1750","46170","42130"
"In post","2021","Communications","Communications","North East (England)","120","110","33590","31810"
"In post","2021","Communications","Communications","North West (England)","190","180","36540","33710"
"In post","2021","Communications","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Scotland","70","60","38380","36720"
"In post","2021","Communications","Communications","South East (England)","290","280","33380","31810"
"In post","2021","Communications","Communications","South West (England)","290","280","35380","33300"
"In post","2021","Communications","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Wales","190","180","35150","31020"
"In post","2021","Communications","Communications","West Midlands (England)","130","120","38570","36510"
"In post","2021","Communications","Communications","Yorkshire and The Humber","120","120","41760","38180"
"In post","2021","Communications","Digital, Data & Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Legal","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","London","90","90","43740","40220"
"In post","2021","Communications","No function","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","London","170","160","49560","44220"
"In post","2021","Communications","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Wales","160","150","39030","37410"
"In post","2021","Communications","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Analysis","London","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","London","50","50","54740","52230"
"In post","2021","Corporate Finance","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","South West (England)","[c]","[c]","[c]","[c]"
