"Status","Year","Age","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barking & Dagenham and Havering","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barking & Dagenham and Havering","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnsley, Doncaster and Rotherham","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnsley, Doncaster and Rotherham","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","80","80","17940","17780"
"In post","2021","16-19","Bedford","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedford","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Belfast","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Belfast","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Blackburn with Darwen","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Blackburn with Darwen","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Blackpool","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Blackpool","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bradford","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bradford","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Breckland and South Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Breckland and South Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brent","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brent","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bridgend and Neath Port Talbot","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bridgend and Neath Port Talbot","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brighton and Hove","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brighton and Hove","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bristol, City of","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bristol, City of","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Buckinghamshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Buckinghamshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Calderdale and Kirklees","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Calderdale and Kirklees","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cambridgeshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cambridgeshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Camden and City of London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Camden and City of London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cardiff and Vale of Glamorgan","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cardiff and Vale of Glamorgan","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Bedfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Bedfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Hampshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Hampshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Valleys","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire East","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire East","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire West and Chester","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire West and Chester","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chorley and West Lancashire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chorley and West Lancashire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","City of Edinburgh","Female","50","50","[c]","[c]"
"In post","2021","16-19","City of Edinburgh","Male","40","30","[c]","[c]"
"In post","2021","16-19","Clackmannanshire and Fife","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Clackmannanshire and Fife","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Coventry","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Coventry","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Croydon","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Croydon","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derby","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derby","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon CC","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon CC","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dudley","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dudley","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dumfries and Galloway","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dumfries and Galloway","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Durham CC","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Durham CC","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ealing","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ealing","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Ayrshire and North Ayrshire mainland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Ayrshire and North Ayrshire mainland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Kent","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Kent","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Riding of Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Riding of Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Surrey","Female","[c]","[c]","[c]","[c]"
