"Status","Year","Responsibility_level","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Attorney General's Departments","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Operational Delivery","1440","1310","22250","21950"
"In post","2021","AA/AO","Attorney General's Departments","Other","50","50","23720","23800"
"In post","2021","AA/AO","Attorney General's Departments","Policy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","Other","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","Unknown","550","510","21780","20920"
"In post","2021","AA/AO","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chancellor's other departments","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chancellor's other departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chancellor's other departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chancellor's other departments","Other","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chancellor's other departments","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Other","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Economics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Economics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Finance","30","30","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Operational Delivery","1250","1140","21300","20880"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Other","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Policy","40","40","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Science and Engineering","70","70","24590","24660"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Statistics","[c]","[c]","[c]","[c]"
