"Status","Year","Age","Responsibility_level","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","AA/AO","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Brent","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Cardiff and Vale of Glamorgan","30","30","[c]","[c]"
"In post","2021","16-19","AA/AO","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","City of Edinburgh","80","80","20940","20850"
"In post","2021","16-19","AA/AO","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Derby","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Dudley","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","East Surrey","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Glasgow City","30","30","[c]","[c]"
"In post","2021","16-19","AA/AO","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Lambeth","[c]","[c]","[c]","[c]"
