"Status","Year","Profession_of_post","Sexual_orientation","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Heterosexual / straight","AA/AO","160","150","22630","21590"
"In post","2021","Commercial","Heterosexual / straight","EO","510","490","25970","26400"
"In post","2021","Commercial","Heterosexual / straight","G6/G7","700","680","60090","57530"
"In post","2021","Commercial","Heterosexual / straight","SCS","70","70","90420","83090"
"In post","2021","Commercial","Heterosexual / straight","SEO/HEO","2170","2100","37790","37100"
"In post","2021","Commercial","Heterosexual / straight","Unknown","170","160","38820","37400"
"In post","2021","Commercial","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","EO","30","30","[c]","[c]"
"In post","2021","Commercial","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","SEO/HEO","90","90","35600","34710"
"In post","2021","Commercial","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","AA/AO","30","30","[c]","[c]"
"In post","2021","Commercial","Undeclared","EO","70","60","26510","26700"
"In post","2021","Commercial","Undeclared","G6/G7","80","80","61720","57860"
"In post","2021","Commercial","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","SEO/HEO","290","280","38510","38560"
"In post","2021","Commercial","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","AA/AO","70","70","22640","21980"
"In post","2021","Commercial","Unknown","EO","100","100","25730","25890"
"In post","2021","Commercial","Unknown","G6/G7","220","210","54570","52340"
"In post","2021","Commercial","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","SEO/HEO","490","480","36960","37400"
"In post","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","AA/AO","150","150","22340","21590"
"In post","2021","Communications","Heterosexual / straight","EO","400","380","27420","26930"
"In post","2021","Communications","Heterosexual / straight","G6/G7","600","580","58280","57270"
"In post","2021","Communications","Heterosexual / straight","SCS","80","80","86670","81370"
"In post","2021","Communications","Heterosexual / straight","SEO/HEO","1340","1300","37870","37410"
"In post","2021","Communications","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","G6/G7","50","50","59100","57440"
"In post","2021","Communications","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","SEO/HEO","110","110","38550","38610"
"In post","2021","Communications","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","AA/AO","40","30","[c]","[c]"
"In post","2021","Communications","Undeclared","EO","50","40","[c]","[c]"
"In post","2021","Communications","Undeclared","G6/G7","60","60","56100","55590"
"In post","2021","Communications","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","SEO/HEO","160","150","38330","37600"
"In post","2021","Communications","Unknown","AA/AO","40","30","[c]","[c]"
"In post","2021","Communications","Unknown","EO","160","160","27450","27270"
"In post","2021","Communications","Unknown","G6/G7","230","220","57830","55210"
