"Status","Year","Region_ITL2","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Communications","East of England","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Counter Fraud","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data and Technology","East of England","70","70","35900","34770"
"In post","2021","Bedfordshire and Hertfordshire","Finance","East of England","100","100","43570","37640"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","East of England","50","50","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Intelligence Analysis","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Internal Audit","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Knowledge and Information Management","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Legal","East of England","120","110","52540","51290"
"In post","2021","Bedfordshire and Hertfordshire","Medicine","East of England","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","East of England","2060","1930","29770","27850"
"In post","2021","Bedfordshire and Hertfordshire","Other","East of England","180","170","27670","25390"
"In post","2021","Bedfordshire and Hertfordshire","Policy","East of England","50","50","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","East of England","150","140","41830","39890"
"In post","2021","Bedfordshire and Hertfordshire","Property","East of England","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Psychology","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Science and Engineering","East of England","220","210","47290","43370"
"In post","2021","Bedfordshire and Hertfordshire","Security","East of England","80","80","25590","22650"
"In post","2021","Bedfordshire and Hertfordshire","Statistics","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Tax","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","East of England","1240","1140","29520","29290"
"In post","2021","Bedfordshire and Hertfordshire","Veterinarian","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","South East (England)","180","180","39050","37070"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","South East (England)","80","80","32450","31200"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","South East (England)","250","240","41480","37910"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Economics","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","South East (England)","300","290","38460","35000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","South East (England)","130","130","39100","35300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Intelligence Analysis","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","International Trade","South East (England)","60","60","43390","38540"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Knowledge and Information Management","South East (England)","90","90","36440","33910"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","South East (England)","220","190","47270","50520"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Medicine","South East (England)","130","110","51810","38190"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","South East (England)","3420","3240","29480","27850"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Research","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Other","South East (England)","920","890","26790","22500"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Planning","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Policy","South East (England)","80","80","40890","38160"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","South East (England)","360","350","40080","35300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","South East (England)","360","350","34170","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Psychology","South East (England)","100","90","36680","31180"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Science and Engineering","South East (England)","320","310","42840","40040"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","South East (England)","970","960","34320","33390"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Statistics","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Tax","South East (England)","180","160","37540","35000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","South East (England)","1340","1230","29030","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Veterinarian","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Digital, Data and Technology","North West (England)","140","130","41990","41700"
"In post","2021","Cheshire","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Human Resources","North West (England)","70","60","42030","40080"
"In post","2021","Cheshire","Intelligence Analysis","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Internal Audit","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Legal","North West (England)","30","30","[c]","[c]"
"In post","2021","Cheshire","Medicine","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Operational Delivery","North West (England)","2460","2360","31700","31060"
"In post","2021","Cheshire","Other","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Planning","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Policy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Project Delivery","North West (England)","50","50","38150","36740"
"In post","2021","Cheshire","Property","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Psychology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Science and Engineering","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Security","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","North West (England)","940","850","25610","27570"
"In post","2021","Cheshire","Veterinarian","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Knowledge and Information Management","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Legal","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Medicine","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Operational Delivery","South West (England)","260","230","26810","25630"
"In post","2021","Cornwall and Isles of Scilly","Other","South West (England)","210","200","23300","21130"
"In post","2021","Cornwall and Isles of Scilly","Policy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Project Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Property","South West (England)","50","50","29590","26580"
"In post","2021","Cornwall and Isles of Scilly","Science and Engineering","South West (England)","100","100","24690","22500"
"In post","2021","Cornwall and Isles of Scilly","Security","South West (England)","50","50","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Statistics","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","South West (England)","830","740","25490","27570"
"In post","2021","Cornwall and Isles of Scilly","Veterinarian","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Digital, Data and Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Intelligence Analysis","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Knowledge and Information Management","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Legal","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Operational Delivery","North West (England)","1300","1170","25330","21550"
