"Status","Year","Region_ITL2","Disability","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","20-29","70","70","26170","27570"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","30-39","70","70","32010","30110"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","40-49","120","110","31230","29290"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","50-59","190","170","32870","29530"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","60-64","50","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","20-29","450","440","28700","29090"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","30-39","620","580","32210","29290"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","40-49","720","670","34380","30030"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","50-59","950","880","33470","29750"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","60-64","290","250","31120","29210"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","65+","90","70","28910","27790"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","30-39","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","40-49","60","60","34730","30730"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","50-59","90","90","32640","30630"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","20-29","150","150","27820","27850"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","30-39","170","170","34400","32980"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","40-49","120","120","38500","38520"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","50-59","150","140","36690","30750"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","60-64","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","20-29","110","110","26770","26610"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","30-39","170","160","31300","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","40-49","230","220","32960","30230"
