"Status","Year","Organisation","Region_ITL1","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Scotland","Unknown","120","100","31670","29190"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Operational Delivery","90","80","28930","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","Operational Delivery","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Operational Delivery","100","90","40210","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Communications","[c]","[c]","[c]","[c]"
