"Status","Year","Profession_of_post","Parent_department","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Attorney General's Departments","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","30-39","70","70","40700","39650"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","40-49","80","80","45570","47960"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","50-59","60","60","46670","47960"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","20-29","70","70","32130","30090"
"In post","2021","Commercial","Department for Education","30-39","100","90","41400","37100"
"In post","2021","Commercial","Department for Education","40-49","100","90","43390","39200"
"In post","2021","Commercial","Department for Education","50-59","110","100","43710","40300"
"In post","2021","Commercial","Department for Education","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","30-39","40","30","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","40-49","50","50","39110","37240"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","50-59","50","40","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","20-29","40","40","[c]","[c]"
"In post","2021","Commercial","Department for Transport","30-39","80","70","37850","34710"
"In post","2021","Commercial","Department for Transport","40-49","90","90","40890","34710"
"In post","2021","Commercial","Department for Transport","50-59","60","50","41520","41230"
"In post","2021","Commercial","Department for Transport","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","20-29","60","60","38830","40650"
"In post","2021","Commercial","Department of Health and Social Care","30-39","50","50","46840","40650"
"In post","2021","Commercial","Department of Health and Social Care","40-49","70","60","54290","49530"
"In post","2021","Commercial","Department of Health and Social Care","50-59","40","40","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","ESTYN","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","ESTYN","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","30-39","30","30","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","40-49","40","40","[c]","[c]"
