"Status","Year","Disability","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","150","140","40040","37600"
"In post","2021","Declared disabled","Commercial","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Inner London - West","50","50","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outer London - West and North West","[c]","[c]","[c]","[c]"
