"Status","Year","Organisation","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Female","80","60","30300","29190"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Male","40","40","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Glasgow City","Female","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Glasgow City","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","Female","60","50","30520","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","Male","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","Female","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","Female","60","50","30560","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","Male","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","Female","50","50","28900","28660"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","Male","50","50","31960","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Leeds","Female","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Leeds","Male","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Manchester","Female","80","70","29720","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Manchester","Male","60","60","30000","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","North Hampshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North Hampshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Nottingham","Female","60","60","29660","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Nottingham","Male","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Suffolk","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Suffolk","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Tyneside","Female","90","80","29580","26380"
"In post","2021","Advisory, Conciliation and Arbitration Service","Tyneside","Male","50","50","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","Female","110","110","40100","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","Male","90","90","45330","43750"
"In post","2021","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Bristol, City of","Female","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Bristol, City of","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Caithness and Sutherland and Ross and Cromarty","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Caithness and Sutherland and Ross and Cromarty","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cambridgeshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cambridgeshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","Female","50","50","25340","21050"
"In post","2021","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","Male","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Central Hampshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Central Hampshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cheshire East","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cheshire East","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","City of Edinburgh","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","City of Edinburgh","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Female","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Devon CC","Female","130","120","26050","21050"
"In post","2021","Animal and Plant Health Agency","Devon CC","Male","70","70","29510","24920"
"In post","2021","Animal and Plant Health Agency","Dorset CC","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Dorset CC","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Dumfries and Galloway","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Dumfries and Galloway","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Cumbria","Female","100","90","25540","21050"
"In post","2021","Animal and Plant Health Agency","East Cumbria","Male","60","50","25810","21050"
"In post","2021","Animal and Plant Health Agency","East Kent","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Kent","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Lothian and Midlothian","Female","[c]","[c]","[c]","[c]"
