"Status","Year","Organisation","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Female","Unknown","80","70","30250","29190"
"In post","2021","Accountant in Bankruptcy","Male","Unknown","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Operational Delivery","540","490","30930","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Operational Delivery","370","350","32380","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Operational Delivery","940","870","26190","24920"
"In post","2021","Animal and Plant Health Agency","Female","Other","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Science and Engineering","400","370","30290","28170"
"In post","2021","Animal and Plant Health Agency","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Veterinarian","210","190","43130","38130"
"In post","2021","Animal and Plant Health Agency","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Operational Delivery","630","610","28380","26520"
"In post","2021","Animal and Plant Health Agency","Male","Other","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Science and Engineering","250","240","34010","30110"
"In post","2021","Animal and Plant Health Agency","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Veterinarian","150","140","46360","46160"
"In post","2021","Attorney General's Office","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Female","Other","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Male","Other","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Unknown","4980","4830","44360","35590"
"In post","2021","Cabinet Office (excl. agencies)","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Unknown","4370","4330","49330","40600"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Operational Delivery","40","40","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Other","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Science and Engineering","210","190","30970","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","Other","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","Science and Engineering","270","260","35860","30660"
"In post","2021","Charity Commission","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Legal","[c]","[c]","[c]","[c]"
