"Status","Year","Profession_of_post","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","150","150","39160","36890"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Heterosexual / straight","60","50","45420","43130"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Commercial","Devon","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","Unknown","190","180","42930","40040"
"In post","2021","Commercial","Dorset and Somerset","Heterosexual / straight","50","50","42850","42510"
"In post","2021","Commercial","Dorset and Somerset","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","Heterosexual / straight","160","150","38520","35570"
"In post","2021","Commercial","East Anglia","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","Unknown","40","40","[c]","[c]"
"In post","2021","Commercial","East Wales","Heterosexual / straight","110","110","37110","34800"
"In post","2021","Commercial","East Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","Unknown","40","40","[c]","[c]"
"In post","2021","Commercial","Essex","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","1100","1050","38880","35430"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","40","40","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","160","150","41290","38240"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","120","120","37440","34800"
"In post","2021","Commercial","Greater Manchester","Heterosexual / straight","160","160","41140","37100"
"In post","2021","Commercial","Greater Manchester","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hampshire and Isle of Wight","Heterosexual / straight","180","170","35850","34780"
"In post","2021","Commercial","Hampshire and Isle of Wight","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hampshire and Isle of Wight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Highlands and Islands","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Highlands and Islands","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","Heterosexual / straight","60","60","45620","40770"
"In post","2021","Commercial","Inner London - East","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - West","Heterosexual / straight","370","360","49910","44520"
"In post","2021","Commercial","Inner London - West","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - West","Undeclared","30","30","[c]","[c]"
"In post","2021","Commercial","Inner London - West","Unknown","150","140","51280","43680"
"In post","2021","Commercial","Kent","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lancashire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lancashire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lancashire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leicestershire, Rutland and Northamptonshire","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Commercial","Leicestershire, Rutland and Northamptonshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leicestershire, Rutland and Northamptonshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lincolnshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lincolnshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lincolnshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Merseyside","Heterosexual / straight","160","150","37260","34800"
"In post","2021","Commercial","Merseyside","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Merseyside","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Merseyside","Unknown","60","50","32220","30460"
"In post","2021","Commercial","North Eastern Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Eastern Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Yorkshire","Heterosexual / straight","50","50","41080","38180"
"In post","2021","Commercial","North Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Yorkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northumberland and Tyne and Wear","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northumberland and Tyne and Wear","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northumberland and Tyne and Wear","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northumberland and Tyne and Wear","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - East and North East","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - East and North East","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - East and North East","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - South","Heterosexual / straight","110","110","45320","44250"
