"Status","Year","Sex","Profession_of_post","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Commercial","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Commercial","2210","2100","38880","36460"
"In post","2021","Female","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","No function","140","130","41800","36780"
"In post","2021","Female","Commercial","Project Delivery","410","380","36930","34090"
"In post","2021","Female","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Unknown","60","60","39490","39190"
"In post","2021","Female","Communications","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Communications","2010","1910","41090","37910"
"In post","2021","Female","Communications","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","No function","70","70","42640","39200"
"In post","2021","Female","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Unknown","200","190","44220","42710"
"In post","2021","Female","Corporate Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Finance","80","70","43860","40800"
"In post","2021","Female","Corporate Finance","No function","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Counter Fraud","270","260","38820","36030"
"In post","2021","Female","Counter Fraud","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","No function","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Unknown","110","100","25620","25310"
"In post","2021","Female","Digital, Data and Technology","Analysis","100","100","41970","41990"
"In post","2021","Female","Digital, Data and Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Digital, Data & Technology","3840","3660","39970","36780"
"In post","2021","Female","Digital, Data and Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","No function","100","90","37500","32140"
"In post","2021","Female","Digital, Data and Technology","Project Delivery","110","100","37820","37320"
"In post","2021","Female","Digital, Data and Technology","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Unknown","450","430","47490","44100"
"In post","2021","Female","Economics","Analysis","430","420","46270","37950"
"In post","2021","Female","Economics","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Finance","50","50","44150","36820"
"In post","2021","Female","Economics","No function","190","180","47630","51610"
"In post","2021","Female","Economics","Project Delivery","40","40","[c]","[c]"
"In post","2021","Female","Economics","Unknown","80","70","45870","40870"
"In post","2021","Female","Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Commercial","40","40","[c]","[c]"
"In post","2021","Female","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Finance","4270","3940","37290","33300"
"In post","2021","Female","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","No function","210","200","41040","37100"
"In post","2021","Female","Finance","Project Delivery","230","210","42330","39860"
"In post","2021","Female","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Unknown","350","330","42040","37410"
"In post","2021","Female","Human Resources","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Human Resources","4940","4620","37860","33300"
"In post","2021","Female","Human Resources","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","No function","50","50","42190","38390"
"In post","2021","Female","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Unknown","510","470","40730","37180"
"In post","2021","Female","Inspector of Education and Training","No function","600","590","63550","64500"
"In post","2021","Female","Intelligence Analysis","Analysis","140","130","51920","53360"
"In post","2021","Female","Intelligence Analysis","Counter Fraud","90","80","36840","31960"
"In post","2021","Female","Intelligence Analysis","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","No function","310","290","29880","27380"
"In post","2021","Female","Intelligence Analysis","Security","100","100","43680","38860"
"In post","2021","Female","Intelligence Analysis","Unknown","930","860","30970","29080"
"In post","2021","Female","Internal Audit","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Internal Audit","380","360","43830","41340"
"In post","2021","Female","Internal Audit","No function","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","International Trade","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","International Trade","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","International Trade","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","International Trade","No function","640","630","45850","39590"
"In post","2021","Female","International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Commercial","330","310","30720","26670"
"In post","2021","Female","Knowledge and Information Management","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Digital, Data & Technology","70","60","35040","33640"
"In post","2021","Female","Knowledge and Information Management","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","No function","640","580","37380","34010"
"In post","2021","Female","Knowledge and Information Management","Project Delivery","70","60","37270","37320"
"In post","2021","Female","Knowledge and Information Management","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Unknown","110","100","36590","34490"
"In post","2021","Female","Legal","Counter Fraud","1400","1310","30010","28130"
"In post","2021","Female","Legal","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Legal","5520","4990","53330","52490"
"In post","2021","Female","Legal","No function","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Unknown","100","90","56140","60830"
"In post","2021","Female","Medicine","No function","280","240","96970","96860"
"In post","2021","Female","Medicine","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Medicine","Unknown","1430","1270","42870","37890"
"In post","2021","Female","Operational Delivery","Analysis","320","290","31620","29540"
"In post","2021","Female","Operational Delivery","Commercial","180","170","36510","33790"
"In post","2021","Female","Operational Delivery","Communications","760","690","29930","26520"
"In post","2021","Female","Operational Delivery","Counter Fraud","1630","1440","29530","28130"
"In post","2021","Female","Operational Delivery","Debt","2080","1740","23890","21440"
"In post","2021","Female","Operational Delivery","Digital, Data & Technology","250","240","33760","31810"
"In post","2021","Female","Operational Delivery","Finance","490","430","28080","25560"
"In post","2021","Female","Operational Delivery","Grants Management","1090","950","25060","21050"
"In post","2021","Female","Operational Delivery","Human Resources","650","590","29380","25560"
"In post","2021","Female","Operational Delivery","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Delivery","Legal","3610","3240","26990","25480"
"In post","2021","Female","Operational Delivery","No function","69120","61620","27500","24360"
"In post","2021","Female","Operational Delivery","Project Delivery","1120","1030","33650","30630"
"In post","2021","Female","Operational Delivery","Property","870","790","27390","21250"
"In post","2021","Female","Operational Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Delivery","Unknown","14720","13080","28100","25630"
"In post","2021","Female","Operational Research","Analysis","230","210","43040","39000"
"In post","2021","Female","Operational Research","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Research","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Research","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Research","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Research","No function","130","120","42950","46080"
"In post","2021","Female","Operational Research","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Research","Unknown","50","50","[c]","[c]"
"In post","2021","Female","Other","Analysis","80","70","60160","58760"
"In post","2021","Female","Other","Commercial","30","30","[c]","[c]"
"In post","2021","Female","Other","Communications","80","80","30500","27290"
"In post","2021","Female","Other","Counter Fraud","180","150","36950","31810"
"In post","2021","Female","Other","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other","Finance","110","100","39790","33110"
"In post","2021","Female","Other","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other","Legal","240","230","31110","27580"
"In post","2021","Female","Other","No function","1260","1190","35760","30850"
"In post","2021","Female","Other","Project Delivery","1350","1260","33570","28520"
"In post","2021","Female","Other","Property","80","70","32840","25900"
"In post","2021","Female","Other","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other","Unknown","7300","6900","27600","22080"
"In post","2021","Female","Planning","No function","80","70","46620","42140"
"In post","2021","Female","Planning","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning Inspectors","No function","130","110","57850","58810"
"In post","2021","Female","Policy","Analysis","180","170","47430","45250"
"In post","2021","Female","Policy","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Human Resources","60","60","36150","36030"
"In post","2021","Female","Policy","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Legal","40","40","[c]","[c]"
"In post","2021","Female","Policy","No function","11040","10630","45570","40220"
"In post","2021","Female","Policy","Project Delivery","1320","1250","50600","52580"
"In post","2021","Female","Policy","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Policy","Unknown","3010","2870","45460","41970"
"In post","2021","Female","Project Delivery","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Finance","40","30","[c]","[c]"
"In post","2021","Female","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","No function","110","110","41030","36770"
"In post","2021","Female","Project Delivery","Project Delivery","7020","6700","40120","37320"
"In post","2021","Female","Project Delivery","Property","30","30","[c]","[c]"
"In post","2021","Female","Project Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Unknown","800","770","44020","41140"
"In post","2021","Female","Property","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","No function","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Project Delivery","120","120","49760","50630"
"In post","2021","Female","Property","Property","2570","2390","33560","31810"
"In post","2021","Female","Property","Unknown","70","60","40800","34600"
"In post","2021","Female","Psychology","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Psychology","No function","1220","1160","35420","31180"
"In post","2021","Female","Psychology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Science and Engineering","Analysis","270","250","32670","29680"
"In post","2021","Female","Science and Engineering","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Science and Engineering","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Science and Engineering","Digital, Data & Technology","160","150","39320","39650"
"In post","2021","Female","Science and Engineering","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Science and Engineering","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Science and Engineering","No function","3160","2910","38220","36730"
"In post","2021","Female","Science and Engineering","Project Delivery","350","340","36600","33000"
"In post","2021","Female","Science and Engineering","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Science and Engineering","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Science and Engineering","Unknown","510","490","43140","40580"
"In post","2021","Female","Security","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","No function","80","70","45830","42890"
"In post","2021","Female","Security","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Security","1480","1440","31160","27700"
"In post","2021","Female","Security","Unknown","120","110","33630","29370"
"In post","2021","Female","Social Research","Analysis","580","540","41330","37020"
"In post","2021","Female","Social Research","No function","30","30","[c]","[c]"
"In post","2021","Female","Social Research","Unknown","200","190","45630","47000"
"In post","2021","Female","Statistics","Analysis","810","770","42710","38770"
"In post","2021","Female","Statistics","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Statistics","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Statistics","No function","[c]","[c]","[c]","[c]"
"In post","2021","Female","Statistics","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Statistics","Unknown","100","90","41560","38360"
"In post","2021","Female","Tax","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Tax","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Tax","Communications","970","920","27400","25560"
"In post","2021","Female","Tax","Counter Fraud","820","750","37430","32100"
"In post","2021","Female","Tax","Debt","520","500","20810","20140"
