"Status","Year","Sex","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Department for Business, Energy and Industrial Strategy","130","120","41130","39650"
"In post","2021","Female","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Department for Education","200","190","39790","37100"
"In post","2021","Female","Commercial","Department for Environment, Food and Rural Affairs","100","100","36680","36520"
"In post","2021","Female","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Department for Transport","150","130","36710","32180"
"In post","2021","Female","Commercial","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Department of Health and Social Care","130","130","45170","40650"
"In post","2021","Female","Commercial","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Foreign, Commonwealth and Development Office","90","90","43040","39860"
"In post","2021","Female","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","HM Revenue and Customs","40","40","[c]","[c]"
"In post","2021","Female","Commercial","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Home Office","40","40","[c]","[c]"
"In post","2021","Female","Commercial","Ministry of Defence","1080","1010","36470","34500"
"In post","2021","Female","Commercial","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Ministry of Justice","500","480","43400","40060"
"In post","2021","Female","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Other Cabinet Office Agencies","190","180","33690","33340"
"In post","2021","Female","Commercial","Scottish Government","40","40","[c]","[c]"
"In post","2021","Female","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Attorney General's Departments","60","50","43930","39750"
"In post","2021","Female","Communications","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Department for Business, Energy and Industrial Strategy","150","140","43890","40050"
"In post","2021","Female","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Department for Education","210","200","38680","36780"
"In post","2021","Female","Communications","Department for Environment, Food and Rural Affairs","180","170","40850","37300"
"In post","2021","Female","Communications","Department for International Trade","80","80","42390","38540"
"In post","2021","Female","Communications","Department for Transport","170","160","36680","33350"
"In post","2021","Female","Communications","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Department of Health and Social Care","190","180","43530","37830"
"In post","2021","Female","Communications","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Foreign, Commonwealth and Development Office","90","80","46990","42200"
"In post","2021","Female","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","HM Revenue and Customs","150","150","44410","39510"
"In post","2021","Female","Communications","HM Treasury","[c]","[c]","[c]","[c]"
