"Status","Year","Responsibility_level","Region_ITL2","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Attorney General's Departments","40","30","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Department for Work and Pensions","210","180","23210","23200"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Ministry of Defence","200","200","21660","20970"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Ministry of Justice","720","680","25630","24670"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Cabinet Office","30","30","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs","80","70","21100","21050"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Department for Work and Pensions","200","170","22540","22160"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Department of Health and Social Care","50","40","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Foreign, Commonwealth and Development Office","230","220","24070","24750"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","HM Revenue and Customs","130","120","20860","20140"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Home Office","40","40","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence","1310","1270","25670","21870"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Justice","1470","1390","27050","27850"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire","Department for Environment, Food and Rural Affairs","50","40","[c]","[c]"
"In post","2021","AA/AO","Cheshire","Department for Work and Pensions","350","310","20810","21010"
"In post","2021","AA/AO","Cheshire","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire","Ministry of Justice","710","660","24700","23970"
"In post","2021","AA/AO","Cheshire","National Crime Agency","80","70","21780","20800"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Department for Work and Pensions","330","280","20880","21010"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Ministry of Defence","290","270","20760","20920"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Ministry of Justice","40","40","[c]","[c]"
"In post","2021","AA/AO","Cumbria","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cumbria","Department for Environment, Food and Rural Affairs","550","490","21000","21050"
"In post","2021","AA/AO","Cumbria","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cumbria","Department for Work and Pensions","60","50","20890","21010"
"In post","2021","AA/AO","Cumbria","Ministry of Defence","100","90","25460","22810"
"In post","2021","AA/AO","Cumbria","Ministry of Justice","200","180","23170","21550"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Attorney General's Departments","70","70","21320","21950"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Department for Environment, Food and Rural Affairs","40","30","[c]","[c]"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Department for Transport","50","50","22920","21590"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Department for Work and Pensions","760","650","20870","21010"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","HM Land Registry","120","110","22330","22350"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","HM Revenue and Customs","650","580","20470","20140"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Ministry of Defence","150","140","23410","21130"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Ministry of Justice","1870","1720","23150","21710"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Office for Standards in Education","30","30","[c]","[c]"
"In post","2021","AA/AO","Devon","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Devon","Department for Business, Energy and Industrial Strategy","140","140","21890","20880"
