"Status","Year","Region_ITL2","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data and Technology","Male","50","50","36670","37640"
"In post","2021","Bedfordshire and Hertfordshire","Finance","Female","60","60","42120","37640"
"In post","2021","Bedfordshire and Hertfordshire","Finance","Male","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Intelligence Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Intelligence Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Legal","Female","70","60","51120","50520"
"In post","2021","Bedfordshire and Hertfordshire","Legal","Male","50","50","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Medicine","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Medicine","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","Female","1130","1040","28350","26190"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","Male","930","890","31510","30400"
"In post","2021","Bedfordshire and Hertfordshire","Other","Female","110","100","26360","25390"
"In post","2021","Bedfordshire and Hertfordshire","Other","Male","70","60","29840","26670"
"In post","2021","Bedfordshire and Hertfordshire","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Policy","Male","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","Female","80","80","40000","37640"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","Male","60","60","44280","40580"
"In post","2021","Bedfordshire and Hertfordshire","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Psychology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Psychology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Science and Engineering","Female","110","110","47930","44230"
"In post","2021","Bedfordshire and Hertfordshire","Science and Engineering","Male","110","100","46610","42650"
"In post","2021","Bedfordshire and Hertfordshire","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Security","Male","60","60","24950","22650"
"In post","2021","Bedfordshire and Hertfordshire","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Tax","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Tax","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Female","790","700","29050","29290"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Male","450","440","30330","29290"
"In post","2021","Bedfordshire and Hertfordshire","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","Female","100","90","37970","35850"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","Male","90","90","40220","40330"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","Female","40","30","[c]","[c]"
