"Status","Year","Ethnicity","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Finance","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Ministry of Defence (excl. agencies)","90","80","39350","33630"
"In post","2022","Asian","Finance","Ministry of Justice (excl. agencies)","80","80","41720","41100"
"In post","2022","Asian","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Rural Payments Agency","40","30","[c]","[c]"
"In post","2022","Asian","Grants Management","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Cabinet Office (excl. agencies)","80","80","37470","35070"
"In post","2022","Asian","Human Resources","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Department for Work and Pensions (excl. agencies)","90","90","33020","31060"
"In post","2022","Asian","Human Resources","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","HM Revenue and Customs (excl. agencies)","100","90","35150","33370"
"In post","2022","Asian","Human Resources","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Ministry of Defence (excl. agencies)","60","60","34970","33300"
"In post","2022","Asian","Human Resources","Ministry of Justice (excl. agencies)","60","60","38290","34260"
"In post","2022","Asian","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Government Internal Audit Agency","60","60","47850","47180"
"In post","2022","Asian","Internal Audit","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Crown Prosecution Service","650","590","40390","38000"
"In post","2022","Asian","Legal","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Government Legal Department","280","270","49780","51250"
"In post","2022","Asian","Legal","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","HM Revenue and Customs (excl. agencies)","130","130","39730","33370"
"In post","2022","Asian","Legal","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Advisory, Conciliation and Arbitration Service","40","40","[c]","[c]"
"In post","2022","Asian","No function","Animal and Plant Health Agency","80","70","28270","27960"
"In post","2022","Asian","No function","Cabinet Office (excl. agencies)","160","160","44910","40600"
"In post","2022","Asian","No function","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Defence Science and Technology Laboratory","50","40","[c]","[c]"
"In post","2022","Asian","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","510","510","43730","40050"
"In post","2022","Asian","No function","Department for Digital, Culture, Media and Sport","110","110","43020","36960"
"In post","2022","Asian","No function","Department for Education (excl. agencies)","270","260","41740","40230"
"In post","2022","Asian","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","210","210","39620","35080"
"In post","2022","Asian","No function","Department for International Trade","160","160","44510","38320"
"In post","2022","Asian","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","200","200","40990","36340"
"In post","2022","Asian","No function","Department for Transport (excl. agencies)","170","170","44350","42470"
"In post","2022","Asian","No function","Department for Work and Pensions (excl. agencies)","6430","5820","27320","27570"
"In post","2022","Asian","No function","Department of Health and Social Care (excl. agencies)","120","110","43040","40650"
"In post","2022","Asian","No function","Driver and Vehicle Licensing Agency","70","60","26730","21840"
"In post","2022","Asian","No function","Driver and Vehicle Standards Agency","120","110","28190","27810"
"In post","2022","Asian","No function","Education and Skills Funding Agency","110","110","39060","36500"
"In post","2022","Asian","No function","Food Standards Agency","50","50","33060","29720"
"In post","2022","Asian","No function","Foreign, Commonwealth and Development Office (excl. agencies)","260","250","41960","35720"
"In post","2022","Asian","No function","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Health and Safety Executive","60","60","48270","43710"
"In post","2022","Asian","No function","HM Courts and Tribunals Service","1460","1310","26200","23720"
"In post","2022","Asian","No function","HM Land Registry","170","160","27260","27130"
"In post","2022","Asian","No function","HM Prison and Probation Service","1810","1700","30820","28690"
"In post","2022","Asian","No function","HM Revenue and Customs (excl. agencies)","2800","2640","31290","30750"
"In post","2022","Asian","No function","HM Treasury (excl. agencies)","180","180","45040","38890"
"In post","2022","Asian","No function","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Legal Aid Agency","70","70","28450","24310"
"In post","2022","Asian","No function","Maritime and Coastguard Agency","50","50","[c]","[c]"
"In post","2022","Asian","No function","Medicines and Healthcare Products Regulatory Agency","170","160","45490","40700"
"In post","2022","Asian","No function","Ministry of Justice (excl. agencies)","180","170","37590","34260"
"In post","2022","Asian","No function","National Crime Agency","220","210","37470","36740"
"In post","2022","Asian","No function","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Office for Standards in Education, Children's Services and Skills","60","60","42200","39850"
"In post","2022","Asian","No function","Office of Gas and Electricity Markets","90","90","37620","33400"
"In post","2022","Asian","No function","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Office of the Public Guardian","410","380","22570","20970"
"In post","2022","Asian","No function","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","The Insolvency Service","110","100","25490","22040"
"In post","2022","Asian","No function","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","UK Health Security Agency","640","590","41120","32330"
"In post","2022","Asian","No function","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","UK Statistics Authority","70","50","25460","23430"
"In post","2022","Asian","No function","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Competition and Markets Authority","50","50","[c]","[c]"
"In post","2022","Asian","Project Delivery","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Defence Equipment and Support","250","240","36200","33300"
"In post","2022","Asian","Project Delivery","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Department for Transport (excl. agencies)","50","50","[c]","[c]"
"In post","2022","Asian","Project Delivery","Department for Work and Pensions (excl. agencies)","90","70","30040","25110"
"In post","2022","Asian","Project Delivery","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","80","80","51700","53610"
"In post","2022","Asian","Project Delivery","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","HM Revenue and Customs (excl. agencies)","380","370","44740","40520"
"In post","2022","Asian","Project Delivery","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Ministry of Defence (excl. agencies)","100","100","42400","40000"
"In post","2022","Asian","Project Delivery","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Submarine Delivery Agency","40","40","[c]","[c]"
"In post","2022","Asian","Project Delivery","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Wilton Park","[c]","[c]","[c]","[c]"
