"Status","Year","Region_ITL2","Sexual_orientation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Commercial","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Digital, Data & Technology","50","50","36340","35720"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Finance","90","80","43230","37640"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Human Resources","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Legal","140","130","42250","40000"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","No function","1150","1090","30110","28600"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Project Delivery","150","150","40420","37640"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Security","60","60","25020","22650"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Unknown","1430","1340","31790","29290"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","No function","70","70","29450","29920"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","LGBO","Unknown","60","60","31510","29290"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","No function","140","130","30760","30310"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Unknown","180","170","33500","29290"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Communications","[c]","[c]","[c]","[c]"
