"Status","Year","Profession_of_post","Responsibility_level","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","AA/AO","Heterosexual / straight","160","150","22630","21590"
"In post","2021","Commercial","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Undeclared","30","30","[c]","[c]"
"In post","2021","Commercial","AA/AO","Unknown","70","70","22640","21980"
"In post","2021","Commercial","EO","Heterosexual / straight","510","490","25970","26400"
"In post","2021","Commercial","EO","LGBO","30","30","[c]","[c]"
"In post","2021","Commercial","EO","Undeclared","70","60","26510","26700"
"In post","2021","Commercial","EO","Unknown","100","100","25730","25890"
"In post","2021","Commercial","G6/G7","Heterosexual / straight","700","680","60090","57530"
"In post","2021","Commercial","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Undeclared","80","80","61720","57860"
"In post","2021","Commercial","G6/G7","Unknown","220","210","54570","52340"
"In post","2021","Commercial","SCS","Heterosexual / straight","70","70","90420","83090"
"In post","2021","Commercial","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Heterosexual / straight","2170","2100","37790","37100"
"In post","2021","Commercial","SEO/HEO","LGBO","90","90","35600","34710"
"In post","2021","Commercial","SEO/HEO","Undeclared","290","280","38510","38560"
"In post","2021","Commercial","SEO/HEO","Unknown","490","480","36960","37400"
"In post","2021","Commercial","Unknown","Heterosexual / straight","170","160","38820","37400"
"In post","2021","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Heterosexual / straight","150","150","22340","21590"
"In post","2021","Communications","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Undeclared","40","30","[c]","[c]"
"In post","2021","Communications","AA/AO","Unknown","40","30","[c]","[c]"
"In post","2021","Communications","EO","Heterosexual / straight","400","380","27420","26930"
"In post","2021","Communications","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Undeclared","50","40","[c]","[c]"
"In post","2021","Communications","EO","Unknown","160","160","27450","27270"
"In post","2021","Communications","G6/G7","Heterosexual / straight","600","580","58280","57270"
"In post","2021","Communications","G6/G7","LGBO","50","50","59100","57440"
"In post","2021","Communications","G6/G7","Undeclared","60","60","56100","55590"
"In post","2021","Communications","G6/G7","Unknown","230","220","57830","55210"
"In post","2021","Communications","SCS","Heterosexual / straight","80","80","86670","81370"
"In post","2021","Communications","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Unknown","30","30","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Heterosexual / straight","1340","1300","37870","37410"
"In post","2021","Communications","SEO/HEO","LGBO","110","110","38550","38610"
"In post","2021","Communications","SEO/HEO","Undeclared","160","150","38330","37600"
"In post","2021","Communications","SEO/HEO","Unknown","410","400","37910","37900"
"In post","2021","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Heterosexual / straight","60","60","57220","56350"
"In post","2021","Corporate Finance","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Heterosexual / straight","50","50","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Heterosexual / straight","140","130","26450","25580"
"In post","2021","Counter Fraud","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Heterosexual / straight","80","80","62080","59050"
"In post","2021","Counter Fraud","G6/G7","LGBO","[c]","[c]","[c]","[c]"
