"Status","Year","Responsibility_level","Ethnicity","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Economics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Finance","60","50","22250","21440"
"In post","2021","AA/AO","Asian","Human Resources","50","50","22520","21400"
"In post","2021","AA/AO","Asian","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Medicine","30","30","[c]","[c]"
"In post","2021","AA/AO","Asian","Operational Delivery","4460","3950","22480","21430"
"In post","2021","AA/AO","Asian","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Other","230","210","22490","21590"
"In post","2021","AA/AO","Asian","Planning","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Policy","80","70","23530","23500"
"In post","2021","AA/AO","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Science and Engineering","70","60","22720","22830"
"In post","2021","AA/AO","Asian","Security","160","150","24210","22210"
"In post","2021","AA/AO","Asian","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Tax","280","250","20390","20140"
"In post","2021","AA/AO","Asian","Unknown","2450","2070","21710","21010"
"In post","2021","AA/AO","Asian","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Economics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Operational Delivery","2590","2410","24840","23520"
"In post","2021","AA/AO","Black","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Other","150","150","23250","23090"
"In post","2021","AA/AO","Black","Planning","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Policy","90","90","24390","24100"
"In post","2021","AA/AO","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Science and Engineering","40","40","[c]","[c]"
"In post","2021","AA/AO","Black","Security","70","70","23530","22650"
"In post","2021","AA/AO","Black","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Tax","70","60","20810","20140"
"In post","2021","AA/AO","Black","Unknown","920","840","22710","22640"
"In post","2021","AA/AO","Black","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Economics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Operational Delivery","150","140","22200","21430"
"In post","2021","AA/AO","Chinese","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Other","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Planning","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Policy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Tax","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Unknown","70","60","21480","21010"
"In post","2021","AA/AO","Chinese","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Economics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Operational Delivery","1110","1020","23810","22350"
"In post","2021","AA/AO","Mixed","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Other","60","60","22140","21580"
"In post","2021","AA/AO","Mixed","Planning","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Policy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Security","40","40","[c]","[c]"
"In post","2021","AA/AO","Mixed","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Tax","50","40","[c]","[c]"
"In post","2021","AA/AO","Mixed","Unknown","540","490","21720","21010"
"In post","2021","AA/AO","Mixed","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Economics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Operational Delivery","320","290","24200","22680"
"In post","2021","AA/AO","Other ethnicity","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Other","30","30","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Planning","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Policy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Tax","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Unknown","140","120","22010","21010"
"In post","2021","AA/AO","Other ethnicity","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Finance","50","40","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Human Resources","40","40","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Operational Delivery","2440","2210","22940","21440"
"In post","2021","AA/AO","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Other","350","330","21430","21130"
"In post","2021","AA/AO","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Property","40","40","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Science and Engineering","60","50","21830","21910"
"In post","2021","AA/AO","Undeclared","Security","250","250","29550","26750"
"In post","2021","AA/AO","Undeclared","Tax","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Unknown","1640","1390","21310","21010"
"In post","2021","AA/AO","Unknown","Commercial","50","50","22370","21590"
"In post","2021","AA/AO","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Digital, Data and Technology","80","80","21680","21590"
"In post","2021","AA/AO","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Finance","180","150","20890","20140"
"In post","2021","AA/AO","Unknown","Human Resources","120","110","21360","20920"
"In post","2021","AA/AO","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
