"Status","Year","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","21370","19770","29550","27570"
"In post","2021","East of England","22590","20980","30770","28130"
"In post","2021","London","101930","98000","43350","37140"
"In post","2021","North East (England)","30610","27500","28180","25560"
"In post","2021","North West (England)","59340","54710","29480","27380"
"In post","2021","Northern Ireland","3820","3590","27990","25560"
"In post","2021","Overseas","3750","3740","49990","49760"
"In post","2021","Scotland","47590","44220","32160","27570"
"In post","2021","South East (England)","41770","38870","31480","28460"
"In post","2021","South West (England)","45180","42460","34280","31220"
"In post","2021","Unknown","3730","3650","35670","32100"
"In post","2021","Wales","36090","33260","30850","27570"
"In post","2021","West Midlands (England)","30500","28270","30190","27570"
"In post","2021","Yorkshire and The Humber","36610","33810","31210","27570"
"In post","2022","East Midlands (England)","23000","21370","30530","27570"
"In post","2022","East of England","22930","21360","31320","28550"
"In post","2022","London","104830","100950","43870","38270"
"In post","2022","North East (England)","33100","30070","29730","26820"
"In post","2022","North West (England)","64300","59700","30510","27570"
"In post","2022","Northern Ireland","4260","4050","29640","26590"
"In post","2022","Overseas","3690","3670","49440","48580"
"In post","2022","Scotland","51020","47700","33380","27940"
"In post","2022","South East (England)","42630","39660","32240","29170"
"In post","2022","South West (England)","46710","43960","34750","31650"
"In post","2022","Unknown","3310","3240","35950","32400"
"In post","2022","Wales","37900","35110","31780","27570"
"In post","2022","West Midlands (England)","33170","30860","31020","27570"
"In post","2022","Yorkshire and The Humber","39230","36410","32050","27570"
"Leaver CS","2021","East Midlands (England)","1590","1410","27110","25390"
"Leaver CS","2021","East of England","1800","1600","30180","26670"
"Leaver CS","2021","London","5320","4780","41220","33300"
"Leaver CS","2021","North East (England)","1680","1370","26690","21050"
"Leaver CS","2021","North West (England)","2760","2370","28080","24310"
"Leaver CS","2021","Northern Ireland","200","180","27470","21850"
"Leaver CS","2021","Overseas","130","110","42070","38290"
"Leaver CS","2021","Scotland","2340","2030","32270","27570"
"Leaver CS","2021","South East (England)","2690","2390","29840","26670"
"Leaver CS","2021","South West (England)","2460","2230","32150","27570"
"Leaver CS","2021","Unknown","690","680","40470","32000"
"Leaver CS","2021","Wales","1970","1690","29190","22490"
"Leaver CS","2021","West Midlands (England)","1870","1620","29950","25850"
"Leaver CS","2021","Yorkshire and The Humber","2330","1970","30160","26890"
"Leaver CS","2022","East Midlands (England)","2280","2040","28340","26520"
"Leaver CS","2022","East of England","2680","2430","31230","27570"
"Leaver CS","2022","London","9640","8570","41510","34550"
"Leaver CS","2022","North East (England)","2550","2170","27970","22040"
"Leaver CS","2022","North West (England)","4630","4060","29010","25310"
"Leaver CS","2022","Northern Ireland","260","230","27950","23250"
"Leaver CS","2022","Overseas","140","130","48290","44910"
"Leaver CS","2022","Scotland","3740","3310","31970","27570"
"Leaver CS","2022","South East (England)","4570","4110","30440","27570"
"Leaver CS","2022","South West (England)","4070","3720","32410","27570"
"Leaver CS","2022","Unknown","1230","1010","31440","26780"
"Leaver CS","2022","Wales","2200","1940","30750","26130"
"Leaver CS","2022","West Midlands (England)","2730","2460","30710","27570"
"Leaver CS","2022","Yorkshire and The Humber","3500","3010","30340","27570"
"Leaver Dept.","2021","East Midlands (England)","270","260","26770","21950"
"Leaver Dept.","2021","East of England","200","190","32470","29670"
"Leaver Dept.","2021","London","5340","4900","44190","39000"
"Leaver Dept.","2021","North East (England)","610","580","27550","25180"
"Leaver Dept.","2021","North West (England)","1080","1030","29370","26890"
"Leaver Dept.","2021","Northern Ireland","50","50","[c]","[c]"
"Leaver Dept.","2021","Overseas","120","70","50990","52500"
"Leaver Dept.","2021","Scotland","610","590","30530","27570"
"Leaver Dept.","2021","South East (England)","430","400","32420","28850"
"Leaver Dept.","2021","South West (England)","810","790","34540","31860"
"Leaver Dept.","2021","Unknown","710","700","35580","32000"
"Leaver Dept.","2021","Wales","590","570","32040","27570"
"Leaver Dept.","2021","West Midlands (England)","540","520","28370","24250"
"Leaver Dept.","2021","Yorkshire and The Humber","640","590","33650","30170"
"Leaver Dept.","2022","East Midlands (England)","630","600","32180","27570"
"Leaver Dept.","2022","East of England","660","620","37750","30750"
"Leaver Dept.","2022","London","10280","8910","43970","39000"
"Leaver Dept.","2022","North East (England)","1000","950","31690","27570"
"Leaver Dept.","2022","North West (England)","2070","1980","32180","27570"
"Leaver Dept.","2022","Northern Ireland","50","50","[c]","[c]"
"Leaver Dept.","2022","Overseas","60","30","[c]","[c]"
"Leaver Dept.","2022","Scotland","1250","1210","29930","27570"
"Leaver Dept.","2022","South East (England)","1070","1000","39410","32560"
"Leaver Dept.","2022","South West (England)","2130","2030","36800","32310"
"Leaver Dept.","2022","Unknown","740","540","37380","32000"
"Leaver Dept.","2022","Wales","740","730","33490","28840"
"Leaver Dept.","2022","West Midlands (England)","1310","1240","33190","27570"
"Leaver Dept.","2022","Yorkshire and The Humber","1670","1290","36530","31990"
"New entrant CS","2021","East Midlands (England)","2480","2400","26280","25560"
"New entrant CS","2021","East of England","3020","2930","27050","27570"
