"Status","Year","Function_of_post","Profession_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Declared non-disabled","180","180","42350","42220"
"In post","2021","Analysis","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Declared disabled","60","60","46070","41250"
"In post","2021","Analysis","Economics","Declared non-disabled","830","810","49140","49100"
"In post","2021","Analysis","Economics","Undeclared","90","90","44730","36120"
"In post","2021","Analysis","Economics","Unknown","300","290","39580","33880"
"In post","2021","Analysis","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Analysis","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Declared non-disabled","90","90","49540","49760"
"In post","2021","Analysis","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Unknown","170","170","53890","53360"
"In post","2021","Analysis","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Declared disabled","50","50","30860","30180"
"In post","2021","Analysis","Operational Delivery","Declared non-disabled","360","340","32780","30130"
"In post","2021","Analysis","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Unknown","160","150","31630","29540"
"In post","2021","Analysis","Operational Research","Declared disabled","80","80","42430","37590"
"In post","2021","Analysis","Operational Research","Declared non-disabled","430","420","44580","42280"
"In post","2021","Analysis","Operational Research","Undeclared","60","50","46850","46080"
"In post","2021","Analysis","Operational Research","Unknown","90","90","41580","37320"
"In post","2021","Analysis","Other","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","Declared non-disabled","160","150","68060","60510"
"In post","2021","Analysis","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","Unknown","40","40","[c]","[c]"
"In post","2021","Analysis","Policy","Declared disabled","30","30","[c]","[c]"
"In post","2021","Analysis","Policy","Declared non-disabled","230","220","48500","46170"
"In post","2021","Analysis","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","Unknown","70","70","46750","39090"
