"Status","Year","Sexual_orientation","Parent_department","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Crown Prosecution Service","4780","4470","40960","38000"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Government Legal Department","1630","1520","53220","51350"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Serious Fraud Office","330","320","46470","41080"
"In post","2021","Heterosexual / straight","Cabinet Office","Cabinet Office (excl. agencies)","4420","4300","47980","40600"
"In post","2021","Heterosexual / straight","Chancellor's other departments","Government Actuary's Department","160","150","67310","62730"
"In post","2021","Heterosexual / straight","Chancellor's other departments","National Savings and Investments","140","130","50390","45620"
"In post","2021","Heterosexual / straight","Charity Commission","Charity Commission","230","220","34440","29160"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Competition and Markets Authority","690","660","59810","56360"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","630","580","34790","34270"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","Companies House","710","660","31890","27460"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","3780","3690","49480","53380"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","Insolvency Service","910","870","34630","32060"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","UK Intellectual Property Office","830","780","38920","39040"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","UK Space Agency","140","140","47050","40620"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","1250","1230","49660","51730"
