"Status","Year","Sex","Region_ITL3","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Scotland","930","840","32400","27570"
"In post","2021","Female","Angus and Dundee City","Scotland","1160","1040","26520","22230"
"In post","2021","Female","Antrim and Newtownabbey","Northern Ireland","60","60","26650","21670"
"In post","2021","Female","Ards and North Down","Northern Ireland","60","50","28760","22330"
"In post","2021","Female","Armagh City, Banbridge and Craigavon","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","London","390","340","30120","31060"
"In post","2021","Female","Barnet","London","1060","980","38310","32330"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Yorkshire and The Humber","1840","1570","26140","26120"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","5370","4980","34700","32660"
"In post","2021","Female","Bedford","East of England","460","420","28930","27570"
"In post","2021","Female","Belfast","Northern Ireland","1440","1290","28780","25560"
"In post","2021","Female","Berkshire","South East (England)","1370","1260","32720","29290"
"In post","2021","Female","Bexley and Greenwich","London","920","860","30500","31060"
"In post","2021","Female","Birmingham","West Midlands (England)","6600","5950","30240","27570"
"In post","2021","Female","Blackburn with Darwen","North West (England)","300","250","26530","27570"
"In post","2021","Female","Blackpool","North West (England)","3220","2840","28370","27570"
"In post","2021","Female","Bournemouth and Poole","South West (England)","420","360","27030","27570"
"In post","2021","Female","Bradford","Yorkshire and The Humber","1860","1570","26880","25560"
"In post","2021","Female","Breckland and South Norfolk","East of England","220","200","27910","26300"
"In post","2021","Female","Brent","London","400","360","30470","31050"
"In post","2021","Female","Bridgend and Neath Port Talbot","Wales","500","430","26480","27570"
"In post","2021","Female","Brighton and Hove","South East (England)","420","370","30640","27570"
"In post","2021","Female","Bristol, City of","South West (England)","3520","3170","34380","29870"
"In post","2021","Female","Bromley","London","330","300","29460","31060"
"In post","2021","Female","Buckinghamshire CC","South East (England)","980","920","31030","28670"
"In post","2021","Female","Caithness and Sutherland and Ross and Cromarty","Scotland","110","100","27650","27570"
"In post","2021","Female","Calderdale and Kirklees","Yorkshire and The Humber","700","590","26790","27570"
"In post","2021","Female","Cambridgeshire CC","East of England","1620","1500","32990","29180"
"In post","2021","Female","Camden and City of London","London","1780","1670","35800","30920"
"In post","2021","Female","Cardiff and Vale of Glamorgan","Wales","6510","5880","32300","27570"
"In post","2021","Female","Causeway Coast and Glens","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Central Bedfordshire","East of England","190","170","28630","26670"
"In post","2021","Female","Central Hampshire","South East (England)","1870","1760","33500","33000"
"In post","2021","Female","Central Valleys","Wales","1130","1030","32770","28850"
"In post","2021","Female","Cheshire East","North West (England)","470","430","29740","27570"
"In post","2021","Female","Cheshire West and Chester","North West (England)","290","260","26370","27570"
"In post","2021","Female","Chorley and West Lancashire","North West (England)","630","580","28710","27380"
"In post","2021","Female","City of Edinburgh","Scotland","6750","6310","37110","31810"
