"Status","Year","Sex","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Commercial","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Berkshire, Buckinghamshire and Oxfordshire","100","90","37970","35850"
"In post","2021","Female","Commercial","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Derbyshire and Nottinghamshire","40","40","[c]","[c]"
"In post","2021","Female","Commercial","Devon","120","110","40890","38370"
"In post","2021","Female","Commercial","Dorset and Somerset","40","40","[c]","[c]"
"In post","2021","Female","Commercial","East Anglia","120","120","36340","34850"
"In post","2021","Female","Commercial","East Wales","70","70","35610","31970"
"In post","2021","Female","Commercial","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Eastern Scotland","40","40","[c]","[c]"
"In post","2021","Female","Commercial","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","740","700","37030","34500"
"In post","2021","Female","Commercial","Greater Manchester","120","110","40160","38020"
"In post","2021","Female","Commercial","Hampshire and Isle of Wight","130","120","34450","34500"
"In post","2021","Female","Commercial","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Inner London - East","30","30","[c]","[c]"
"In post","2021","Female","Commercial","Inner London - West","310","300","48260","42170"
"In post","2021","Female","Commercial","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Merseyside","130","120","34770","34800"
"In post","2021","Female","Commercial","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","North Yorkshire","40","30","[c]","[c]"
"In post","2021","Female","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Outer London - South","90","80","42340","42070"
"In post","2021","Female","Commercial","Outer London - West and North West","30","30","[c]","[c]"
"In post","2021","Female","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Shropshire and Staffordshire","60","60","37900","34800"
"In post","2021","Female","Commercial","South Yorkshire","60","60","37330","36780"
"In post","2021","Female","Commercial","Southern Scotland","40","40","[c]","[c]"
"In post","2021","Female","Commercial","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Tees Valley and Durham","40","40","[c]","[c]"
"In post","2021","Female","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","West Central Scotland","50","50","33140","33000"
"In post","2021","Female","Commercial","West Midlands","70","70","38800","36780"
"In post","2021","Female","Commercial","West Wales and The Valleys","90","80","31840","31040"
"In post","2021","Female","Commercial","West Yorkshire","110","110","40210","36820"
"In post","2021","Female","Communications","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Berkshire, Buckinghamshire and Oxfordshire","40","30","[c]","[c]"
"In post","2021","Female","Communications","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Derbyshire and Nottinghamshire","60","50","37320","36780"
"In post","2021","Female","Communications","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","East Wales","150","140","38400","36950"
"In post","2021","Female","Communications","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","110","100","35130","33320"
"In post","2021","Female","Communications","Greater Manchester","60","50","33740","31810"
"In post","2021","Female","Communications","Hampshire and Isle of Wight","110","100","33860","33000"
"In post","2021","Female","Communications","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Inner London - East","130","130","45950","41010"
"In post","2021","Female","Communications","Inner London - West","1070","1030","46010","42710"
"In post","2021","Female","Communications","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Merseyside","40","40","[c]","[c]"
"In post","2021","Female","Communications","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Northumberland and Tyne and Wear","50","50","33580","31460"
"In post","2021","Female","Communications","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","West Midlands","70","60","43880","40000"
"In post","2021","Female","Communications","West Wales and The Valleys","60","60","31920","26780"
"In post","2021","Female","Communications","West Yorkshire","30","30","[c]","[c]"
"In post","2021","Female","Corporate Finance","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Inner London - West","140","130","40810","33770"
"In post","2021","Female","Counter Fraud","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","West Central Scotland","50","50","27360","25040"
"In post","2021","Female","Counter Fraud","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Berkshire, Buckinghamshire and Oxfordshire","80","70","39860","35300"
"In post","2021","Female","Digital, Data and Technology","Cheshire","60","50","40530","36740"
"In post","2021","Female","Digital, Data and Technology","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Derbyshire and Nottinghamshire","60","60","41390","39060"
"In post","2021","Female","Digital, Data and Technology","Devon","270","240","36290","35030"
"In post","2021","Female","Digital, Data and Technology","Dorset and Somerset","50","50","35110","33290"
"In post","2021","Female","Digital, Data and Technology","East Anglia","60","60","33630","30810"
"In post","2021","Female","Digital, Data and Technology","East Wales","350","340","39650","37020"
