"Status","Year","Sex","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Analysis","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Chancellor's other departments","70","60","64330","65470"
"In post","2021","Female","Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Competition and Markets Authority","60","50","57500","56360"
"In post","2021","Female","Analysis","Department for Business, Energy and Industrial Strategy","120","120","43070","35640"
"In post","2021","Female","Analysis","Department for Digital, Culture, Media and Sport","50","50","53780","59730"
"In post","2021","Female","Analysis","Department for Education","220","200","43850","42580"
"In post","2021","Female","Analysis","Department for Environment, Food and Rural Affairs","260","240","32170","29270"
"In post","2021","Female","Analysis","Department for International Trade","100","100","41910","38160"
"In post","2021","Female","Analysis","Department for Transport","210","190","44920","42890"
"In post","2021","Female","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Department of Health and Social Care","150","130","52140","53360"
"In post","2021","Female","Analysis","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","HM Revenue and Customs","310","290","44340","38630"
"In post","2021","Female","Analysis","HM Treasury","50","50","57500","54170"
"In post","2021","Female","Analysis","Ministry of Defence","230","210","38680","37320"
"In post","2021","Female","Analysis","Ministry of Housing, Communities and Local Government","80","70","46550","42980"
"In post","2021","Female","Analysis","Ministry of Justice","200","190","45030","40480"
"In post","2021","Female","Analysis","Office for Standards in Education","80","80","40340","35010"
"In post","2021","Female","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","United Kingdom Statistics Authority","910","850","36230","33020"
"In post","2021","Female","Analysis","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Cabinet Office","670","650","66570","62250"
"In post","2021","Female","Commercial","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Department for Business, Energy and Industrial Strategy","130","130","40940","39270"
"In post","2021","Female","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Department for Education","110","100","40350","38000"
"In post","2021","Female","Commercial","Department for Environment, Food and Rural Affairs","130","120","35650","35900"
"In post","2021","Female","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Department for Transport","110","100","32720","31040"
"In post","2021","Female","Commercial","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Department of Health and Social Care","130","130","45300","40650"
"In post","2021","Female","Commercial","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Foreign, Commonwealth and Development Office","110","110","39990","38500"
"In post","2021","Female","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","HM Revenue and Customs","80","70","34640","31960"
"In post","2021","Female","Commercial","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Ministry of Defence","1010","960","34510","33300"
"In post","2021","Female","Commercial","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Ministry of Justice","580","560","41610","37970"
"In post","2021","Female","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Other Cabinet Office Agencies","190","180","33620","33340"
"In post","2021","Female","Commercial","Scottish Government","40","40","[c]","[c]"
"In post","2021","Female","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","UK Export Finance","60","60","45420","44080"
"In post","2021","Female","Commercial","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Attorney General's Departments","60","60","44340","39750"
"In post","2021","Female","Communications","Cabinet Office","200","200","46520","42550"
"In post","2021","Female","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Department for Business, Energy and Industrial Strategy","130","120","43980","40050"
"In post","2021","Female","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Department for Education","210","200","38660","36720"
"In post","2021","Female","Communications","Department for Environment, Food and Rural Affairs","250","230","37400","35900"
"In post","2021","Female","Communications","Department for International Trade","60","60","39600","38470"
"In post","2021","Female","Communications","Department for Transport","180","170","36550","33350"
"In post","2021","Female","Communications","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Department of Health and Social Care","180","180","43410","36200"
"In post","2021","Female","Communications","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Foreign, Commonwealth and Development Office","80","80","47100","42200"
"In post","2021","Female","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","HM Revenue and Customs","2010","1880","29800","25560"
"In post","2021","Female","Communications","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Ministry of Defence","370","350","34360","33000"
"In post","2021","Female","Communications","Ministry of Housing, Communities and Local Government","50","50","40380","34200"
"In post","2021","Female","Communications","Ministry of Justice","90","80","44480","39610"
"In post","2021","Female","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Scottish Government","40","30","[c]","[c]"
"In post","2021","Female","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","United Kingdom Statistics Authority","50","50","36130","30500"
"In post","2021","Female","Communications","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Attorney General's Departments","100","100","42940","34370"
"In post","2021","Female","Counter Fraud","Cabinet Office","50","40","[c]","[c]"
"In post","2021","Female","Counter Fraud","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Department for Business, Energy and Industrial Strategy","120","110","38130","39170"
"In post","2021","Female","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","HM Revenue and Customs","4190","3800","31820","29570"
"In post","2021","Female","Counter Fraud","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt","HM Revenue and Customs","2640","2280","23280","21440"
"In post","2021","Female","Debt","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Attorney General's Departments","80","70","37550","35290"
"In post","2021","Female","Digital, Data & Technology","Cabinet Office","420","410","49800","54700"
"In post","2021","Female","Digital, Data & Technology","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","480","450","39580","39420"
"In post","2021","Female","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Department for Education","270","260","40760","36870"
"In post","2021","Female","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","290","270","42020","39050"
"In post","2021","Female","Digital, Data & Technology","Department for International Trade","70","70","44510","43000"
"In post","2021","Female","Digital, Data & Technology","Department for Transport","360","340","35740","32180"
"In post","2021","Female","Digital, Data & Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Department of Health and Social Care","150","140","43480","39400"
"In post","2021","Female","Digital, Data & Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Foreign, Commonwealth and Development Office","120","110","39350","36640"
"In post","2021","Female","Digital, Data & Technology","HM Land Registry","240","210","37460","38450"
"In post","2021","Female","Digital, Data & Technology","HM Revenue and Customs","1050","990","38690","34170"
"In post","2021","Female","Digital, Data & Technology","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Ministry of Defence","350","330","31280","28410"
"In post","2021","Female","Digital, Data & Technology","Ministry of Housing, Communities and Local Government","60","60","42810","39600"
"In post","2021","Female","Digital, Data & Technology","Ministry of Justice","420","400","44650","42320"
"In post","2021","Female","Digital, Data & Technology","National Crime Agency","110","100","38090","36740"
"In post","2021","Female","Digital, Data & Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Office for Standards in Education","30","30","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Other Cabinet Office Agencies","40","40","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Scottish Government","60","50","39130","34190"
"In post","2021","Female","Digital, Data & Technology","The National Archives","40","40","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","United Kingdom Statistics Authority","200","200","40370","36310"
"In post","2021","Female","Digital, Data & Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Attorney General's Departments","80","70","34400","31010"
"In post","2021","Female","Finance","Cabinet Office","40","40","[c]","[c]"
"In post","2021","Female","Finance","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Department for Business, Energy and Industrial Strategy","180","160","42340","39820"
"In post","2021","Female","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Department for Education","280","270","42340","40670"
"In post","2021","Female","Finance","Department for Environment, Food and Rural Affairs","220","200","39750","36970"
"In post","2021","Female","Finance","Department for International Trade","40","40","[c]","[c]"
"In post","2021","Female","Finance","Department for Transport","220","200","37200","32430"
"In post","2021","Female","Finance","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Department of Health and Social Care","340","330","39190","34350"
"In post","2021","Female","Finance","ESTYN","[c]","[c]","[c]","[c]"
