"Status","Year","Profession_of_post","Region_ITL2","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","140","140","39670","37500"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Declared non-disabled","50","50","46370","45870"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","Declared non-disabled","200","190","43140","40140"
"In post","2021","Commercial","Devon","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","Declared non-disabled","120","120","38970","36710"
"In post","2021","Commercial","East Anglia","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","Unknown","70","60","35220","34800"
"In post","2021","Commercial","East Wales","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Wales","Declared non-disabled","80","80","39570","35760"
"In post","2021","Commercial","East Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Wales","Unknown","60","50","32720","29110"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","Unknown","60","60","30860","25870"
"In post","2021","Commercial","Essex","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Declared disabled","150","140","40040","37600"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Declared non-disabled","1010","970","38130","34800"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","100","90","41760","41080"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","180","170","40660","38240"
"In post","2021","Commercial","Greater Manchester","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","Declared non-disabled","160","160","40640","38250"
"In post","2021","Commercial","Greater Manchester","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hampshire and Isle of Wight","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hampshire and Isle of Wight","Declared non-disabled","160","150","35390","34500"
"In post","2021","Commercial","Hampshire and Isle of Wight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Highlands and Islands","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Highlands and Islands","Declared non-disabled","[c]","[c]","[c]","[c]"
