"Status","Year","Parent_department","Organisation","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Attorney General's Office","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Attorney General's Office","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Attorney General's Office","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Attorney General's Office","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Attorney General's Office","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Attorney General's Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Attorney General's Office","White","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Crown Prosecution Service","Asian","600","550","39420","34220"
"In post","2021","Attorney General's Departments","Crown Prosecution Service","Black","370","350","40320","32720"
"In post","2021","Attorney General's Departments","Crown Prosecution Service","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Crown Prosecution Service","Mixed","170","160","42960","44440"
"In post","2021","Attorney General's Departments","Crown Prosecution Service","Other ethnicity","50","50","44250","44040"
"In post","2021","Attorney General's Departments","Crown Prosecution Service","Undeclared","120","120","40920","38470"
"In post","2021","Attorney General's Departments","Crown Prosecution Service","Unknown","680","630","39900","32520"
"In post","2021","Attorney General's Departments","Crown Prosecution Service","White","4730","4390","41840","38180"
"In post","2021","Attorney General's Departments","Crown Prosecution Service Inspectorate","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Crown Prosecution Service Inspectorate","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Crown Prosecution Service Inspectorate","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Crown Prosecution Service Inspectorate","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Crown Prosecution Service Inspectorate","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Crown Prosecution Service Inspectorate","Unknown","[c]","[c]","[c]","[c]"
