"Status","Year","Function_of_post","Age","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","16-19","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","16-19","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Asian","180","180","36210","33930"
"In post","2021","Analysis","20-29","Black","60","60","34560","32540"
"In post","2021","Analysis","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Mixed","90","90","36910","34070"
"In post","2021","Analysis","20-29","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Undeclared","50","50","36850","34780"
"In post","2021","Analysis","20-29","Unknown","460","450","35190","32750"
"In post","2021","Analysis","20-29","White","1600","1590","36090","33930"
"In post","2021","Analysis","30-39","Asian","110","110","48780","51710"
"In post","2021","Analysis","30-39","Black","30","30","[c]","[c]"
"In post","2021","Analysis","30-39","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","30-39","Mixed","50","50","45230","43760"
"In post","2021","Analysis","30-39","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","30-39","Undeclared","90","80","46130","46080"
"In post","2021","Analysis","30-39","Unknown","280","270","43860","41730"
"In post","2021","Analysis","30-39","White","1450","1390","45380","42420"
"In post","2021","Analysis","40-49","Asian","80","70","48870","49100"
"In post","2021","Analysis","40-49","Black","40","40","[c]","[c]"
"In post","2021","Analysis","40-49","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","40-49","Mixed","40","40","[c]","[c]"
"In post","2021","Analysis","40-49","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","40-49","Undeclared","50","50","[c]","[c]"
"In post","2021","Analysis","40-49","Unknown","130","120","50800","52560"
"In post","2021","Analysis","40-49","White","1060","990","49380","47550"
"In post","2021","Analysis","50-59","Asian","40","40","[c]","[c]"
"In post","2021","Analysis","50-59","Black","30","30","[c]","[c]"
"In post","2021","Analysis","50-59","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","50-59","Undeclared","50","50","[c]","[c]"
"In post","2021","Analysis","50-59","Unknown","70","70","46590","42580"
"In post","2021","Analysis","50-59","White","760","720","48620","45050"
"In post","2021","Analysis","60-64","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","60-64","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","60-64","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","60-64","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","60-64","White","150","120","44930","40720"
"In post","2021","Analysis","65+","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","65+","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","65+","White","50","40","44790","39210"
"In post","2021","Analysis","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Asian","50","50","31580","31330"
"In post","2021","Commercial","20-29","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Unknown","230","220","37590","33000"
"In post","2021","Commercial","20-29","White","580","570","31480","29650"
"In post","2021","Commercial","30-39","Asian","70","70","41500","38330"
"In post","2021","Commercial","30-39","Black","40","40","[c]","[c]"
"In post","2021","Commercial","30-39","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Undeclared","60","60","39840","40600"
"In post","2021","Commercial","30-39","Unknown","350","350","55610","54130"
"In post","2021","Commercial","30-39","White","960","930","39080","36970"
"In post","2021","Commercial","40-49","Asian","80","70","45510","40400"
"In post","2021","Commercial","40-49","Black","50","40","[c]","[c]"
"In post","2021","Commercial","40-49","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","40-49","Undeclared","70","70","40460","34800"
"In post","2021","Commercial","40-49","Unknown","510","500","64360","62010"
"In post","2021","Commercial","40-49","White","1140","1100","45800","40580"
"In post","2021","Commercial","50-59","Asian","60","60","46030","36820"
"In post","2021","Commercial","50-59","Black","70","70","42610","39660"
"In post","2021","Commercial","50-59","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","50-59","Undeclared","100","100","44350","39850"
"In post","2021","Commercial","50-59","Unknown","440","430","67330","61380"
"In post","2021","Commercial","50-59","White","1450","1420","46340","40980"
"In post","2021","Commercial","60-64","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","60-64","Unknown","60","50","54370","53090"
"In post","2021","Commercial","60-64","White","290","260","44240","40580"
"In post","2021","Commercial","65+","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","65+","White","70","60","37150","33910"
"In post","2021","Communications","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","16-19","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","16-19","White","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Asian","150","150","29070","25940"
"In post","2021","Communications","20-29","Black","40","40","[c]","[c]"
"In post","2021","Communications","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Mixed","50","50","32180","31810"
"In post","2021","Communications","20-29","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","Unknown","810","810","29190","25560"
"In post","2021","Communications","20-29","White","990","980","30640","26980"
"In post","2021","Communications","30-39","Asian","180","170","33570","31810"
"In post","2021","Communications","30-39","Black","60","60","30800","27270"
"In post","2021","Communications","30-39","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","Mixed","60","60","38410","36690"
"In post","2021","Communications","30-39","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","30-39","Undeclared","60","50","34980","31810"
"In post","2021","Communications","30-39","Unknown","700","680","34040","31810"
"In post","2021","Communications","30-39","White","1380","1330","36640","31810"
"In post","2021","Communications","40-49","Asian","110","100","38060","31810"
"In post","2021","Communications","40-49","Black","60","50","33840","29730"
"In post","2021","Communications","40-49","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","40-49","Undeclared","50","50","[c]","[c]"
"In post","2021","Communications","40-49","Unknown","390","370","38740","31810"
"In post","2021","Communications","40-49","White","1200","1140","39120","34260"
"In post","2021","Communications","50-59","Asian","50","50","[c]","[c]"
"In post","2021","Communications","50-59","Black","40","40","[c]","[c]"
"In post","2021","Communications","50-59","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","50-59","Undeclared","80","70","33090","28130"
"In post","2021","Communications","50-59","Unknown","220","210","33930","29540"
"In post","2021","Communications","50-59","White","1010","960","36530","31810"
"In post","2021","Communications","60-64","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","60-64","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","60-64","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","60-64","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","60-64","Unknown","30","30","[c]","[c]"
"In post","2021","Communications","60-64","White","240","200","32970","28130"
"In post","2021","Communications","65+","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","65+","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","65+","White","60","50","32570","28130"
"In post","2021","Counter Fraud","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","16-19","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","16-19","White","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","20-29","Asian","80","80","30050","29570"
"In post","2021","Counter Fraud","20-29","Black","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","20-29","Mixed","30","30","[c]","[c]"
"In post","2021","Counter Fraud","20-29","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","20-29","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","20-29","Unknown","370","370","28290","25560"
"In post","2021","Counter Fraud","20-29","White","560","560","30240","27240"
"In post","2021","Counter Fraud","30-39","Asian","170","160","32490","31810"
"In post","2021","Counter Fraud","30-39","Black","50","50","31360","29570"
"In post","2021","Counter Fraud","30-39","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","30-39","Mixed","40","30","[c]","[c]"
"In post","2021","Counter Fraud","30-39","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","30-39","Undeclared","80","70","34960","31810"
"In post","2021","Counter Fraud","30-39","Unknown","420","410","31050","29570"
"In post","2021","Counter Fraud","30-39","White","1300","1260","33150","31810"
"In post","2021","Counter Fraud","40-49","Asian","160","150","32510","31810"
"In post","2021","Counter Fraud","40-49","Black","40","40","[c]","[c]"
"In post","2021","Counter Fraud","40-49","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","40-49","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","40-49","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","40-49","Undeclared","150","140","36300","31810"
"In post","2021","Counter Fraud","40-49","Unknown","310","300","32270","31810"
"In post","2021","Counter Fraud","40-49","White","1570","1500","34410","31810"
"In post","2021","Counter Fraud","50-59","Asian","150","140","32960","31810"
"In post","2021","Counter Fraud","50-59","Black","110","100","32250","31810"
"In post","2021","Counter Fraud","50-59","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","50-59","Mixed","40","40","[c]","[c]"
"In post","2021","Counter Fraud","50-59","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","50-59","Undeclared","250","240","36360","32520"
"In post","2021","Counter Fraud","50-59","Unknown","430","410","35970","32520"
"In post","2021","Counter Fraud","50-59","White","2230","2110","35820","31870"
"In post","2021","Counter Fraud","60-64","Asian","40","30","[c]","[c]"
"In post","2021","Counter Fraud","60-64","Black","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","60-64","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","60-64","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","60-64","Undeclared","70","60","37180","32520"
"In post","2021","Counter Fraud","60-64","Unknown","110","90","33710","31950"
"In post","2021","Counter Fraud","60-64","White","530","390","34730","31830"
"In post","2021","Counter Fraud","65+","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","65+","Black","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","65+","Unknown","40","30","[c]","[c]"
"In post","2021","Counter Fraud","65+","White","110","70","33550","31810"
"In post","2021","Debt","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Debt","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2021","Debt","16-19","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Debt","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Debt","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Debt","16-19","Unknown","30","30","[c]","[c]"
"In post","2021","Debt","16-19","White","[c]","[c]","[c]","[c]"
"In post","2021","Debt","20-29","Asian","70","60","21380","20140"
"In post","2021","Debt","20-29","Black","[c]","[c]","[c]","[c]"
"In post","2021","Debt","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Debt","20-29","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Debt","20-29","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Debt","20-29","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","20-29","Unknown","600","580","20820","20140"
"In post","2021","Debt","20-29","White","360","350","21880","20140"
"In post","2021","Debt","30-39","Asian","60","60","21900","20140"
"In post","2021","Debt","30-39","Black","[c]","[c]","[c]","[c]"
"In post","2021","Debt","30-39","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Debt","30-39","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Debt","30-39","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Debt","30-39","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","30-39","Unknown","340","320","21110","20140"
"In post","2021","Debt","30-39","White","410","370","22800","20140"
"In post","2021","Debt","40-49","Asian","70","60","24380","24340"
"In post","2021","Debt","40-49","Black","30","30","[c]","[c]"
"In post","2021","Debt","40-49","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Debt","40-49","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Debt","40-49","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Debt","40-49","Undeclared","40","40","[c]","[c]"
"In post","2021","Debt","40-49","Unknown","220","200","21820","20140"
"In post","2021","Debt","40-49","White","470","420","24900","21440"
"In post","2021","Debt","50-59","Asian","90","80","25390","25560"
"In post","2021","Debt","50-59","Black","60","50","26990","25630"
"In post","2021","Debt","50-59","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Debt","50-59","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Debt","50-59","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Debt","50-59","Undeclared","50","40","[c]","[c]"
"In post","2021","Debt","50-59","Unknown","260","230","22680","20650"
"In post","2021","Debt","50-59","White","800","710","25310","21440"
"In post","2021","Debt","60-64","Asian","30","20","[c]","[c]"
"In post","2021","Debt","60-64","Black","[c]","[c]","[c]","[c]"
"In post","2021","Debt","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Debt","60-64","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Debt","60-64","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Debt","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","60-64","Unknown","80","60","23470","21440"
"In post","2021","Debt","60-64","White","280","210","24320","21440"
"In post","2021","Debt","65+","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Debt","65+","Black","[c]","[c]","[c]","[c]"
"In post","2021","Debt","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Debt","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Debt","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Debt","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt","65+","White","80","60","25660","21440"
"In post","2021","Digital, Data & Technology","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","16-19","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","16-19","White","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","20-29","Asian","170","170","33190","30990"
"In post","2021","Digital, Data & Technology","20-29","Black","50","50","[c]","[c]"
"In post","2021","Digital, Data & Technology","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","20-29","Mixed","50","50","[c]","[c]"
"In post","2021","Digital, Data & Technology","20-29","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","20-29","Undeclared","50","50","[c]","[c]"
"In post","2021","Digital, Data & Technology","20-29","Unknown","640","640","32710","31810"
"In post","2021","Digital, Data & Technology","20-29","White","1090","1090","33610","31810"
"In post","2021","Digital, Data & Technology","30-39","Asian","260","260","41670","38580"
"In post","2021","Digital, Data & Technology","30-39","Black","90","90","40710","36160"
"In post","2021","Digital, Data & Technology","30-39","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","30-39","Mixed","70","70","46820","48740"
