"Status","Year","Sex","Ethnicity","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Asian","Commercial","120","110","38000","35190"
"In post","2021","Female","Asian","Communications","110","100","40290","37210"
"In post","2021","Female","Asian","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Digital, Data and Technology","330","320","42430","38180"
"In post","2021","Female","Asian","Economics","70","70","46210","52360"
"In post","2021","Female","Asian","Finance","370","350","38240","35200"
"In post","2021","Female","Asian","Human Resources","300","290","37340","34640"
"In post","2021","Female","Asian","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Intelligence Analysis","110","100","32960","29480"
"In post","2021","Female","Asian","Internal Audit","40","40","[c]","[c]"
"In post","2021","Female","Asian","International Trade","60","60","43650","38540"
"In post","2021","Female","Asian","Knowledge and Information Management","70","70","34010","32330"
"In post","2021","Female","Asian","Legal","570","520","48370","50520"
"In post","2021","Female","Asian","Medicine","130","110","69750","71460"
"In post","2021","Female","Asian","Operational Delivery","5730","5070","27360","25630"
"In post","2021","Female","Asian","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Other","480","450","32940","29060"
"In post","2021","Female","Asian","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Policy","1160","1120","42580","38800"
"In post","2021","Female","Asian","Project Delivery","440","420","40080","36800"
"In post","2021","Female","Asian","Property","110","100","35700","31660"
"In post","2021","Female","Asian","Psychology","30","30","[c]","[c]"
"In post","2021","Female","Asian","Science and Engineering","290","280","36080","33090"
"In post","2021","Female","Asian","Security","90","80","34410","31390"
"In post","2021","Female","Asian","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Statistics","70","60","42120","38530"
"In post","2021","Female","Asian","Tax","590","540","31770","31810"
"In post","2021","Female","Asian","Unknown","4970","4310","29010","27570"
"In post","2021","Female","Asian","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Commercial","120","120","36990","34900"
"In post","2021","Female","Black","Communications","80","80","37710","35010"
"In post","2021","Female","Black","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Digital, Data and Technology","160","150","40320","38630"
"In post","2021","Female","Black","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Finance","230","220","38420","35200"
"In post","2021","Female","Black","Human Resources","240","230","37720","34500"
"In post","2021","Female","Black","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Intelligence Analysis","40","40","[c]","[c]"
"In post","2021","Female","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","International Trade","30","30","[c]","[c]"
"In post","2021","Female","Black","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","Female","Black","Legal","310","300","47850","50500"
"In post","2021","Female","Black","Medicine","40","40","[c]","[c]"
"In post","2021","Female","Black","Operational Delivery","3660","3410","28960","26810"
"In post","2021","Female","Black","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Other","340","340","30280","28310"
"In post","2021","Female","Black","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Policy","760","750","38960","34890"
"In post","2021","Female","Black","Project Delivery","320","310","40130","37660"
"In post","2021","Female","Black","Property","80","70","34630","31620"
"In post","2021","Female","Black","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Science and Engineering","160","150","35460","33180"
"In post","2021","Female","Black","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Statistics","30","30","[c]","[c]"
"In post","2021","Female","Black","Tax","240","230","31220","31810"
"In post","2021","Female","Black","Unknown","3010","2810","29970","31060"
"In post","2021","Female","Black","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Finance","30","30","[c]","[c]"
"In post","2021","Female","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Legal","30","30","[c]","[c]"
"In post","2021","Female","Chinese","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Operational Delivery","210","190","28880","25560"
"In post","2021","Female","Chinese","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Other","40","30","[c]","[c]"
"In post","2021","Female","Chinese","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Policy","80","80","46980","42430"
"In post","2021","Female","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Science and Engineering","30","30","[c]","[c]"
"In post","2021","Female","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Unknown","130","110","30330","27570"
"In post","2021","Female","Chinese","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Mixed","Commercial","60","50","39730","34780"
"In post","2021","Female","Mixed","Communications","70","70","42240","39290"
"In post","2021","Female","Mixed","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Mixed","Digital, Data and Technology","90","80","41240","39980"
"In post","2021","Female","Mixed","Economics","40","40","[c]","[c]"
"In post","2021","Female","Mixed","Finance","80","80","40710","38140"
"In post","2021","Female","Mixed","Human Resources","110","110","40660","37640"
"In post","2021","Female","Mixed","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Female","Mixed","Intelligence Analysis","40","40","[c]","[c]"
"In post","2021","Female","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Mixed","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Mixed","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Mixed","Legal","180","160","51550","51830"
"In post","2021","Female","Mixed","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Female","Mixed","Operational Delivery","1610","1480","29010","26160"
"In post","2021","Female","Mixed","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Mixed","Other","150","140","33140","28660"
"In post","2021","Female","Mixed","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","Mixed","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Female","Mixed","Policy","520","510","43600","39310"
"In post","2021","Female","Mixed","Project Delivery","140","130","40250","36800"
"In post","2021","Female","Mixed","Property","50","40","[c]","[c]"
"In post","2021","Female","Mixed","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Mixed","Science and Engineering","80","80","34210","33330"
"In post","2021","Female","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Mixed","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Mixed","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Mixed","Tax","100","100","32220","31810"
"In post","2021","Female","Mixed","Unknown","1330","1220","30270","27570"
"In post","2021","Female","Mixed","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other ethnicity","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other ethnicity","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other ethnicity","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other ethnicity","Finance","40","30","[c]","[c]"
"In post","2021","Female","Other ethnicity","Human Resources","30","30","[c]","[c]"
"In post","2021","Female","Other ethnicity","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other ethnicity","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other ethnicity","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other ethnicity","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other ethnicity","Legal","80","70","56180","55310"
"In post","2021","Female","Other ethnicity","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other ethnicity","Operational Delivery","440","400","29240","26550"
