"Status","Year","Age","Region_ITL3","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Sheffield","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Shropshire CC","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Solihull","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Solihull","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Somerset","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Somerset","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South and West Derbyshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South Hampshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South Hampshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South Lanarkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South Teesside","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Southampton","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Southampton","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Southend-on-Sea","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Staffordshire CC","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Staffordshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Stoke-on-Trent","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Suffolk","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Suffolk","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Sunderland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Swansea","AA/AO","50","40","[c]","[c]"
"In post","2021","16-19","Swansea","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Thurrock","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tower Hamlets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tower Hamlets","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tyneside","AA/AO","60","50","20570","20140"
"In post","2021","16-19","Tyneside","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","16-19","Wakefield","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Warwickshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Cumbria","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Lothian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Northamptonshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Surrey","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Surrey","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Sussex (South West)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Sussex (South West)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Sussex (South West)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Westminster","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Westminster","EO","70","70","25790","25170"
"In post","2021","16-19","Westminster","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wiltshire","AA/AO","30","30","[c]","[c]"
"In post","2021","16-19","Wiltshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wirral","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wolverhampton","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Worcestershire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Worcestershire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","York","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","York","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Aberdeen City and Aberdeenshire","AA/AO","110","110","23830","22220"
"In post","2021","20-29","Aberdeen City and Aberdeenshire","EO","80","80","28500","27840"
"In post","2021","20-29","Aberdeen City and Aberdeenshire","SEO/HEO","40","40","[c]","[c]"
"In post","2021","20-29","Angus and Dundee City","AA/AO","160","150","21140","21010"
"In post","2021","20-29","Angus and Dundee City","EO","40","40","[c]","[c]"
"In post","2021","20-29","Angus and Dundee City","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Angus and Dundee City","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Antrim and Newtownabbey","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Antrim and Newtownabbey","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Ards and North Down","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Barking & Dagenham and Havering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Barking & Dagenham and Havering","EO","60","60","30950","31060"
"In post","2021","20-29","Barking & Dagenham and Havering","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Barking & Dagenham and Havering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Barnet","AA/AO","80","70","23990","23530"
"In post","2021","20-29","Barnet","EO","120","110","28920","27720"
"In post","2021","20-29","Barnet","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Barnet","SEO/HEO","120","120","35180","32880"
"In post","2021","20-29","Barnet","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Barnsley, Doncaster and Rotherham","AA/AO","300","300","23480","22850"
"In post","2021","20-29","Barnsley, Doncaster and Rotherham","EO","70","70","28080","27570"
"In post","2021","20-29","Barnsley, Doncaster and Rotherham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Barnsley, Doncaster and Rotherham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Barnsley, Doncaster and Rotherham","Unknown","30","30","[c]","[c]"
"In post","2021","20-29","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","190","180","21710","20920"
"In post","2021","20-29","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","1130","1120","23810","25310"
"In post","2021","20-29","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","1150","1140","32000","31600"
"In post","2021","20-29","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","340","340","28720","27540"
"In post","2021","20-29","Bedford","AA/AO","110","110","27580","29920"
"In post","2021","20-29","Bedford","EO","30","30","[c]","[c]"
"In post","2021","20-29","Bedford","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Bedford","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Belfast","AA/AO","240","220","20360","20140"
"In post","2021","20-29","Belfast","EO","100","100","25450","25560"
"In post","2021","20-29","Belfast","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Belfast","SEO/HEO","50","50","[c]","[c]"
"In post","2021","20-29","Berkshire","AA/AO","210","210","26640","26610"
"In post","2021","20-29","Berkshire","EO","100","100","29080","29290"
"In post","2021","20-29","Berkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Berkshire","SEO/HEO","60","60","33680","32120"
"In post","2021","20-29","Berkshire","Unknown","40","40","[c]","[c]"
"In post","2021","20-29","Bexley and Greenwich","AA/AO","210","200","28730","30150"
"In post","2021","20-29","Bexley and Greenwich","EO","90","80","31660","31060"
"In post","2021","20-29","Bexley and Greenwich","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Bexley and Greenwich","Unknown","30","30","[c]","[c]"
"In post","2021","20-29","Birmingham","AA/AO","800","770","20610","20140"
"In post","2021","20-29","Birmingham","EO","570","570","25860","25560"
"In post","2021","20-29","Birmingham","G6/G7","50","50","52590","52580"
"In post","2021","20-29","Birmingham","SEO/HEO","320","320","32420","31810"
"In post","2021","20-29","Birmingham","Unknown","60","60","24320","22920"
"In post","2021","20-29","Blackburn with Darwen","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Blackburn with Darwen","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Blackburn with Darwen","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Blackburn with Darwen","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Blackpool","AA/AO","310","310","21010","21010"
"In post","2021","20-29","Blackpool","EO","220","210","27530","27570"
"In post","2021","20-29","Blackpool","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Blackpool","SEO/HEO","50","50","[c]","[c]"
"In post","2021","20-29","Blackpool","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Bournemouth and Poole","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Bournemouth and Poole","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Bournemouth and Poole","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Bournemouth and Poole","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Bradford","AA/AO","270","260","20200","20140"
"In post","2021","20-29","Bradford","EO","130","130","26460","27570"
"In post","2021","20-29","Bradford","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Bradford","SEO/HEO","50","50","[c]","[c]"
"In post","2021","20-29","Bradford","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Breckland and South Norfolk","AA/AO","80","80","23350","23970"
"In post","2021","20-29","Breckland and South Norfolk","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Breckland and South Norfolk","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Breckland and South Norfolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Brent","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Brent","EO","70","70","30590","31060"
"In post","2021","20-29","Brent","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Brent","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Bridgend and Neath Port Talbot","AA/AO","40","40","[c]","[c]"
"In post","2021","20-29","Bridgend and Neath Port Talbot","EO","30","30","[c]","[c]"
"In post","2021","20-29","Bridgend and Neath Port Talbot","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Bridgend and Neath Port Talbot","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Brighton and Hove","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Brighton and Hove","EO","40","40","[c]","[c]"
"In post","2021","20-29","Brighton and Hove","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Brighton and Hove","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Bristol, City of","AA/AO","360","350","21400","21050"
"In post","2021","20-29","Bristol, City of","EO","290","280","25820","25560"
"In post","2021","20-29","Bristol, City of","G6/G7","70","70","51340","52580"
"In post","2021","20-29","Bristol, City of","SEO/HEO","340","340","32420","31810"
"In post","2021","20-29","Bristol, City of","Unknown","50","50","[c]","[c]"
"In post","2021","20-29","Bromley","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Bromley","EO","40","40","[c]","[c]"
"In post","2021","20-29","Bromley","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Bromley","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Buckinghamshire CC","AA/AO","120","120","25590","27850"
"In post","2021","20-29","Buckinghamshire CC","EO","70","70","27760","27570"
"In post","2021","20-29","Buckinghamshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Buckinghamshire CC","SEO/HEO","50","50","[c]","[c]"
"In post","2021","20-29","Buckinghamshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Caithness and Sutherland and Ross and Cromarty","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Caithness and Sutherland and Ross and Cromarty","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Calderdale and Kirklees","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Calderdale and Kirklees","EO","70","60","27420","27570"
"In post","2021","20-29","Calderdale and Kirklees","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Calderdale and Kirklees","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cambridgeshire CC","AA/AO","230","220","25060","25850"
"In post","2021","20-29","Cambridgeshire CC","EO","110","110","26720","26670"
"In post","2021","20-29","Cambridgeshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cambridgeshire CC","SEO/HEO","90","90","33200","33000"
"In post","2021","20-29","Cambridgeshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Camden and City of London","AA/AO","170","170","22670","22680"
"In post","2021","20-29","Camden and City of London","EO","190","180","29150","29570"
"In post","2021","20-29","Camden and City of London","G6/G7","50","50","[c]","[c]"
"In post","2021","20-29","Camden and City of London","SEO/HEO","170","170","36990","36160"
"In post","2021","20-29","Camden and City of London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cardiff and Vale of Glamorgan","AA/AO","850","830","21020","20140"
"In post","2021","20-29","Cardiff and Vale of Glamorgan","EO","690","690","26280","25560"
"In post","2021","20-29","Cardiff and Vale of Glamorgan","G6/G7","40","40","[c]","[c]"
"In post","2021","20-29","Cardiff and Vale of Glamorgan","SEO/HEO","350","340","32790","31810"
"In post","2021","20-29","Cardiff and Vale of Glamorgan","Unknown","40","40","[c]","[c]"
"In post","2021","20-29","Causeway Coast and Glens","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Central Bedfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Central Bedfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Central Bedfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Central Hampshire","AA/AO","150","150","24450","20920"
"In post","2021","20-29","Central Hampshire","EO","120","120","25660","26350"
"In post","2021","20-29","Central Hampshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Central Hampshire","SEO/HEO","350","350","31740","28650"
"In post","2021","20-29","Central Hampshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Central Valleys","AA/AO","70","70","22360","22160"
"In post","2021","20-29","Central Valleys","EO","60","60","28000","27570"
"In post","2021","20-29","Central Valleys","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Central Valleys","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cheshire East","AA/AO","70","70","23070","22850"
