"Status","Year","Ethnicity","Region_ITL1","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","East Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Legal","50","50","43450","47360"
"In post","2021","Asian","East Midlands (England)","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Operational Delivery","730","660","24900","22180"
"In post","2021","Asian","East Midlands (England)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Tax","130","120","31420","31810"
"In post","2021","Asian","East Midlands (England)","Unknown","630","550","24820","26840"
"In post","2021","Asian","East Midlands (England)","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Operational Delivery","510","450","26550","24440"
"In post","2021","Asian","East of England","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Project Delivery","30","30","[c]","[c]"
"In post","2021","Asian","East of England","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Science and Engineering","40","40","[c]","[c]"
"In post","2021","Asian","East of England","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Unknown","360","320","28050","27570"
"In post","2021","Asian","East of England","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Commercial","100","100","41720","38540"
"In post","2021","Asian","London","Communications","130","130","41150","36800"
"In post","2021","Asian","London","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Counter Fraud","30","30","[c]","[c]"
"In post","2021","Asian","London","Digital, Data and Technology","490","490","46620","42550"
"In post","2021","Asian","London","Economics","160","150","45400","42470"
"In post","2021","Asian","London","Finance","430","420","43340","39910"
"In post","2021","Asian","London","Human Resources","270","260","40390","35200"
"In post","2021","Asian","London","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Intelligence Analysis","140","130","33790","29890"
"In post","2021","Asian","London","Internal Audit","50","50","[c]","[c]"
"In post","2021","Asian","London","International Trade","80","80","44080","38540"
"In post","2021","Asian","London","Knowledge and Information Management","70","70","34970","32330"
"In post","2021","Asian","London","Legal","490","460","51220","51250"
"In post","2021","Asian","London","Medicine","70","70","74580","72430"
"In post","2021","Asian","London","Operational Delivery","4260","3940","30930","28860"
"In post","2021","Asian","London","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Other","560","540","34990","30410"
"In post","2021","Asian","London","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Policy","1590","1550","43590","39780"
"In post","2021","Asian","London","Project Delivery","460","450","42410","39090"
"In post","2021","Asian","London","Property","140","130","38010","34880"
"In post","2021","Asian","London","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Science and Engineering","200","190","39460","35300"
"In post","2021","Asian","London","Security","180","170","32700","29020"
"In post","2021","Asian","London","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Statistics","90","90","44460","41760"
"In post","2021","Asian","London","Tax","440","410","38680","36160"
"In post","2021","Asian","London","Unknown","3040","2800","34110","31060"
"In post","2021","Asian","London","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
