"Status","Year","Region_ITL2","Ethnicity","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Asian","Bedford","80","70","27780","27570"
"In post","2021","Bedfordshire and Hertfordshire","Asian","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Asian","Hertfordshire","340","320","33550","30090"
"In post","2021","Bedfordshire and Hertfordshire","Asian","Luton","120","100","25330","25260"
"In post","2021","Bedfordshire and Hertfordshire","Black","Bedford","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Black","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Black","Hertfordshire","150","140","32870","29700"
"In post","2021","Bedfordshire and Hertfordshire","Black","Luton","50","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Chinese","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Chinese","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Chinese","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Chinese","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Mixed","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Mixed","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Mixed","Hertfordshire","100","90","33640","32640"
"In post","2021","Bedfordshire and Hertfordshire","Mixed","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Other ethnicity","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Other ethnicity","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Other ethnicity","Hertfordshire","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Other ethnicity","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Central Bedfordshire","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Hertfordshire","110","110","34950","31880"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Bedford","110","100","28680","27570"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Hertfordshire","230","220","31750","29570"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Luton","50","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","White","Bedford","570","530","30900","29530"
"In post","2021","Bedfordshire and Hertfordshire","White","Central Bedfordshire","350","340","30310","27570"
"In post","2021","Bedfordshire and Hertfordshire","White","Hertfordshire","1740","1630","35510","31810"
"In post","2021","Bedfordshire and Hertfordshire","White","Luton","290","250","26830","27260"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Asian","Berkshire","300","280","30340","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Asian","Buckinghamshire CC","90","90","30820","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Asian","Milton Keynes","120","110","29690","27290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Asian","Oxfordshire","90","80","32960","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Black","Berkshire","90","80","32390","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Black","Buckinghamshire CC","50","50","29180","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Black","Milton Keynes","90","90","29200","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Black","Oxfordshire","50","50","30390","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Chinese","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Chinese","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Chinese","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Chinese","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Mixed","Berkshire","60","60","35940","30960"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Mixed","Buckinghamshire CC","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Mixed","Milton Keynes","50","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Mixed","Oxfordshire","40","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Other ethnicity","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Other ethnicity","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Other ethnicity","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Other ethnicity","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Berkshire","170","160","34500","31880"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Buckinghamshire CC","70","70","33610","33520"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Milton Keynes","100","90","34760","31810"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Oxfordshire","130","120","34520","31810"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Berkshire","440","420","33000","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Buckinghamshire CC","150","140","32220","28860"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Milton Keynes","250","250","27990","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Oxfordshire","270","260","31340","27850"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","White","Berkshire","1870","1800","35420","31900"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","White","Buckinghamshire CC","1270","1210","32300","29920"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","White","Milton Keynes","1580","1510","33500","29920"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","White","Oxfordshire","2140","2020","32140","29530"
"In post","2021","Cheshire","Asian","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Asian","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Asian","Warrington","40","40","[c]","[c]"
"In post","2021","Cheshire","Black","Cheshire East","[c]","[c]","[c]","[c]"
