"Status","Year","Function_of_post","Responsibility_level","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","AA/AO","Heterosexual / straight","110","100","21830","21160"
"In post","2021","Analysis","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Unknown","70","70","20700","21050"
"In post","2021","Analysis","EO","Heterosexual / straight","420","400","26640","26410"
"In post","2021","Analysis","EO","LGBO","60","50","26200","26050"
"In post","2021","Analysis","EO","Undeclared","40","40","[c]","[c]"
"In post","2021","Analysis","EO","Unknown","220","210","26050","25010"
"In post","2021","Analysis","G6/G7","Heterosexual / straight","1620","1550","58520","56520"
"In post","2021","Analysis","G6/G7","LGBO","120","110","58700","57990"
"In post","2021","Analysis","G6/G7","Undeclared","180","170","60530","58130"
"In post","2021","Analysis","G6/G7","Unknown","500","480","57190","54650"
"In post","2021","Analysis","SCS","Heterosexual / straight","120","110","86210","78490"
"In post","2021","Analysis","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Heterosexual / straight","2390","2310","36120","36030"
"In post","2021","Analysis","SEO/HEO","LGBO","240","240","35470","34710"
"In post","2021","Analysis","SEO/HEO","Undeclared","250","240","36610","36160"
"In post","2021","Analysis","SEO/HEO","Unknown","830","800","34970","35840"
"In post","2021","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Heterosexual / straight","330","320","22180","21130"
"In post","2021","Commercial","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Undeclared","60","60","21910","21580"
"In post","2021","Commercial","AA/AO","Unknown","110","100","22090","21430"
"In post","2021","Commercial","EO","Heterosexual / straight","620","590","26880","26670"
"In post","2021","Commercial","EO","LGBO","40","30","[c]","[c]"
"In post","2021","Commercial","EO","Undeclared","90","80","27400","26780"
"In post","2021","Commercial","EO","Unknown","110","110","26060","26270"
"In post","2021","Commercial","G6/G7","Heterosexual / straight","790","770","61450","59720"
"In post","2021","Commercial","G6/G7","LGBO","30","30","[c]","[c]"
"In post","2021","Commercial","G6/G7","Undeclared","80","80","65010","61730"
"In post","2021","Commercial","G6/G7","Unknown","830","820","61190","55420"
"In post","2021","Commercial","SCS","Heterosexual / straight","150","150","106440","96970"
"In post","2021","Commercial","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Unknown","420","410","87860","72000"
"In post","2021","Commercial","SEO/HEO","Heterosexual / straight","2120","2060","38390","37690"
"In post","2021","Commercial","SEO/HEO","LGBO","80","80","37060","36410"
"In post","2021","Commercial","SEO/HEO","Undeclared","300","290","38430","38280"
"In post","2021","Commercial","SEO/HEO","Unknown","530","510","37600","38000"
"In post","2021","Commercial","Unknown","Heterosexual / straight","180","170","40250","38260"
"In post","2021","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Undeclared","30","30","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Heterosexual / straight","300","270","21420","21130"
"In post","2021","Communications","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Undeclared","60","50","21520","21440"
"In post","2021","Communications","AA/AO","Unknown","130","110","21400","21440"
"In post","2021","Communications","EO","Heterosexual / straight","1660","1590","25710","25560"
