"Status","Year","Parent_department","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Aberdeen City and Aberdeenshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Aberdeen City and Aberdeenshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","Female","100","90","41740","36240"
"In post","2021","Attorney General's Departments","Berkshire","Male","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Birmingham","Female","330","300","38170","32290"
"In post","2021","Attorney General's Departments","Birmingham","Male","160","160","43130","40420"
"In post","2021","Attorney General's Departments","Bridgend and Neath Port Talbot","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bridgend and Neath Port Talbot","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Brighton and Hove","Female","80","70","41200","32020"
"In post","2021","Attorney General's Departments","Brighton and Hove","Male","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Bristol, City of","Female","100","90","39350","33310"
"In post","2021","Attorney General's Departments","Bristol, City of","Male","60","60","45430","50220"
"In post","2021","Attorney General's Departments","Cambridgeshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cambridgeshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Camden and City of London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Camden and City of London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","Female","140","130","38430","38000"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","Male","80","70","45890","48830"
"In post","2021","Attorney General's Departments","Central Valleys","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Central Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Croydon","Female","50","50","40580","33610"
"In post","2021","Attorney General's Departments","Croydon","Male","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Derby","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derby","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon CC","Female","50","50","38720","36240"
"In post","2021","Attorney General's Departments","Devon CC","Male","50","50","[c]","[c]"
