"Status","Year","Disability","Age","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","16-19","AA/AO","40","30","[c]","[c]"
"In post","2021","Declared disabled","16-19","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","20-29","AA/AO","1530","1480","22200","21010"
"In post","2021","Declared disabled","20-29","EO","1560","1540","27200","27570"
"In post","2021","Declared disabled","20-29","G6/G7","260","260","54310","53380"
"In post","2021","Declared disabled","20-29","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","20-29","SEO/HEO","1330","1310","34240","33420"
"In post","2021","Declared disabled","20-29","Unknown","250","250","25970","24020"
"In post","2021","Declared disabled","30-39","AA/AO","2120","1930","22260","21010"
"In post","2021","Declared disabled","30-39","EO","2280","2150","27510","27570"
"In post","2021","Declared disabled","30-39","G6/G7","1050","1030","56460","54700"
"In post","2021","Declared disabled","30-39","SCS","60","60","80020","74890"
"In post","2021","Declared disabled","30-39","SEO/HEO","2150","2090","35940","35110"
"In post","2021","Declared disabled","30-39","Unknown","480","460","29610","30210"
"In post","2021","Declared disabled","40-49","AA/AO","3230","2840","22040","21010"
"In post","2021","Declared disabled","40-49","EO","3590","3290","27730","27570"
"In post","2021","Declared disabled","40-49","G6/G7","1350","1300","58360","57080"
"In post","2021","Declared disabled","40-49","SCS","160","150","86030","79240"
"In post","2021","Declared disabled","40-49","SEO/HEO","2860","2750","36510","35780"
"In post","2021","Declared disabled","40-49","Unknown","620","580","32290","32690"
"In post","2021","Declared disabled","50-59","AA/AO","5680","5020","22020","21010"
"In post","2021","Declared disabled","50-59","EO","5990","5490","28010","27570"
"In post","2021","Declared disabled","50-59","G6/G7","1600","1550","59620","57790"
"In post","2021","Declared disabled","50-59","SCS","170","170","93760","84710"
"In post","2021","Declared disabled","50-59","SEO/HEO","4260","4080","37390","36460"
"In post","2021","Declared disabled","50-59","Unknown","750","710","33180","32690"
"In post","2021","Declared disabled","60-64","AA/AO","2210","1770","21610","21010"
"In post","2021","Declared disabled","60-64","EO","1750","1380","28080","27570"
"In post","2021","Declared disabled","60-64","G6/G7","300","250","60620","59160"
"In post","2021","Declared disabled","60-64","SCS","30","30","[c]","[c]"
"In post","2021","Declared disabled","60-64","SEO/HEO","950","790","37680","36460"
"In post","2021","Declared disabled","60-64","Unknown","290","250","31920","28860"
"In post","2021","Declared disabled","65+","AA/AO","740","560","21330","21010"
"In post","2021","Declared disabled","65+","EO","500","360","28100","27570"
"In post","2021","Declared disabled","65+","G6/G7","70","50","63100","62260"
"In post","2021","Declared disabled","65+","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","65+","SEO/HEO","280","210","38160","36460"
"In post","2021","Declared disabled","65+","Unknown","70","60","32150","32390"
"In post","2021","Declared disabled","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","AA/AO","490","470","20930","21010"
"In post","2021","Declared non-disabled","16-19","EO","180","180","23480","24300"
"In post","2021","Declared non-disabled","16-19","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","20-29","AA/AO","15420","14990","22650","21430"
"In post","2021","Declared non-disabled","20-29","EO","13690","13540","26940","27500"
"In post","2021","Declared non-disabled","20-29","G6/G7","2710","2700","54520","53420"
"In post","2021","Declared non-disabled","20-29","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","20-29","SEO/HEO","12780","12710","34600","33620"
"In post","2021","Declared non-disabled","20-29","Unknown","1890","1860","26200","24020"
"In post","2021","Declared non-disabled","30-39","AA/AO","16760","15140","22820","21240"
"In post","2021","Declared non-disabled","30-39","EO","17410","16400","27310","27570"
"In post","2021","Declared non-disabled","30-39","G6/G7","11170","10840","57140","55060"
"In post","2021","Declared non-disabled","30-39","SCS","750","720","79380","75180"
"In post","2021","Declared non-disabled","30-39","SEO/HEO","20580","19930","36250","35640"
"In post","2021","Declared non-disabled","30-39","Unknown","2570","2390","31060","31420"
"In post","2021","Declared non-disabled","40-49","AA/AO","17590","15640","22480","21010"
"In post","2021","Declared non-disabled","40-49","EO","19870","18410","27670","27570"
"In post","2021","Declared non-disabled","40-49","G6/G7","13490","12950","59120","57680"
"In post","2021","Declared non-disabled","40-49","SCS","2040","1970","87750","80670"
"In post","2021","Declared non-disabled","40-49","SEO/HEO","21250","20380","37370","36780"
"In post","2021","Declared non-disabled","40-49","Unknown","2610","2410","34330","34340"
"In post","2021","Declared non-disabled","50-59","AA/AO","25710","23080","22310","21010"
"In post","2021","Declared non-disabled","50-59","EO","26820","24800","28010","27570"
"In post","2021","Declared non-disabled","50-59","G6/G7","13050","12730","60370","59160"
"In post","2021","Declared non-disabled","50-59","SCS","1850","1820","94410","86370"
"In post","2021","Declared non-disabled","50-59","SEO/HEO","24950","24120","37810","36780"
"In post","2021","Declared non-disabled","50-59","Unknown","2400","2270","34760","33700"
"In post","2021","Declared non-disabled","60-64","AA/AO","9210","7510","21770","21010"
"In post","2021","Declared non-disabled","60-64","EO","7330","5800","28040","27570"
"In post","2021","Declared non-disabled","60-64","G6/G7","2190","1930","61890","60510"
"In post","2021","Declared non-disabled","60-64","SCS","310","290","102750","94190"
"In post","2021","Declared non-disabled","60-64","SEO/HEO","5290","4470","38280","36760"
"In post","2021","Declared non-disabled","60-64","Unknown","750","660","32560","30210"
"In post","2021","Declared non-disabled","65+","AA/AO","3350","2580","21560","21010"
"In post","2021","Declared non-disabled","65+","EO","2110","1560","28110","27570"
"In post","2021","Declared non-disabled","65+","G6/G7","590","460","63360","61000"
"In post","2021","Declared non-disabled","65+","SCS","60","50","102670","95890"
"In post","2021","Declared non-disabled","65+","SEO/HEO","1350","1050","38490","36950"
"In post","2021","Declared non-disabled","65+","Unknown","270","210","33110","31420"
"In post","2021","Declared non-disabled","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","EO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","AA/AO","760","740","22710","21010"
"In post","2021","Undeclared","20-29","EO","780","770","27420","27570"
"In post","2021","Undeclared","20-29","G6/G7","210","210","54200","53600"
"In post","2021","Undeclared","20-29","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","SEO/HEO","940","930","34560","34020"
"In post","2021","Undeclared","20-29","Unknown","80","80","26490","25500"
"In post","2021","Undeclared","30-39","AA/AO","1450","1330","23570","21390"
"In post","2021","Undeclared","30-39","EO","1360","1300","28150","27570"
"In post","2021","Undeclared","30-39","G6/G7","840","820","56810","54760"
"In post","2021","Undeclared","30-39","SCS","50","50","80130","76420"
"In post","2021","Undeclared","30-39","SEO/HEO","1580","1540","36530","36160"
"In post","2021","Undeclared","30-39","Unknown","160","150","32040","31420"
"In post","2021","Undeclared","40-49","AA/AO","2020","1850","24580","21590"
"In post","2021","Undeclared","40-49","EO","1700","1610","28460","27570"
"In post","2021","Undeclared","40-49","G6/G7","890","860","58680","57230"
"In post","2021","Undeclared","40-49","SCS","100","100","86530","81080"
"In post","2021","Undeclared","40-49","SEO/HEO","1920","1860","37720","37280"
"In post","2021","Undeclared","40-49","Unknown","190","180","34190","34220"
"In post","2021","Undeclared","50-59","AA/AO","3700","3410","25260","22080"
"In post","2021","Undeclared","50-59","EO","2500","2370","28840","27570"
"In post","2021","Undeclared","50-59","G6/G7","1010","980","60090","58210"
"In post","2021","Undeclared","50-59","SCS","100","100","93110","84500"
"In post","2021","Undeclared","50-59","SEO/HEO","2690","2610","38470","37660"
"In post","2021","Undeclared","50-59","Unknown","210","200","34330","34000"
"In post","2021","Undeclared","60-64","AA/AO","1200","960","23920","21550"
"In post","2021","Undeclared","60-64","EO","650","540","28580","27570"
"In post","2021","Undeclared","60-64","G6/G7","170","150","62670","61090"
"In post","2021","Undeclared","60-64","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","60-64","SEO/HEO","520","450","37990","37150"
"In post","2021","Undeclared","60-64","Unknown","50","40","[c]","[c]"
