"Status","Year","Region_ITL1","Region_ITL3","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Derby","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","Operational Delivery","280","250","25400","22920"
"In post","2021","East Midlands (England)","Derby","Other","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","Security","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","Unknown","620","540","24300","21010"
"In post","2021","East Midlands (England)","East Derbyshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","Operational Delivery","70","60","28420","26750"
"In post","2021","East Midlands (England)","East Derbyshire","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","Unknown","320","270","26040","27570"
"In post","2021","East Midlands (England)","Leicester","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicester","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicester","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicester","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicester","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicester","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicester","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicester","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicester","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicester","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicester","Legal","110","100","47650","48830"
"In post","2021","East Midlands (England)","Leicester","Operational Delivery","1390","1260","25620","22350"
"In post","2021","East Midlands (England)","Leicester","Other","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicester","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicester","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicester","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicester","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicester","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicester","Tax","100","90","30530","31810"
"In post","2021","East Midlands (England)","Leicester","Unknown","930","820","24980","27570"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Digital, Data and Technology","60","60","34160","30560"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Intelligence Analysis","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Medicine","120","110","40800","37890"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Operational Delivery","1280","1190","27870","26300"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Other","140","130","22670","20920"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Property","80","80","20380","18760"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Psychology","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Science and Engineering","60","60","40210","38510"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Unknown","110","100","28250","27570"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Finance","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Intelligence Analysis","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Medicine","50","50","44110","37890"
"In post","2021","East Midlands (England)","Lincolnshire","Operational Delivery","1050","990","28130","26630"
"In post","2021","East Midlands (England)","Lincolnshire","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Other","480","460","23220","20920"
"In post","2021","East Midlands (England)","Lincolnshire","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Project Delivery","120","120","33940","33300"
"In post","2021","East Midlands (England)","Lincolnshire","Property","70","70","27370","26670"
"In post","2021","East Midlands (England)","Lincolnshire","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Science and Engineering","160","160","33890","33690"
"In post","2021","East Midlands (England)","Lincolnshire","Security","60","50","20830","19560"
"In post","2021","East Midlands (England)","Lincolnshire","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Tax","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Unknown","580","510","26430","27570"
"In post","2021","East Midlands (England)","Lincolnshire","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","North Northamptonshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","North Northamptonshire","Operational Delivery","60","60","28460","27680"
"In post","2021","East Midlands (England)","North Northamptonshire","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","North Northamptonshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","North Northamptonshire","Unknown","440","390","25140","27570"
"In post","2021","East Midlands (England)","North Nottinghamshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","North Nottinghamshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","North Nottinghamshire","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","North Nottinghamshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","North Nottinghamshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","North Nottinghamshire","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","North Nottinghamshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","North Nottinghamshire","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","North Nottinghamshire","Operational Delivery","620","590","27800","26780"
"In post","2021","East Midlands (England)","North Nottinghamshire","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","North Nottinghamshire","Other","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","North Nottinghamshire","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","North Nottinghamshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","North Nottinghamshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","North Nottinghamshire","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","North Nottinghamshire","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","North Nottinghamshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","North Nottinghamshire","Unknown","260","230","27960","27570"
"In post","2021","East Midlands (England)","Nottingham","Commercial","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Nottingham","Communications","80","70","37000","36470"
"In post","2021","East Midlands (England)","Nottingham","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Nottingham","Digital, Data and Technology","170","160","38910","36000"
"In post","2021","East Midlands (England)","Nottingham","Finance","140","130","37110","32800"
"In post","2021","East Midlands (England)","Nottingham","Human Resources","290","270","38830","33840"
"In post","2021","East Midlands (England)","Nottingham","Inspector of Education and Training","70","70","64380","64500"
"In post","2021","East Midlands (England)","Nottingham","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Nottingham","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Nottingham","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Nottingham","Knowledge and Information Management","60","50","37120","36340"
"In post","2021","East Midlands (England)","Nottingham","Legal","350","320","40270","34480"
"In post","2021","East Midlands (England)","Nottingham","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Nottingham","Operational Delivery","3540","3270","27100","25560"
"In post","2021","East Midlands (England)","Nottingham","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Nottingham","Other","70","70","31700","25880"
"In post","2021","East Midlands (England)","Nottingham","Planning","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Nottingham","Policy","220","210","40820","36960"
"In post","2021","East Midlands (England)","Nottingham","Project Delivery","150","150","44350","39530"
"In post","2021","East Midlands (England)","Nottingham","Property","280","260","39440","38630"
"In post","2021","East Midlands (England)","Nottingham","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Nottingham","Science and Engineering","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Nottingham","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Nottingham","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Nottingham","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Nottingham","Tax","1280","1210","33120","31810"
"In post","2021","East Midlands (England)","Nottingham","Unknown","1060","990","28340","27570"
"In post","2021","East Midlands (England)","Nottingham","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South and West Derbyshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South and West Derbyshire","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South and West Derbyshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South and West Derbyshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South and West Derbyshire","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South and West Derbyshire","Operational Delivery","530","490","29950","27380"
"In post","2021","East Midlands (England)","South and West Derbyshire","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South and West Derbyshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South and West Derbyshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South and West Derbyshire","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South and West Derbyshire","Science and Engineering","220","200","43020","40020"
"In post","2021","East Midlands (England)","South and West Derbyshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South and West Derbyshire","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South and West Derbyshire","Unknown","320","270","27950","27570"
"In post","2021","East Midlands (England)","South and West Derbyshire","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South Nottinghamshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South Nottinghamshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South Nottinghamshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South Nottinghamshire","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South Nottinghamshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South Nottinghamshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South Nottinghamshire","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South Nottinghamshire","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South Nottinghamshire","Operational Delivery","480","450","31000","28080"
"In post","2021","East Midlands (England)","South Nottinghamshire","Other","80","70","22160","21130"
"In post","2021","East Midlands (England)","South Nottinghamshire","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South Nottinghamshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South Nottinghamshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South Nottinghamshire","Psychology","70","60","32930","29750"
"In post","2021","East Midlands (England)","South Nottinghamshire","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South Nottinghamshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South Nottinghamshire","Unknown","50","50","27350","27570"
"In post","2021","East Midlands (England)","West Northamptonshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","West Northamptonshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","West Northamptonshire","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","West Northamptonshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","West Northamptonshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","West Northamptonshire","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","West Northamptonshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","West Northamptonshire","Operational Delivery","800","730","24720","22850"
