"Status","Year","Responsibility_level","Profession_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Commercial","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","20-29","50","50","21070","20920"
"In post","2021","AA/AO","Commercial","30-39","30","30","[c]","[c]"
"In post","2021","AA/AO","Commercial","40-49","60","60","22770","21640"
"In post","2021","AA/AO","Commercial","50-59","90","80","23340","22830"
"In post","2021","AA/AO","Commercial","60-64","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","65+","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","20-29","80","80","22740","22680"
"In post","2021","AA/AO","Communications","30-39","30","30","[c]","[c]"
"In post","2021","AA/AO","Communications","40-49","40","40","[c]","[c]"
"In post","2021","AA/AO","Communications","50-59","50","50","21710","21580"
"In post","2021","AA/AO","Communications","60-64","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Corporate Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Corporate Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Corporate Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Corporate Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","20-29","120","120","21620","21540"
"In post","2021","AA/AO","Digital, Data and Technology","30-39","90","90","21590","21590"
"In post","2021","AA/AO","Digital, Data and Technology","40-49","80","80","21940","21580"
"In post","2021","AA/AO","Digital, Data and Technology","50-59","90","90","22330","21580"
"In post","2021","AA/AO","Digital, Data and Technology","60-64","30","30","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","65+","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","20-29","90","80","22510","22500"
"In post","2021","AA/AO","Economics","30-39","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","40-49","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","50-59","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","60-64","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","65+","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","20-29","160","150","21190","20810"
"In post","2021","AA/AO","Finance","30-39","140","120","21340","20920"
"In post","2021","AA/AO","Finance","40-49","200","170","21500","21440"
"In post","2021","AA/AO","Finance","50-59","440","370","21400","21440"
