"Status","Year","Region_ITL2","Region_ITL3","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Operational Delivery","600","560","30330","28990"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Other","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Unknown","170","160","28010","27570"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","Knowledge and Information Management","[c]","[c]","[c]","[c]"
