"Status","Year","Parent_department","Responsibility_level","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","AA/AO","Female","1120","1000","22310","21950"
"In post","2021","Attorney General's Departments","AA/AO","Male","420","410","22320","21950"
"In post","2021","Attorney General's Departments","EO","Female","1230","1130","28040","28430"
"In post","2021","Attorney General's Departments","EO","Male","530","520","28100","27870"
"In post","2021","Attorney General's Departments","G6/G7","Female","2950","2650","57860","55610"
"In post","2021","Attorney General's Departments","G6/G7","Male","1820","1760","59580","58040"
"In post","2021","Attorney General's Departments","SCS","Female","180","170","86940","82250"
"In post","2021","Attorney General's Departments","SCS","Male","130","130","88450","82860"
"In post","2021","Attorney General's Departments","SEO/HEO","Female","890","850","36520","37580"
"In post","2021","Attorney General's Departments","SEO/HEO","Male","560","550","36750","37730"
"In post","2021","Attorney General's Departments","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Female","320","280","21750","20920"
"In post","2021","Cabinet Office","AA/AO","Male","240","230","21890","20920"
"In post","2021","Cabinet Office","EO","Female","530","510","27150","27500"
"In post","2021","Cabinet Office","EO","Male","350","350","27300","27500"
"In post","2021","Cabinet Office","G6/G7","Female","1500","1460","59400","55950"
"In post","2021","Cabinet Office","G6/G7","Male","1520","1510","59800","56440"
"In post","2021","Cabinet Office","SCS","Female","420","410","87650","75930"
"In post","2021","Cabinet Office","SCS","Male","550","550","95640","81170"
"In post","2021","Cabinet Office","SEO/HEO","Female","2270","2240","33600","33300"
"In post","2021","Cabinet Office","SEO/HEO","Male","1750","1740","33720","33300"
"In post","2021","Chancellor's other departments","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","Female","70","70","72410","67990"
"In post","2021","Chancellor's other departments","G6/G7","Male","110","110","79100","72110"
"In post","2021","Chancellor's other departments","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","Female","70","70","42030","42400"
