"Status","Year","Region_ITL2","Region_ITL3","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Asian","80","70","27780","27570"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Black","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Unknown","110","100","28680","27570"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","White","570","530","30900","29530"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","Black","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","Undeclared","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","White","350","340","30310","27570"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","Asian","340","320","33550","30090"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","Black","150","140","32870","29700"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","Mixed","100","90","33640","32640"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","Other ethnicity","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","Undeclared","110","110","34950","31880"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","Unknown","230","220","31750","29570"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","White","1740","1630","35510","31810"
"In post","2021","Bedfordshire and Hertfordshire","Luton","Asian","120","100","25330","25260"
"In post","2021","Bedfordshire and Hertfordshire","Luton","Black","50","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Luton","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Luton","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Luton","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Luton","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Luton","Unknown","50","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Luton","White","290","250","26830","27260"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Asian","300","280","30340","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Black","90","80","32390","29290"
