"Status","Year","Disability","Function_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","White","490","470","40870","37320"
"In post","2021","Declared disabled","Commercial","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","White","460","450","38670","35900"
"In post","2021","Declared disabled","Communications","Asian","30","30","[c]","[c]"
"In post","2021","Declared disabled","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","White","460","430","32320","28650"
"In post","2021","Declared disabled","Counter Fraud","Asian","50","40","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Undeclared","30","30","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Unknown","40","40","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","White","660","600","33130","31810"
"In post","2021","Declared disabled","Debt","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Chinese","[c]","[c]","[c]","[c]"
