"Status","Year","Age","Sex","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Female","Asian","30","30","[c]","[c]"
"In post","2021","16-19","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Unknown","230","220","20810","20140"
"In post","2021","16-19","Female","White","380","370","21820","21010"
"In post","2021","16-19","Male","Asian","30","30","[c]","[c]"
"In post","2021","16-19","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Male","Unknown","270","260","20250","20140"
"In post","2021","16-19","Male","White","330","320","21150","21010"
"In post","2021","16-19","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Female","Asian","3100","3020","29220","27570"
"In post","2021","20-29","Female","Black","1530","1500","30030","29510"
"In post","2021","20-29","Female","Chinese","120","110","33720","30460"
"In post","2021","20-29","Female","Mixed","1290","1270","30320","28590"
"In post","2021","20-29","Female","Other ethnicity","270","260","31430","31060"
"In post","2021","20-29","Female","Undeclared","550","530","30200","27760"
"In post","2021","20-29","Female","Unknown","9950","9750","28060","26550"
"In post","2021","20-29","Female","White","25190","24670","28960","27500"
"In post","2021","20-29","Male","Asian","2620","2580","29200","27570"
"In post","2021","20-29","Male","Black","650","640","29910","28670"
"In post","2021","20-29","Male","Chinese","110","110","34250","32790"
"In post","2021","20-29","Male","Mixed","860","850","31400","28670"
"In post","2021","20-29","Male","Other ethnicity","180","180","32640","30800"
"In post","2021","20-29","Male","Undeclared","920","910","31340","29000"
"In post","2021","20-29","Male","Unknown","9790","9710","28360","26610"
"In post","2021","20-29","Male","White","20270","20150","29430","27570"
"In post","2021","20-29","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Female","Asian","4170","3780","32900","29080"
"In post","2021","30-39","Female","Black","2030","1930","32670","31060"
"In post","2021","30-39","Female","Chinese","210","200","39680","37120"
"In post","2021","30-39","Female","Mixed","1350","1260","35760","31390"
"In post","2021","30-39","Female","Other ethnicity","350","330","36720","31820"
"In post","2021","30-39","Female","Undeclared","1330","1220","34370","30980"
"In post","2021","30-39","Female","Unknown","8280","7610","33450","28670"
"In post","2021","30-39","Female","White","37770","34290","33800","30080"
"In post","2021","30-39","Male","Asian","3790","3720","33180","29940"
"In post","2021","30-39","Male","Black","1080","1070","32690","31060"
"In post","2021","30-39","Male","Chinese","140","140","38260","34060"
"In post","2021","30-39","Male","Mixed","970","960","37610","33260"
"In post","2021","30-39","Male","Other ethnicity","260","250","38050","35070"
"In post","2021","30-39","Male","Undeclared","2200","2180","36530","33220"
"In post","2021","30-39","Male","Unknown","8660","8570","34170","30650"
"In post","2021","30-39","Male","White","30800","30550","35360","31810"
"In post","2021","30-39","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Female","Asian","4520","3950","34240","29450"
"In post","2021","40-49","Female","Black","2240","2090","33890","31060"
"In post","2021","40-49","Female","Chinese","220","200","37470","31300"
"In post","2021","40-49","Female","Mixed","1030","940","37690","31880"
"In post","2021","40-49","Female","Other ethnicity","350","320","37650","31320"
"In post","2021","40-49","Female","Undeclared","2110","1890","33890","29570"
"In post","2021","40-49","Female","Unknown","6510","5880","35530","29350"
"In post","2021","40-49","Female","White","45720","40880","35070","29300"
"In post","2021","40-49","Male","Asian","3330","3240","35140","30810"
"In post","2021","40-49","Male","Black","1380","1360","34390","31060"
"In post","2021","40-49","Male","Chinese","120","120","36630","32760"
"In post","2021","40-49","Male","Mixed","740","720","39730","35070"
"In post","2021","40-49","Male","Other ethnicity","300","290","39340","33300"
"In post","2021","40-49","Male","Undeclared","2890","2850","37060","32690"
"In post","2021","40-49","Male","Unknown","6190","6090","37970","31850"
"In post","2021","40-49","Male","White","34650","34250","38210","32740"
"In post","2021","40-49","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Female","Asian","3300","2990","32570","29250"
"In post","2021","50-59","Female","Black","3370","3220","32900","30330"
"In post","2021","50-59","Female","Chinese","140","130","36760","30240"
"In post","2021","50-59","Female","Mixed","870","810","34900","29630"
"In post","2021","50-59","Female","Other ethnicity","320","290","37000","30850"
"In post","2021","50-59","Female","Undeclared","3410","3090","32000","27580"
"In post","2021","50-59","Female","Unknown","6100","5540","32780","27570"
"In post","2021","50-59","Female","White","58990","53300","32490","27570"
"In post","2021","50-59","Male","Asian","2210","2150","35030","30420"
"In post","2021","50-59","Male","Black","1870","1840","34940","31180"
"In post","2021","50-59","Male","Chinese","100","100","36690","31810"
"In post","2021","50-59","Male","Mixed","690","660","38580","33350"
"In post","2021","50-59","Male","Other ethnicity","330","320","40180","33840"
"In post","2021","50-59","Male","Undeclared","4450","4320","36570","32850"
"In post","2021","50-59","Male","Unknown","6670","6470","37740","33060"
"In post","2021","50-59","Male","White","48240","46920","37470","32560"
"In post","2021","60-64","Female","Asian","830","680","29630","27460"
"In post","2021","60-64","Female","Black","690","610","30210","28130"
"In post","2021","60-64","Female","Chinese","30","30","[c]","[c]"
"In post","2021","60-64","Female","Mixed","220","180","30110","27570"
"In post","2021","60-64","Female","Other ethnicity","100","80","32800","29830"
"In post","2021","60-64","Female","Undeclared","890","700","29920","27570"
"In post","2021","60-64","Female","Unknown","1580","1270","28080","22820"
"In post","2021","60-64","Female","White","15520","12130","28900","26410"
"In post","2021","60-64","Male","Asian","550","500","34200","29450"
"In post","2021","60-64","Male","Black","440","410","32690","30600"
"In post","2021","60-64","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Male","Mixed","130","120","38970","32470"
"In post","2021","60-64","Male","Other ethnicity","90","80","41840","33840"
"In post","2021","60-64","Male","Undeclared","1140","960","34760","31650"
"In post","2021","60-64","Male","Unknown","1740","1510","33950","30100"
"In post","2021","60-64","Male","White","13740","11740","34640","29670"
"In post","2021","60-64","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","65+","Female","Asian","360","260","28750","25630"
"In post","2021","65+","Female","Black","180","160","28910","26000"
"In post","2021","65+","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","65+","Female","Mixed","40","30","[c]","[c]"
"In post","2021","65+","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","65+","Female","Undeclared","250","180","27750","25640"
"In post","2021","65+","Female","Unknown","460","340","28670","23500"
"In post","2021","65+","Female","White","4100","2990","27470","24340"
"In post","2021","65+","Male","Asian","310","250","32650","28480"
"In post","2021","65+","Male","Black","130","120","29790","26750"
"In post","2021","65+","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","65+","Male","Mixed","50","40","34120","28330"
"In post","2021","65+","Male","Other ethnicity","30","30","[c]","[c]"
"In post","2021","65+","Male","Undeclared","400","320","35190","30790"
"In post","2021","65+","Male","Unknown","600","470","33160","27310"
"In post","2021","65+","Male","White","4670","3670","32950","27570"
"In post","2021","Unknown","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","White","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","White","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Female","Asian","40","40","[c]","[c]"
"In post","2022","16-19","Female","Black","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Female","Unknown","220","210","22070","21250"
"In post","2022","16-19","Female","White","330","320","22150","21260"
"In post","2022","16-19","Male","Asian","60","50","22550","21260"
"In post","2022","16-19","Male","Black","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Male","Unknown","280","270","21030","21250"
