"Status","Year","Sexual_orientation","Responsibility_level","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","AA/AO","Aberdeen City and Aberdeenshire","250","230","25980","22220"
"In post","2021","Heterosexual / straight","AA/AO","Angus and Dundee City","630","580","21230","21010"
"In post","2021","Heterosexual / straight","AA/AO","Antrim and Newtownabbey","130","130","20750","20310"
"In post","2021","Heterosexual / straight","AA/AO","Ards and North Down","130","130","20890","20310"
"In post","2021","Heterosexual / straight","AA/AO","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Barking & Dagenham and Havering","80","70","23580","23210"
"In post","2021","Heterosexual / straight","AA/AO","Barnet","200","170","23780","23530"
"In post","2021","Heterosexual / straight","AA/AO","Barnsley, Doncaster and Rotherham","980","870","23010","21010"
"In post","2021","Heterosexual / straight","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","510","470","22820","21010"
"In post","2021","Heterosexual / straight","AA/AO","Bedford","190","180","26140","27850"
"In post","2021","Heterosexual / straight","AA/AO","Belfast","540","480","20780","21420"
"In post","2021","Heterosexual / straight","AA/AO","Berkshire","620","600","27420","25540"
"In post","2021","Heterosexual / straight","AA/AO","Bexley and Greenwich","530","510","28230","27240"
"In post","2021","Heterosexual / straight","AA/AO","Birmingham","2090","1900","21110","20140"
"In post","2021","Heterosexual / straight","AA/AO","Blackburn with Darwen","100","80","21130","21010"
"In post","2021","Heterosexual / straight","AA/AO","Blackpool","1130","1020","20870","21010"
"In post","2021","Heterosexual / straight","AA/AO","Bournemouth and Poole","150","130","20290","20100"
"In post","2021","Heterosexual / straight","AA/AO","Bradford","640","540","20420","20140"
"In post","2021","Heterosexual / straight","AA/AO","Breckland and South Norfolk","210","200","24230","23240"
"In post","2021","Heterosexual / straight","AA/AO","Brent","90","80","23650","23500"
"In post","2021","Heterosexual / straight","AA/AO","Bridgend and Neath Port Talbot","190","160","20440","21010"
"In post","2021","Heterosexual / straight","AA/AO","Brighton and Hove","90","80","20330","20650"
"In post","2021","Heterosexual / straight","AA/AO","Bristol, City of","830","760","21460","21010"
"In post","2021","Heterosexual / straight","AA/AO","Bromley","110","100","22360","22080"
"In post","2021","Heterosexual / straight","AA/AO","Buckinghamshire CC","410","390","24960","23030"
"In post","2021","Heterosexual / straight","AA/AO","Caithness and Sutherland and Ross and Cromarty","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Calderdale and Kirklees","140","110","20580","21010"
"In post","2021","Heterosexual / straight","AA/AO","Cambridgeshire CC","750","690","25230","23240"
"In post","2021","Heterosexual / straight","AA/AO","Camden and City of London","530","500","23660","23270"
"In post","2021","Heterosexual / straight","AA/AO","Cardiff and Vale of Glamorgan","1990","1800","21470","21010"
"In post","2021","Heterosexual / straight","AA/AO","Causeway Coast and Glens","50","50","20470","20310"
"In post","2021","Heterosexual / straight","AA/AO","Central Bedfordshire","110","110","20780","20920"
"In post","2021","Heterosexual / straight","AA/AO","Central Hampshire","580","560","22790","20920"
"In post","2021","Heterosexual / straight","AA/AO","Central Valleys","230","210","21800","21010"
"In post","2021","Heterosexual / straight","AA/AO","Cheshire East","130","120","23510","21940"
"In post","2021","Heterosexual / straight","AA/AO","Cheshire West and Chester","120","120","20700","21010"
"In post","2021","Heterosexual / straight","AA/AO","Chorley and West Lancashire","430","400","25160","24590"
"In post","2021","Heterosexual / straight","AA/AO","City of Edinburgh","1220","1170","22330","21490"
"In post","2021","Heterosexual / straight","AA/AO","Clackmannanshire and Fife","240","220","21770","21010"
"In post","2021","Heterosexual / straight","AA/AO","Conwy and Denbighshire","110","100","22030","22160"
"In post","2021","Heterosexual / straight","AA/AO","Cornwall and Isles of Scilly","470","430","20830","21010"
"In post","2021","Heterosexual / straight","AA/AO","Coventry","180","150","20840","21010"
"In post","2021","Heterosexual / straight","AA/AO","Croydon","1200","1090","24590","25630"
"In post","2021","Heterosexual / straight","AA/AO","Darlington","70","60","20870","21000"
"In post","2021","Heterosexual / straight","AA/AO","Derby","280","240","21580","21010"
"In post","2021","Heterosexual / straight","AA/AO","Derry City and Strabane","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Devon CC","1220","1090","22190","21010"
"In post","2021","Heterosexual / straight","AA/AO","Dorset CC","670","630","23710","21710"
"In post","2021","Heterosexual / straight","AA/AO","Dudley","310","260","20760","21010"
"In post","2021","Heterosexual / straight","AA/AO","Dumfries and Galloway","80","70","23080","22220"
"In post","2021","Heterosexual / straight","AA/AO","Durham CC","2130","1870","22850","21430"
"In post","2021","Heterosexual / straight","AA/AO","Ealing","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","East Ayrshire and North Ayrshire mainland","190","160","21680","21010"
"In post","2021","Heterosexual / straight","AA/AO","East Cumbria","220","200","21530","21050"
"In post","2021","Heterosexual / straight","AA/AO","East Derbyshire","80","60","20340","20720"
"In post","2021","Heterosexual / straight","AA/AO","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","900","850","26310","22220"
"In post","2021","Heterosexual / straight","AA/AO","East Kent","680","630","22370","21430"
"In post","2021","Heterosexual / straight","AA/AO","East Lancashire","100","80","20230","20850"
"In post","2021","Heterosexual / straight","AA/AO","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","East Merseyside","170","150","20720","20320"
"In post","2021","Heterosexual / straight","AA/AO","East Riding of Yorkshire","690","650","25040","24440"
"In post","2021","Heterosexual / straight","AA/AO","East Surrey","340","320","30400","33050"
"In post","2021","Heterosexual / straight","AA/AO","East Sussex CC","620","540","22410","21010"
"In post","2021","Heterosexual / straight","AA/AO","Enfield","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Essex Haven Gateway","230","220","25420","21430"
"In post","2021","Heterosexual / straight","AA/AO","Essex Thames Gateway","190","160","23370","24180"
"In post","2021","Heterosexual / straight","AA/AO","Falkirk","480","420","21460","21010"
"In post","2021","Heterosexual / straight","AA/AO","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Flintshire and Wrexham","620","590","22500","21550"
"In post","2021","Heterosexual / straight","AA/AO","Glasgow City","2280","2040","21060","21010"
"In post","2021","Heterosexual / straight","AA/AO","Gloucestershire","270","250","23120","21010"
"In post","2021","Heterosexual / straight","AA/AO","Greater Manchester North East","190","180","23020","21010"
"In post","2021","Heterosexual / straight","AA/AO","Greater Manchester North West","640","570","21520","21010"
"In post","2021","Heterosexual / straight","AA/AO","Greater Manchester South East","450","400","20900","21010"
"In post","2021","Heterosexual / straight","AA/AO","Greater Manchester South West","800","720","20510","20140"
"In post","2021","Heterosexual / straight","AA/AO","Gwent Valleys","220","180","21090","21010"
"In post","2021","Heterosexual / straight","AA/AO","Gwynedd","240","220","21220","21010"
"In post","2021","Heterosexual / straight","AA/AO","Hackney and Newham","380","340","24390","25110"
"In post","2021","Heterosexual / straight","AA/AO","Haringey and Islington","370","350","28150","25390"
"In post","2021","Heterosexual / straight","AA/AO","Harrow and Hillingdon","430","400","25110","25630"
"In post","2021","Heterosexual / straight","AA/AO","Hartlepool and Stockton-on-Tees","530","490","23370","21710"
"In post","2021","Heterosexual / straight","AA/AO","Heart of Essex","280","260","25320","24590"
"In post","2021","Heterosexual / straight","AA/AO","Herefordshire, County of","150","150","24930","20920"
"In post","2021","Heterosexual / straight","AA/AO","Hertfordshire","480","450","25180","24180"
"In post","2021","Heterosexual / straight","AA/AO","Hounslow and Richmond upon Thames","590","550","27040","25110"
"In post","2021","Heterosexual / straight","AA/AO","Inverclyde, East Renfrewshire and Renfrewshire","160","140","21640","21010"
"In post","2021","Heterosexual / straight","AA/AO","Inverness and Nairn and Moray, Badenoch and Strathspey","290","270","21120","20920"
"In post","2021","Heterosexual / straight","AA/AO","Isle of Anglesey","60","50","22090","21130"
"In post","2021","Heterosexual / straight","AA/AO","Isle of Wight","390","370","24150","23240"
"In post","2021","Heterosexual / straight","AA/AO","Kensington & Chelsea and Hammersmith & Fulham","290","280","30230","30220"
"In post","2021","Heterosexual / straight","AA/AO","Kent Thames Gateway","610","570","27610","30300"
"In post","2021","Heterosexual / straight","AA/AO","Kingston upon Hull, City of","540","480","23280","21710"
"In post","2021","Heterosexual / straight","AA/AO","Lambeth","300","290","27580","25450"
"In post","2021","Heterosexual / straight","AA/AO","Lancaster and Wyre","330","310","22550","21030"
"In post","2021","Heterosexual / straight","AA/AO","Leeds","1550","1430","22070","21010"
"In post","2021","Heterosexual / straight","AA/AO","Leicester","720","630","21090","21010"
"In post","2021","Heterosexual / straight","AA/AO","Leicestershire CC and Rutland","660","620","23030","21550"
"In post","2021","Heterosexual / straight","AA/AO","Lewisham and Southwark","170","150","24320","25110"
"In post","2021","Heterosexual / straight","AA/AO","Lincolnshire","990","930","22160","21010"
"In post","2021","Heterosexual / straight","AA/AO","Lisburn and Castlereagh","170","160","21420","21670"
"In post","2021","Heterosexual / straight","AA/AO","Liverpool","2550","2280","21360","21430"
"In post","2021","Heterosexual / straight","AA/AO","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Luton","100","80","20270","20650"
"In post","2021","Heterosexual / straight","AA/AO","Manchester","1170","1080","21560","21000"
"In post","2021","Heterosexual / straight","AA/AO","Medway","430","400","25320","25110"
"In post","2021","Heterosexual / straight","AA/AO","Merton, Kingston upon Thames and Sutton","90","80","22610","22450"
"In post","2021","Heterosexual / straight","AA/AO","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Mid Kent","250","230","24240","23240"
"In post","2021","Heterosexual / straight","AA/AO","Mid Lancashire","1630","1440","21450","21010"
"In post","2021","Heterosexual / straight","AA/AO","Milton Keynes","560","540","25070","24750"
"In post","2021","Heterosexual / straight","AA/AO","Monmouthshire and Newport","630","560","21200","21010"
"In post","2021","Heterosexual / straight","AA/AO","Na h-Eileanan Siar","80","70","21540","21010"
"In post","2021","Heterosexual / straight","AA/AO","Newry, Mourne and Down","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","North and North East Lincolnshire","180","150","20770","21010"
"In post","2021","Heterosexual / straight","AA/AO","North and West Norfolk","400","370","23840","21150"
"In post","2021","Heterosexual / straight","AA/AO","North Hampshire","230","220","21230","20920"
"In post","2021","Heterosexual / straight","AA/AO","North Lanarkshire","770","630","20830","20760"
"In post","2021","Heterosexual / straight","AA/AO","North Northamptonshire","130","100","21230","21010"
"In post","2021","Heterosexual / straight","AA/AO","North Nottinghamshire","270","260","23770","23240"
"In post","2021","Heterosexual / straight","AA/AO","North Yorkshire CC","600","570","22480","20920"
"In post","2021","Heterosexual / straight","AA/AO","Northumberland","70","60","20390","20920"
"In post","2021","Heterosexual / straight","AA/AO","Norwich and East Norfolk","430","390","22100","21010"
"In post","2021","Heterosexual / straight","AA/AO","Nottingham","1180","1080","21310","21010"
"In post","2021","Heterosexual / straight","AA/AO","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Overseas","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Oxfordshire","780","740","23660","21130"
"In post","2021","Heterosexual / straight","AA/AO","Perth and Kinross and Stirling","150","140","23200","22220"
"In post","2021","Heterosexual / straight","AA/AO","Peterborough","520","450","20890","21430"
"In post","2021","Heterosexual / straight","AA/AO","Plymouth","610","550","22490","21010"
"In post","2021","Heterosexual / straight","AA/AO","Portsmouth","820","750","22570","20920"
"In post","2021","Heterosexual / straight","AA/AO","Powys","170","160","21260","20920"
"In post","2021","Heterosexual / straight","AA/AO","Redbridge and Waltham Forest","200","180","23990","25110"
"In post","2021","Heterosexual / straight","AA/AO","Sandwell","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Scottish Borders","90","80","23610","24110"
"In post","2021","Heterosexual / straight","AA/AO","Sefton","1280","1110","20560","21010"
"In post","2021","Heterosexual / straight","AA/AO","Sheffield","1170","1030","20950","21430"
"In post","2021","Heterosexual / straight","AA/AO","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Shropshire CC","320","300","23210","21580"
"In post","2021","Heterosexual / straight","AA/AO","Solihull","180","170","21150","21430"
"In post","2021","Heterosexual / straight","AA/AO","Somerset","380","350","20490","20920"
"In post","2021","Heterosexual / straight","AA/AO","South and West Derbyshire","230","210","23740","22160"
"In post","2021","Heterosexual / straight","AA/AO","South Ayrshire","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","South Hampshire","940","660","20110","19520"
"In post","2021","Heterosexual / straight","AA/AO","South Lanarkshire","580","480","20690","20140"
"In post","2021","Heterosexual / straight","AA/AO","South Nottinghamshire","240","220","23880","22080"
"In post","2021","Heterosexual / straight","AA/AO","South Teesside","290","260","20510","21010"
"In post","2021","Heterosexual / straight","AA/AO","South West Wales","350","320","21670","21050"
"In post","2021","Heterosexual / straight","AA/AO","Southampton","170","140","20700","21010"
"In post","2021","Heterosexual / straight","AA/AO","Southend-on-Sea","160","130","21640","21440"
"In post","2021","Heterosexual / straight","AA/AO","Staffordshire CC","1140","1080","23540","22080"
"In post","2021","Heterosexual / straight","AA/AO","Stoke-on-Trent","420","370","19590","18880"
"In post","2021","Heterosexual / straight","AA/AO","Suffolk","1110","1040","23080","21430"
"In post","2021","Heterosexual / straight","AA/AO","Sunderland","1430","1130","20790","21010"
"In post","2021","Heterosexual / straight","AA/AO","Swansea","2970","2600","21100","21590"
"In post","2021","Heterosexual / straight","AA/AO","Swindon","70","60","19800","19570"
"In post","2021","Heterosexual / straight","AA/AO","Telford and Wrekin","270","240","21690","21010"
"In post","2021","Heterosexual / straight","AA/AO","Thurrock","70","70","21860","21430"
"In post","2021","Heterosexual / straight","AA/AO","Torbay","80","70","20620","21010"
"In post","2021","Heterosexual / straight","AA/AO","Tower Hamlets","290","270","23540","23500"
"In post","2021","Heterosexual / straight","AA/AO","Tyneside","3460","3030","20700","21010"
"In post","2021","Heterosexual / straight","AA/AO","Unknown","160","140","22170","21010"
"In post","2021","Heterosexual / straight","AA/AO","Wakefield","480","440","25620","24920"
"In post","2021","Heterosexual / straight","AA/AO","Walsall","140","120","20600","21010"
"In post","2021","Heterosexual / straight","AA/AO","Wandsworth","340","330","30050","31550"
"In post","2021","Heterosexual / straight","AA/AO","Warrington","480","440","22920","21010"
"In post","2021","Heterosexual / straight","AA/AO","Warwickshire","350","310","20990","21010"
"In post","2021","Heterosexual / straight","AA/AO","West Cumbria","250","220","22740","21050"
"In post","2021","Heterosexual / straight","AA/AO","West Essex","70","60","21060","21430"
"In post","2021","Heterosexual / straight","AA/AO","West Kent","30","30","[c]","[c]"
