"Status","Year","Sex","Profession_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Commercial","Asian","120","110","38000","35190"
"In post","2021","Female","Commercial","Black","120","120","36990","34900"
"In post","2021","Female","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Mixed","60","50","39730","34780"
"In post","2021","Female","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Undeclared","100","100","38310","35760"
"In post","2021","Female","Commercial","Unknown","310","290","38650","36820"
"In post","2021","Female","Commercial","White","2130","2010","38910","36500"
"In post","2021","Female","Communications","Asian","110","100","40290","37210"
"In post","2021","Female","Communications","Black","80","80","37710","35010"
"In post","2021","Female","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Mixed","70","70","42240","39290"
"In post","2021","Female","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Undeclared","50","40","[c]","[c]"
"In post","2021","Female","Communications","Unknown","400","390","42090","38650"
"In post","2021","Female","Communications","White","1600","1510","41530","38540"
"In post","2021","Female","Corporate Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Corporate Finance","White","70","60","42570","37870"
"In post","2021","Female","Counter Fraud","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Unknown","70","70","38750","34790"
"In post","2021","Female","Counter Fraud","White","270","250","35180","33100"
"In post","2021","Female","Digital, Data and Technology","Asian","330","320","42430","38180"
"In post","2021","Female","Digital, Data and Technology","Black","160","150","40320","38630"
"In post","2021","Female","Digital, Data and Technology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Mixed","90","80","41240","39980"
"In post","2021","Female","Digital, Data and Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Undeclared","160","150","41920","38630"
"In post","2021","Female","Digital, Data and Technology","Unknown","660","640","40400","36500"
"In post","2021","Female","Digital, Data and Technology","White","3190","3000","40430","37450"
"In post","2021","Female","Economics","Asian","70","70","46210","52360"
"In post","2021","Female","Economics","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Mixed","40","40","[c]","[c]"
"In post","2021","Female","Economics","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Unknown","130","130","42980","36820"
"In post","2021","Female","Economics","White","490","470","48410","49600"
"In post","2021","Female","Finance","Asian","370","350","38240","35200"
"In post","2021","Female","Finance","Black","230","220","38420","35200"
"In post","2021","Female","Finance","Chinese","30","30","[c]","[c]"
"In post","2021","Female","Finance","Mixed","80","80","40710","38140"
"In post","2021","Female","Finance","Other ethnicity","40","30","[c]","[c]"
"In post","2021","Female","Finance","Undeclared","160","150","38770","35140"
"In post","2021","Female","Finance","Unknown","510","480","36360","32790"
"In post","2021","Female","Finance","White","3710","3410","38090","33300"
"In post","2021","Female","Human Resources","Asian","300","290","37340","34640"
"In post","2021","Female","Human Resources","Black","240","230","37720","34500"
"In post","2021","Female","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Mixed","110","110","40660","37640"
"In post","2021","Female","Human Resources","Other ethnicity","30","30","[c]","[c]"
"In post","2021","Female","Human Resources","Undeclared","140","130","36310","33300"
"In post","2021","Female","Human Resources","Unknown","460","430","35610","31810"
"In post","2021","Female","Human Resources","White","4260","3960","38590","33350"
"In post","2021","Female","Inspector of Education and Training","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Inspector of Education and Training","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Inspector of Education and Training","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Inspector of Education and Training","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Inspector of Education and Training","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Inspector of Education and Training","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Inspector of Education and Training","White","540","530","63680","64500"
"In post","2021","Female","Intelligence Analysis","Asian","110","100","32960","29480"
"In post","2021","Female","Intelligence Analysis","Black","40","40","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Mixed","40","40","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Undeclared","60","60","33160","31360"
"In post","2021","Female","Intelligence Analysis","Unknown","120","110","44540","44830"
"In post","2021","Female","Intelligence Analysis","White","1170","1090","32610","29250"
"In post","2021","Female","Internal Audit","Asian","40","40","[c]","[c]"
