"Status","Year","Sexual_orientation","Function_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Analysis","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Derbyshire and Nottinghamshire","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Dorset and Somerset","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","East Anglia","130","120","33340","30220"
"In post","2021","Heterosexual / straight","Analysis","East Wales","630","600","37500","36030"
"In post","2021","Heterosexual / straight","Analysis","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","230","220","39270","37320"
"In post","2021","Heterosexual / straight","Analysis","Greater Manchester","140","140","39020","38630"
"In post","2021","Heterosexual / straight","Analysis","Hampshire and Isle of Wight","580","550","39210","37320"
"In post","2021","Heterosexual / straight","Analysis","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Inner London - East","450","440","51160","46940"
"In post","2021","Heterosexual / straight","Analysis","Inner London - West","1810","1760","48820","44870"
"In post","2021","Heterosexual / straight","Analysis","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Merseyside","90","80","41190","38630"
"In post","2021","Heterosexual / straight","Analysis","North Yorkshire","50","50","36820","31550"
"In post","2021","Heterosexual / straight","Analysis","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","South Yorkshire","100","90","44360","42420"
"In post","2021","Heterosexual / straight","Analysis","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Analysis","West Yorkshire","100","100","42530","48350"
"In post","2021","Heterosexual / straight","Commercial","Bedfordshire and Hertfordshire","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Berkshire, Buckinghamshire and Oxfordshire","160","160","38780","36760"
"In post","2021","Heterosexual / straight","Commercial","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Derbyshire and Nottinghamshire","70","70","41200","38550"
"In post","2021","Heterosexual / straight","Commercial","Devon","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Dorset and Somerset","50","50","40210","36460"
"In post","2021","Heterosexual / straight","Commercial","East Anglia","230","220","38890","35700"
"In post","2021","Heterosexual / straight","Commercial","East Wales","120","110","36960","34800"
"In post","2021","Heterosexual / straight","Commercial","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Eastern Scotland","50","50","37920","36780"
"In post","2021","Heterosexual / straight","Commercial","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","760","730","39750","37400"
"In post","2021","Heterosexual / straight","Commercial","Greater Manchester","200","190","39550","36500"
"In post","2021","Heterosexual / straight","Commercial","Hampshire and Isle of Wight","260","250","33590","33300"
"In post","2021","Heterosexual / straight","Commercial","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Inner London - East","130","130","48680","44020"
"In post","2021","Heterosexual / straight","Commercial","Inner London - West","690","680","55710","47590"
"In post","2021","Heterosexual / straight","Commercial","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Lancashire","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Leicestershire, Rutland and Northamptonshire","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Merseyside","200","190","39620","34800"
"In post","2021","Heterosexual / straight","Commercial","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","North Yorkshire","60","50","39450","37690"
"In post","2021","Heterosexual / straight","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Northumberland and Tyne and Wear","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Outer London - South","80","70","47880","46600"
"In post","2021","Heterosexual / straight","Commercial","Outer London - West and North West","50","50","38530","32590"
"In post","2021","Heterosexual / straight","Commercial","Overseas","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Shropshire and Staffordshire","120","120","35870","33300"
"In post","2021","Heterosexual / straight","Commercial","South Yorkshire","60","60","43180","39130"
"In post","2021","Heterosexual / straight","Commercial","Southern Scotland","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Surrey, East and West Sussex","60","60","38630","33790"
"In post","2021","Heterosexual / straight","Commercial","Tees Valley and Durham","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","West Central Scotland","110","110","35650","33300"
"In post","2021","Heterosexual / straight","Commercial","West Midlands","90","80","44100","38600"
"In post","2021","Heterosexual / straight","Commercial","West Wales and The Valleys","130","120","34470","31300"
"In post","2021","Heterosexual / straight","Commercial","West Yorkshire","120","120","42990","36900"
"In post","2021","Heterosexual / straight","Communications","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Berkshire, Buckinghamshire and Oxfordshire","70","70","33260","31390"
"In post","2021","Heterosexual / straight","Communications","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Cumbria","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Derbyshire and Nottinghamshire","250","240","30560","25560"
"In post","2021","Heterosexual / straight","Communications","Devon","[c]","[c]","[c]","[c]"
