"Status","Year","Sex","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Declared disabled","Commercial","310","290","38920","36970"
"In post","2021","Female","Declared disabled","Communications","150","140","38260","34320"
"In post","2021","Female","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Female","Declared disabled","Digital, Data and Technology","410","390","37340","33770"
"In post","2021","Female","Declared disabled","Economics","40","40","[c]","[c]"
"In post","2021","Female","Declared disabled","Finance","460","410","36210","32180"
"In post","2021","Female","Declared disabled","Human Resources","700","650","39420","35000"
"In post","2021","Female","Declared disabled","Inspector of Education and Training","40","40","[c]","[c]"
"In post","2021","Female","Declared disabled","Intelligence Analysis","150","140","31150","28760"
"In post","2021","Female","Declared disabled","Internal Audit","50","40","[c]","[c]"
"In post","2021","Female","Declared disabled","International Trade","60","60","44740","39360"
"In post","2021","Female","Declared disabled","Knowledge and Information Management","140","130","33770","33300"
"In post","2021","Female","Declared disabled","Legal","580","530","48450","50520"
"In post","2021","Female","Declared disabled","Medicine","80","70","50710","38640"
"In post","2021","Female","Declared disabled","Operational Delivery","10310","9120","27340","24940"
"In post","2021","Female","Declared disabled","Operational Research","60","50","40910","38970"
"In post","2021","Female","Declared disabled","Other","1000","920","27950","24620"
"In post","2021","Female","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Policy","1390","1340","43880","39330"
"In post","2021","Female","Declared disabled","Project Delivery","850","810","39060","36160"
"In post","2021","Female","Declared disabled","Property","270","250","34870","33000"
"In post","2021","Female","Declared disabled","Psychology","100","100","32800","29750"
"In post","2021","Female","Declared disabled","Science and Engineering","370","350","35310","32560"
"In post","2021","Female","Declared disabled","Security","150","150","30900","28200"
"In post","2021","Female","Declared disabled","Social Research","80","70","42580","40200"
"In post","2021","Female","Declared disabled","Statistics","80","80","42520","39090"
"In post","2021","Female","Declared disabled","Tax","710","650","34180","31810"
"In post","2021","Female","Declared disabled","Unknown","11490","9870","28250","27570"
"In post","2021","Female","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared non-disabled","Commercial","1880","1780","38990","36460"
"In post","2021","Female","Declared non-disabled","Communications","1530","1440","41700","38630"
"In post","2021","Female","Declared non-disabled","Corporate Finance","70","70","44410","41990"
"In post","2021","Female","Declared non-disabled","Counter Fraud","280","260","34380","33100"
"In post","2021","Female","Declared non-disabled","Digital, Data and Technology","3020","2860","41220","38450"
"In post","2021","Female","Declared non-disabled","Economics","540","510","48820","51970"
"In post","2021","Female","Declared non-disabled","Finance","3630","3370","38460","33930"
"In post","2021","Female","Declared non-disabled","Human Resources","3760","3510","38690","33900"
"In post","2021","Female","Declared non-disabled","Inspector of Education and Training","500","480","64840","64500"
"In post","2021","Female","Declared non-disabled","Intelligence Analysis","1130","1050","32670","29250"
"In post","2021","Female","Declared non-disabled","Internal Audit","300","280","43710","41640"
"In post","2021","Female","Declared non-disabled","International Trade","320","310","47580","45960"
"In post","2021","Female","Declared non-disabled","Knowledge and Information Management","870","810","35520","32180"
"In post","2021","Female","Declared non-disabled","Legal","4810","4360","49970","51250"
"In post","2021","Female","Declared non-disabled","Medicine","1100","980","49860","37890"
"In post","2021","Female","Declared non-disabled","Operational Delivery","63610","56550","27990","25480"
"In post","2021","Female","Declared non-disabled","Operational Research","290","270","43700","40480"
"In post","2021","Female","Declared non-disabled","Other","7390","6960","29800","25440"
"In post","2021","Female","Declared non-disabled","Planning","80","70","45330","40720"
"In post","2021","Female","Declared non-disabled","Planning Inspectors","90","80","58080","58810"
"In post","2021","Female","Declared non-disabled","Policy","10590","10110","46650","42170"
"In post","2021","Female","Declared non-disabled","Project Delivery","5720","5470","40740","37730"
"In post","2021","Female","Declared non-disabled","Property","1910","1780","35070","33000"
"In post","2021","Female","Declared non-disabled","Psychology","890","850","35970","31180"
"In post","2021","Female","Declared non-disabled","Science and Engineering","3040","2820","37970","36330"
"In post","2021","Female","Declared non-disabled","Security","1180","1130","32130","28950"
"In post","2021","Female","Declared non-disabled","Social Research","530","500","44670","43760"
"In post","2021","Female","Declared non-disabled","Statistics","630","600","44090","40640"
"In post","2021","Female","Declared non-disabled","Tax","4670","4290","34400","31810"
"In post","2021","Female","Declared non-disabled","Unknown","53190","46450","29370","27570"
"In post","2021","Female","Declared non-disabled","Veterinarian","190","180","45840","45110"
"In post","2021","Female","Undeclared","Commercial","160","150","39630","36110"
"In post","2021","Female","Undeclared","Communications","100","100","42020","38600"
"In post","2021","Female","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Digital, Data and Technology","210","200","40280","38450"
"In post","2021","Female","Undeclared","Economics","30","30","[c]","[c]"
"In post","2021","Female","Undeclared","Finance","270","250","37960","34740"
"In post","2021","Female","Undeclared","Human Resources","280","270","38060","34030"
"In post","2021","Female","Undeclared","Intelligence Analysis","130","120","31820","28850"
"In post","2021","Female","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Knowledge and Information Management","80","80","35580","33800"
"In post","2021","Female","Undeclared","Legal","250","220","47650","46210"
"In post","2021","Female","Undeclared","Medicine","80","70","59420","51200"
"In post","2021","Female","Undeclared","Operational Delivery","5680","5020","28150","25770"
"In post","2021","Female","Undeclared","Operational Research","30","30","[c]","[c]"
"In post","2021","Female","Undeclared","Other","580","550","28260","23890"
"In post","2021","Female","Undeclared","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Policy","800","780","44030","39580"
"In post","2021","Female","Undeclared","Project Delivery","420","400","40100","37890"
"In post","2021","Female","Undeclared","Property","200","180","34190","31100"
"In post","2021","Female","Undeclared","Psychology","110","110","37640","31180"
"In post","2021","Female","Undeclared","Science and Engineering","260","240","39950","37910"
"In post","2021","Female","Undeclared","Security","120","120","36150","32980"
"In post","2021","Female","Undeclared","Social Research","30","30","[c]","[c]"
"In post","2021","Female","Undeclared","Statistics","30","30","[c]","[c]"
"In post","2021","Female","Undeclared","Tax","340","310","36580","31980"
"In post","2021","Female","Undeclared","Unknown","2810","2530","28670","27570"
"In post","2021","Female","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Commercial","510","480","37560","35760"
"In post","2021","Female","Unknown","Communications","550","530","41400","37880"
"In post","2021","Female","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Counter Fraud","50","50","40140","34050"
"In post","2021","Female","Unknown","Digital, Data and Technology","990","950","40280","36780"
"In post","2021","Female","Unknown","Economics","190","180","41270","35060"
"In post","2021","Female","Unknown","Finance","780","730","36880","32950"
"In post","2021","Female","Unknown","Human Resources","820","770","34950","30940"
"In post","2021","Female","Unknown","Inspector of Education and Training","70","60","57140","51360"
"In post","2021","Female","Unknown","Intelligence Analysis","150","150","46000","48060"
"In post","2021","Female","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","International Trade","260","250","43930","38540"
"In post","2021","Female","Unknown","Knowledge and Information Management","200","170","37210","33790"
"In post","2021","Female","Unknown","Legal","1400","1290","44650","43550"
"In post","2021","Female","Unknown","Medicine","480","430","55510","39680"
"In post","2021","Female","Unknown","Operational Delivery","17300","15600","26410","22920"
"In post","2021","Female","Unknown","Operational Research","50","50","42410","37020"
"In post","2021","Female","Unknown","Other","1790","1690","32710","28650"
"In post","2021","Female","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Policy","2940","2850","44900","40220"
"In post","2021","Female","Unknown","Project Delivery","1060","1020","41030","38600"
"In post","2021","Female","Unknown","Property","400","370","31130","28700"
"In post","2021","Female","Unknown","Psychology","130","130","32980","30930"
"In post","2021","Female","Unknown","Science and Engineering","810","750","40610","38940"
"In post","2021","Female","Unknown","Security","290","280","31180","28080"
"In post","2021","Female","Unknown","Social Research","160","160","36270","36940"
"In post","2021","Female","Unknown","Statistics","200","190","39280","37010"
"In post","2021","Female","Unknown","Tax","2710","2540","27030","25560"
"In post","2021","Female","Unknown","Unknown","7370","7000","36350","29250"
"In post","2021","Female","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Male","Declared disabled","Commercial","200","190","41000","40580"
"In post","2021","Male","Declared disabled","Communications","110","110","36120","34240"
"In post","2021","Male","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Male","Declared disabled","Digital, Data and Technology","630","620","40490","37410"
"In post","2021","Male","Declared disabled","Economics","60","60","47760","51970"
"In post","2021","Male","Declared disabled","Finance","310","300","40300","37410"
"In post","2021","Male","Declared disabled","Human Resources","280","280","41120","36720"
"In post","2021","Male","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Male","Declared disabled","Intelligence Analysis","160","150","35720","33300"
"In post","2021","Male","Declared disabled","Internal Audit","50","40","[c]","[c]"
"In post","2021","Male","Declared disabled","International Trade","50","50","[c]","[c]"
"In post","2021","Male","Declared disabled","Knowledge and Information Management","130","130","35540","32860"
"In post","2021","Male","Declared disabled","Legal","390","370","48630","50520"
"In post","2021","Male","Declared disabled","Medicine","40","40","[c]","[c]"
"In post","2021","Male","Declared disabled","Operational Delivery","7040","6610","29010","26780"
"In post","2021","Male","Declared disabled","Operational Research","80","80","43130","38630"
"In post","2021","Male","Declared disabled","Other","900","870","28960","26250"
"In post","2021","Male","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Male","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Male","Declared disabled","Policy","1070","1050","46330","41760"
"In post","2021","Male","Declared disabled","Project Delivery","630","610","42280","40000"
"In post","2021","Male","Declared disabled","Property","300","290","35610","33300"
