"Status","Year","Profession_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","850","840","30750","29550"
"In post","2021","Commercial","30-39","1280","1230","38410","36970"
"In post","2021","Commercial","40-49","1330","1280","43390","40080"
"In post","2021","Commercial","50-59","1510","1480","44420","41100"
"In post","2021","Commercial","60-64","310","280","43690","40830"
"In post","2021","Commercial","65+","70","60","39590","37920"
"In post","2021","Communications","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","840","830","34250","32940"
"In post","2021","Communications","30-39","1160","1130","43060","40480"
"In post","2021","Communications","40-49","1050","990","45880","41730"
"In post","2021","Communications","50-59","740","720","42350","37410"
"In post","2021","Communications","60-64","130","120","38120","34610"
"In post","2021","Communications","65+","40","40","[c]","[c]"
"In post","2021","Corporate Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","30-39","50","50","50470","53190"
"In post","2021","Corporate Finance","40-49","50","50","48660","45910"
"In post","2021","Corporate Finance","50-59","40","30","[c]","[c]"
"In post","2021","Corporate Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","20-29","80","80","31290","32730"
"In post","2021","Counter Fraud","30-39","190","190","36820","34390"
"In post","2021","Counter Fraud","40-49","210","200","38270","36060"
"In post","2021","Counter Fraud","50-59","300","290","40690","38510"
"In post","2021","Counter Fraud","60-64","90","80","37830","36060"
"In post","2021","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","20-29","1940","1930","33260","31810"
"In post","2021","Digital, Data and Technology","30-39","3310","3240","41020","38450"
"In post","2021","Digital, Data and Technology","40-49","3720","3640","44830","41620"
"In post","2021","Digital, Data and Technology","50-59","3400","3320","44110","40500"
"In post","2021","Digital, Data and Technology","60-64","700","630","42220","38450"
"In post","2021","Digital, Data and Technology","65+","200","170","41040","36390"
"In post","2021","Economics","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Economics","20-29","1180","1180","37360","34000"
"In post","2021","Economics","30-39","550","530","56630","57310"
"In post","2021","Economics","40-49","240","220","64530","62040"
"In post","2021","Economics","50-59","140","130","64340","63950"
"In post","2021","Economics","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Economics","65+","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","16-19","40","40","[c]","[c]"
"In post","2021","Finance","20-29","1210","1190","32590","30420"
"In post","2021","Finance","30-39","1920","1830","41410","38150"
"In post","2021","Finance","40-49","2440","2340","43670","39960"
"In post","2021","Finance","50-59","2780","2640","41340","37410"
"In post","2021","Finance","60-64","600","520","37760","32740"
"In post","2021","Finance","65+","180","150","33950","29250"
"In post","2021","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","20-29","1080","1070","31140","28850"
"In post","2021","Human Resources","30-39","1740","1650","37420","33300"
"In post","2021","Human Resources","40-49","2090","1980","41690","37950"
"In post","2021","Human Resources","50-59","2370","2270","40770","36740"
"In post","2021","Human Resources","60-64","460","390","37550","33300"
"In post","2021","Human Resources","65+","110","90","35070","32290"
"In post","2021","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","30-39","80","80","61280","51360"
"In post","2021","Inspector of Education and Training","40-49","270","260","65770","70500"
"In post","2021","Inspector of Education and Training","50-59","390","390","67260","74730"
"In post","2021","Inspector of Education and Training","60-64","100","90","68170","74730"
"In post","2021","Inspector of Education and Training","65+","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","20-29","540","540","33670","30700"
"In post","2021","Intelligence Analysis","30-39","910","870","35420","31810"
"In post","2021","Intelligence Analysis","40-49","850","810","36150","31100"
"In post","2021","Intelligence Analysis","50-59","860","840","34950","31520"
"In post","2021","Intelligence Analysis","60-64","180","160","34410","31810"
"In post","2021","Intelligence Analysis","65+","50","40","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
