"Status","Year","Organisation","Responsibility_level","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","AA/AO","Southern Scotland","30","30","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","EO","Southern Scotland","40","40","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","EO","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","G6/G7","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SCS","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SEO/HEO","Southern Scotland","30","30","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SEO/HEO","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","Derbyshire and Nottinghamshire","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","East Wales","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","Greater Manchester","60","60","24600","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","Inner London - West","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","Northumberland and Tyne and Wear","60","60","24580","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","West Central Scotland","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","West Midlands","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SCS","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Derbyshire and Nottinghamshire","50","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","East Wales","50","50","34220","32260"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Gloucestershire, Wiltshire and Bath/Bristol area","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Greater Manchester","70","70","34230","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Inner London - West","130","120","41470","39120"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Northumberland and Tyne and Wear","70","60","33810","31130"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","West Central Scotland","50","50","34050","31640"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","West Midlands","50","50","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","West Yorkshire","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Cumbria","100","100","21080","21050"
"In post","2021","Animal and Plant Health Agency","AA/AO","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Devon","110","100","21100","21050"
"In post","2021","Animal and Plant Health Agency","AA/AO","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","East Wales","50","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Herefordshire, Worcestershire and Warwickshire","40","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","North Yorkshire","60","60","21840","21050"
"In post","2021","Animal and Plant Health Agency","AA/AO","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Shropshire and Staffordshire","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Surrey, East and West Sussex","180","170","24250","24370"
"In post","2021","Animal and Plant Health Agency","AA/AO","West Wales and The Valleys","90","80","21130","21050"
"In post","2021","Animal and Plant Health Agency","EO","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Devon","50","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Gloucestershire, Wiltshire and Bath/Bristol area","40","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Herefordshire, Worcestershire and Warwickshire","50","50","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","North Yorkshire","60","50","25870","25320"
"In post","2021","Animal and Plant Health Agency","EO","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Outer London - West and North West","50","50","31090","31460"
"In post","2021","Animal and Plant Health Agency","EO","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Surrey, East and West Sussex","150","140","28260","28270"
"In post","2021","Animal and Plant Health Agency","EO","West Wales and The Valleys","50","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","G6/G7","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","G6/G7","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","G6/G7","Cheshire","[c]","[c]","[c]","[c]"
