"Status","Year","Ethnicity","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","Female","210","200","43230","38630"
"In post","2021","Asian","Analysis","Male","220","220","42530","39730"
"In post","2021","Asian","Commercial","Female","140","130","39670","34550"
"In post","2021","Asian","Commercial","Male","140","130","42930","37920"
"In post","2021","Asian","Communications","Female","210","210","35740","31810"
"In post","2021","Asian","Communications","Male","290","290","30500","26210"
"In post","2021","Asian","Counter Fraud","Female","290","270","31500","29570"
"In post","2021","Asian","Counter Fraud","Male","320","320","33160","31810"
"In post","2021","Asian","Debt","Female","220","180","23710","24360"
"In post","2021","Asian","Debt","Male","140","120","24100","21400"
"In post","2021","Asian","Digital, Data & Technology","Female","320","310","41290","36390"
"In post","2021","Asian","Digital, Data & Technology","Male","480","480","41190","37640"
"In post","2021","Asian","Finance","Female","360","340","36730","33660"
"In post","2021","Asian","Finance","Male","380","380","39760","36640"
"In post","2021","Asian","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Female","360","340","37070","33950"
"In post","2021","Asian","Human Resources","Male","120","110","36230","32310"
"In post","2021","Asian","Internal Audit","Female","40","40","[c]","[c]"
"In post","2021","Asian","Internal Audit","Male","40","40","[c]","[c]"
"In post","2021","Asian","Legal","Female","780","710","42110","40920"
"In post","2021","Asian","Legal","Male","370","360","43290","40800"
"In post","2021","Asian","No function","Female","5100","4660","32200","28130"
"In post","2021","Asian","No function","Male","4220","4070","32940","29730"
"In post","2021","Asian","Project Delivery","Female","560","540","41070","37640"
"In post","2021","Asian","Project Delivery","Male","580","570","42080","38630"
"In post","2021","Asian","Property","Female","160","140","31710","29450"
"In post","2021","Asian","Property","Male","160","150","37060","31810"
"In post","2021","Asian","Security","Female","80","70","34800","33080"
"In post","2021","Asian","Security","Male","150","150","30450","26590"
"In post","2021","Asian","Unknown","Female","7490","6570","29400","27570"
"In post","2021","Asian","Unknown","Male","5240","5070","30010","27570"
"In post","2021","Black","Analysis","Female","100","100","38410","36120"
"In post","2021","Black","Analysis","Male","80","80","41080","39870"
"In post","2021","Black","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Female","120","120","38600","36060"
"In post","2021","Black","Commercial","Male","60","60","43940","40580"
"In post","2021","Black","Communications","Female","140","130","33700","31810"
"In post","2021","Black","Communications","Male","70","70","31410","25560"
"In post","2021","Black","Counter Fraud","Female","160","160","31400","29570"
"In post","2021","Black","Counter Fraud","Male","90","90","31710","29570"
"In post","2021","Black","Debt","Female","100","90","25420","24120"
"In post","2021","Black","Debt","Male","60","50","25310","25600"
"In post","2021","Black","Digital, Data & Technology","Female","160","150","38250","35960"
"In post","2021","Black","Digital, Data & Technology","Male","220","220","39930","36030"
"In post","2021","Black","Finance","Female","220","210","38080","35990"
"In post","2021","Black","Finance","Male","130","130","41640","38580"
"In post","2021","Black","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","Female","260","250","37270","33820"
"In post","2021","Black","Human Resources","Male","50","50","38230","34640"
"In post","2021","Black","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal","Female","480","450","40580","35000"
"In post","2021","Black","Legal","Male","170","170","43150","36160"
"In post","2021","Black","No function","Female","3590","3420","31690","28690"
"In post","2021","Black","No function","Male","2230","2190","32930","31570"
"In post","2021","Black","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Female","400","390","39120","36160"
"In post","2021","Black","Project Delivery","Male","260","260","39070","36650"
"In post","2021","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Female","90","90","34880","31620"
"In post","2021","Black","Property","Male","60","50","38770","37530"
"In post","2021","Black","Security","Female","40","40","[c]","[c]"
"In post","2021","Black","Security","Male","80","80","29470","22650"
"In post","2021","Black","Unknown","Female","4200","3900","30300","29360"
"In post","2021","Black","Unknown","Male","1970","1930","30800","29290"
"In post","2021","Chinese","Analysis","Female","30","30","[c]","[c]"
"In post","2021","Chinese","Analysis","Male","30","30","[c]","[c]"
"In post","2021","Chinese","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Debt","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Debt","Male","[c]","[c]","[c]","[c]"
