"Status","Year","Age","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Tax","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Operational Delivery","190","170","21480","21430"
"In post","2021","16-19","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Science and Engineering","70","70","18090","17780"
"In post","2021","16-19","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Tax","50","50","20440","20140"
"In post","2021","16-19","Declared non-disabled","Unknown","230","220","22430","21010"
"In post","2021","16-19","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Operational Delivery","210","200","20930","20880"
"In post","2021","16-19","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Other","60","60","18880","16780"
"In post","2021","16-19","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Science and Engineering","50","50","[c]","[c]"
"In post","2021","16-19","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Tax","100","90","20310","20140"
"In post","2021","16-19","Unknown","Unknown","70","70","21590","21010"
"In post","2021","20-29","Declared disabled","Commercial","40","40","[c]","[c]"
"In post","2021","20-29","Declared disabled","Communications","40","40","[c]","[c]"
"In post","2021","20-29","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Digital, Data and Technology","100","100","30970","29760"
"In post","2021","20-29","Declared disabled","Economics","50","50","[c]","[c]"
"In post","2021","20-29","Declared disabled","Finance","60","50","32430","30120"
"In post","2021","20-29","Declared disabled","Human Resources","90","90","32460","29870"
"In post","2021","20-29","Declared disabled","Intelligence Analysis","40","40","[c]","[c]"
"In post","2021","20-29","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Legal","50","50","[c]","[c]"
"In post","2021","20-29","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Operational Delivery","1460","1420","25270","24020"
"In post","2021","20-29","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Other","130","130","25600","24890"
"In post","2021","20-29","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Policy","570","570","37550","34020"
"In post","2021","20-29","Declared disabled","Project Delivery","140","140","32110","32540"
"In post","2021","20-29","Declared disabled","Property","30","30","[c]","[c]"
"In post","2021","20-29","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Science and Engineering","220","220","28330","28590"
"In post","2021","20-29","Declared disabled","Security","40","40","[c]","[c]"
"In post","2021","20-29","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Statistics","50","50","[c]","[c]"
"In post","2021","20-29","Declared disabled","Tax","140","130","28440","25560"
"In post","2021","20-29","Declared disabled","Unknown","1550","1520","27760","27570"
"In post","2021","20-29","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Commercial","540","530","30240","29550"
"In post","2021","20-29","Declared non-disabled","Communications","460","460","34560","33210"
"In post","2021","20-29","Declared non-disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Counter Fraud","40","40","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Digital, Data and Technology","1010","1010","33970","31810"
"In post","2021","20-29","Declared non-disabled","Economics","730","720","38280","34340"
"In post","2021","20-29","Declared non-disabled","Finance","770","760","33020","30420"
"In post","2021","20-29","Declared non-disabled","Human Resources","690","680","31490","29250"
"In post","2021","20-29","Declared non-disabled","Intelligence Analysis","360","360","32040","29250"
"In post","2021","20-29","Declared non-disabled","Internal Audit","30","30","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","International Trade","200","200","37400","33640"
