"Status","Year","Sex","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Declared disabled","30090","26760","30670","27570"
"In post","2021","Female","Declared non-disabled","177740","160190","32600","27570"
"In post","2021","Female","Undeclared","13110","11900","32090","28060"
"In post","2021","Female","Unknown","41740","38750","33020","28170"
"In post","2021","Male","Declared disabled","20460","19480","32840","28570"
"In post","2021","Male","Declared non-disabled","143160","138870","35750","31420"
"In post","2021","Male","Undeclared","15640","14990","34790","31650"
"In post","2021","Male","Unknown","42900","41840","34970","31060"
"In post","2021","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","40","40","[c]","[c]"
"In post","2022","Female","Declared disabled","32870","29420","31520","27570"
"In post","2022","Female","Declared non-disabled","185400","168230","33350","28310"
"In post","2022","Female","Undeclared","12600","11450","32370","28310"
"In post","2022","Female","Unknown","47190","44080","34080","29250"
"In post","2022","Male","Declared disabled","21750","20730","33540","29290"
"In post","2022","Male","Declared non-disabled","149290","145000","36430","31880"
"In post","2022","Male","Undeclared","14890","14250","35220","31700"
"In post","2022","Male","Unknown","46080","44920","35870","32090"
"In post","2022","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Declared disabled","1660","1350","28600","26220"
"Leaver CS","2021","Female","Declared non-disabled","8300","6950","30850","26410"
"Leaver CS","2021","Female","Undeclared","800","670","31440","27550"
"Leaver CS","2021","Female","Unknown","3850","3380","31390","26970"
"Leaver CS","2021","Male","Declared disabled","1300","1170","31220","27570"
"Leaver CS","2021","Male","Declared non-disabled","7200","6570","35450","29080"
"Leaver CS","2021","Male","Undeclared","930","830","34460","30800"
"Leaver CS","2021","Male","Unknown","3670","3410","33840","28650"
"Leaver CS","2021","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","100","90","44220","40010"
"Leaver CS","2022","Female","Declared disabled","2550","2120","29330","27570"
"Leaver CS","2022","Female","Declared non-disabled","14220","12260","31880","27570"
"Leaver CS","2022","Female","Undeclared","1010","870","31260","27570"
"Leaver CS","2022","Female","Unknown","5640","4830","32990","27570"
"Leaver CS","2022","Male","Declared disabled","1930","1740","31710","27570"
"Leaver CS","2022","Male","Declared non-disabled","12010","11150","35190","29250"
"Leaver CS","2022","Male","Undeclared","1210","1100","33650","30210"
"Leaver CS","2022","Male","Unknown","5640","5130","35120","30130"
"Leaver CS","2022","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Declared disabled","550","520","35310","32000"
"Leaver Dept.","2021","Female","Declared non-disabled","3960","3710","37350","32000"
"Leaver Dept.","2021","Female","Undeclared","310","290","37920","33300"
"Leaver Dept.","2021","Female","Unknown","1790","1610","37210","32620"
"Leaver Dept.","2021","Male","Declared disabled","440","430","36780","32560"
"Leaver Dept.","2021","Male","Declared non-disabled","2990","2880","38400","33210"
"Leaver Dept.","2021","Male","Undeclared","300","290","37100","33620"
