"Status","Year","Region_ITL2","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Analysis","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Communications","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Communications","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Communications","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Communications","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Counter Fraud","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Counter Fraud","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Counter Fraud","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Debt","HM Revenue and Customs (excl. agencies)","40","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
