"Status","Year","Region_ITL2","Organisation","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Animal and Plant Health Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Animal and Plant Health Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Animal and Plant Health Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Cabinet Office (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Cabinet Office (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Crown Prosecution Service","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Crown Prosecution Service","Declared non-disabled","130","110","43930","40800"
"In post","2021","Bedfordshire and Hertfordshire","Crown Prosecution Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Crown Prosecution Service","Unknown","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Defence Equipment and Support","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Defence Equipment and Support","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Defence Equipment and Support","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Education (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Education (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Education (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Work and Pensions (excl. agencies)","Declared disabled","190","180","28930","29290"
"In post","2021","Bedfordshire and Hertfordshire","Department for Work and Pensions (excl. agencies)","Declared non-disabled","840","760","28810","29290"
"In post","2021","Bedfordshire and Hertfordshire","Department for Work and Pensions (excl. agencies)","Undeclared","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Work and Pensions (excl. agencies)","Unknown","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Driver and Vehicle Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
