"Status","Year","Responsibility_level","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","East Midlands (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Midlands (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Midlands (England)","Crown Prosecution Service","110","110","21360","21950"
"In post","2021","AA/AO","East Midlands (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Midlands (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Midlands (England)","Department for Work and Pensions (excl. agencies)","1510","1260","20820","21010"
"In post","2021","AA/AO","East Midlands (England)","Driver and Vehicle Standards Agency","80","80","24400","24840"
"In post","2021","AA/AO","East Midlands (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Midlands (England)","HM Courts and Tribunals Service","960","830","19090","19450"
"In post","2021","AA/AO","East Midlands (England)","HM Land Registry","230","210","22340","22350"
"In post","2021","AA/AO","East Midlands (England)","HM Prison and Probation Service","2740","2590","25000","24440"
"In post","2021","AA/AO","East Midlands (England)","HM Revenue and Customs (excl. agencies)","860","760","20520","20140"
"In post","2021","AA/AO","East Midlands (England)","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Midlands (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Midlands (England)","Legal Aid Agency","100","90","19160","18890"
"In post","2021","AA/AO","East Midlands (England)","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Midlands (England)","Ministry of Defence (excl. agencies)","940","900","21050","20920"
"In post","2021","AA/AO","East Midlands (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Midlands (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","30","30","[c]","[c]"
"In post","2021","AA/AO","East Midlands (England)","Office of the Public Guardian","220","200","18970","18880"
"In post","2021","AA/AO","East Midlands (England)","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Midlands (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
