"Status","Year","Organisation","Disability","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared disabled","White","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared non-disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared non-disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared non-disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared non-disabled","White","60","60","33010","29190"
"In post","2021","Accountant in Bankruptcy","Undeclared","White","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared disabled","White","90","80","31410","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared non-disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared non-disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared non-disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared non-disabled","White","190","180","34490","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","White","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Unknown","280","270","29050","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","White","370","330","35650","34500"
"In post","2021","Animal and Plant Health Agency","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Declared disabled","White","320","300","28220","25100"
"In post","2021","Animal and Plant Health Agency","Declared non-disabled","Asian","50","50","28200","27960"
"In post","2021","Animal and Plant Health Agency","Declared non-disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Declared non-disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Declared non-disabled","Undeclared","80","80","32570","30320"
"In post","2021","Animal and Plant Health Agency","Declared non-disabled","Unknown","50","50","31240","25710"
"In post","2021","Animal and Plant Health Agency","Declared non-disabled","White","1750","1660","31120","28030"
"In post","2021","Animal and Plant Health Agency","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","Undeclared","50","50","33150","29450"
"In post","2021","Animal and Plant Health Agency","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","White","70","70","29540","26520"
"In post","2021","Animal and Plant Health Agency","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Unknown","170","160","28920","25330"
"In post","2021","Animal and Plant Health Agency","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Declared disabled","White","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Declared non-disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Declared non-disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Declared non-disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Declared non-disabled","White","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Undeclared","White","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared disabled","Asian","60","50","41990","35590"
"In post","2021","Cabinet Office (excl. agencies)","Declared disabled","Black","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared disabled","Mixed","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared disabled","Undeclared","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared disabled","White","530","510","44160","38420"
"In post","2021","Cabinet Office (excl. agencies)","Declared non-disabled","Asian","380","370","46900","40600"
"In post","2021","Cabinet Office (excl. agencies)","Declared non-disabled","Black","200","200","42270","35590"
"In post","2021","Cabinet Office (excl. agencies)","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared non-disabled","Mixed","150","140","47330","38580"
"In post","2021","Cabinet Office (excl. agencies)","Declared non-disabled","Other ethnicity","60","60","46960","40030"
"In post","2021","Cabinet Office (excl. agencies)","Declared non-disabled","Undeclared","100","100","49490","42200"
"In post","2021","Cabinet Office (excl. agencies)","Declared non-disabled","Unknown","160","160","61320","54700"
"In post","2021","Cabinet Office (excl. agencies)","Declared non-disabled","White","3420","3330","49150","43060"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Undeclared","90","90","45350","40600"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","White","150","140","44800","38580"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Chinese","[c]","[c]","[c]","[c]"
