"Status","Year","Profession_of_post","Function_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Counter Fraud","Counter Fraud","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","West Midlands","70","70","37270","36720"
"In post","2021","Counter Fraud","Counter Fraud","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","West Yorkshire","30","30","[c]","[c]"
"In post","2021","Counter Fraud","Finance","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","No function","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","No function","Inner London - West","40","30","[c]","[c]"
"In post","2021","Counter Fraud","No function","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","No function","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Tees Valley and Durham","30","30","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","West Central Scotland","60","60","25480","25040"
"In post","2021","Digital, Data and Technology","Analysis","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","Inner London - West","80","70","46870","45250"
"In post","2021","Digital, Data and Technology","Analysis","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","South Yorkshire","50","50","44750","42420"
"In post","2021","Digital, Data and Technology","Analysis","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","West Wales and The Valleys","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Communications","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Communications","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Communications","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Bedfordshire and Hertfordshire","70","70","36020","34820"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Berkshire, Buckinghamshire and Oxfordshire","240","230","41600","38600"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Cheshire","140","130","41990","41700"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Derbyshire and Nottinghamshire","170","170","38890","35900"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Devon","890","850","37780","38450"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Dorset and Somerset","230","230","38130","35340"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","East Anglia","150","150","34260","31090"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","East Wales","950","930","40400","37940"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Eastern Scotland","220","220","38680","35230"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Essex","270","250","37480","35000"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Gloucestershire, Wiltshire and Bath/Bristol area","570","560","39300","36460"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Greater Manchester","280","270","39740","36780"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Hampshire and Isle of Wight","350","340","36450","33300"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Herefordshire, Worcestershire and Warwickshire","80","80","38280","33150"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Inner London - East","590","580","49670","44930"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Inner London - West","1450","1420","48910","45430"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Lancashire","50","50","32560","31810"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Leicestershire, Rutland and Northamptonshire","70","70","33810","31190"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Merseyside","240","230","37660","34550"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","North Yorkshire","150","150","38720","36970"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Northumberland and Tyne and Wear","550","530","39630","38630"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Outer London - South","60","60","41710","41760"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Outer London - West and North West","150","140","41810","41310"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Shropshire and Staffordshire","290","280","42320","38630"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","South Yorkshire","230","220","43770","41990"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Southern Scotland","210","200","40370","38630"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Surrey, East and West Sussex","190","180","37360","33370"
