"Status","Year","Region_ITL3","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","130","130","33610","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","1050","990","38600","31060"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","60","50","42700","30360"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","630","590","32110","29350"
"In post","2021","Angus and Dundee City","Declared disabled","260","240","24050","21010"
"In post","2021","Angus and Dundee City","Declared non-disabled","1170","1070","26700","23120"
"In post","2021","Angus and Dundee City","Undeclared","90","80","24390","21010"
"In post","2021","Angus and Dundee City","Unknown","390","360","26710","22230"
"In post","2021","Antrim and Newtownabbey","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared non-disabled","130","130","25420","20310"
"In post","2021","Antrim and Newtownabbey","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","40","30","[c]","[c]"
"In post","2021","Ards and North Down","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared non-disabled","140","130","27100","21590"
"In post","2021","Ards and North Down","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","50","50","23610","20310"
"In post","2021","Armagh City, Banbridge and Craigavon","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared disabled","110","90","30690","31060"
"In post","2021","Barking & Dagenham and Havering","Declared non-disabled","440","400","30540","31060"
"In post","2021","Barking & Dagenham and Havering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","30","30","[c]","[c]"
"In post","2021","Barnet","Declared disabled","120","120","35020","31060"
"In post","2021","Barnet","Declared non-disabled","1090","1030","36960","32330"
"In post","2021","Barnet","Undeclared","80","70","44840","33620"
"In post","2021","Barnet","Unknown","400","370","48480","44900"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","420","360","26890","27380"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","2140","1890","27150","27370"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","250","240","29830","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","190","180","24280","22920"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","1350","1290","36550","33370"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","9550","9170","37790","34210"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","850","820","39270","37810"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","1610","1550","37730","34140"
"In post","2021","Bedford","Declared disabled","110","100","30210","28200"
"In post","2021","Bedford","Declared non-disabled","570","540","30750","28610"
"In post","2021","Bedford","Undeclared","60","60","29620","28650"
"In post","2021","Bedford","Unknown","100","100","27630","26850"
"In post","2021","Belfast","Declared disabled","240","220","28350","25560"
"In post","2021","Belfast","Declared non-disabled","1650","1540","29760","25560"
"In post","2021","Belfast","Undeclared","150","130","30500","28130"
"In post","2021","Belfast","Unknown","780","740","26930","24880"
"In post","2021","Berkshire","Declared disabled","330","310","33310","30890"
"In post","2021","Berkshire","Declared non-disabled","1870","1780","34490","30110"
"In post","2021","Berkshire","Undeclared","170","170","34430","31880"
"In post","2021","Berkshire","Unknown","590","570","34650","32540"
"In post","2021","Bexley and Greenwich","Declared disabled","180","170","30780","31060"
"In post","2021","Bexley and Greenwich","Declared non-disabled","1150","1090","32200","31060"
"In post","2021","Bexley and Greenwich","Undeclared","210","200","32470","33180"
"In post","2021","Bexley and Greenwich","Unknown","230","230","30100","30150"
"In post","2021","Birmingham","Declared disabled","1280","1160","29350","27570"
"In post","2021","Birmingham","Declared non-disabled","7400","6860","31560","27570"
"In post","2021","Birmingham","Undeclared","620","580","31280","27570"
"In post","2021","Birmingham","Unknown","2310","2200","30920","26310"
"In post","2021","Blackburn with Darwen","Declared disabled","70","60","27350","27570"
"In post","2021","Blackburn with Darwen","Declared non-disabled","370","330","26840","27570"
"In post","2021","Blackburn with Darwen","Undeclared","30","30","[c]","[c]"
"In post","2021","Blackburn with Darwen","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Declared disabled","770","680","27480","27570"
"In post","2021","Blackpool","Declared non-disabled","3930","3600","29310","27570"
"In post","2021","Blackpool","Undeclared","260","240","28490","27570"
"In post","2021","Blackpool","Unknown","190","180","30840","27570"
"In post","2021","Bournemouth and Poole","Declared disabled","120","110","26060","27570"
"In post","2021","Bournemouth and Poole","Declared non-disabled","520","470","27060","27570"
"In post","2021","Bournemouth and Poole","Undeclared","40","40","[c]","[c]"
"In post","2021","Bournemouth and Poole","Unknown","40","30","[c]","[c]"
"In post","2021","Bradford","Declared disabled","340","280","26100","25560"
"In post","2021","Bradford","Declared non-disabled","2020","1790","27920","25560"
"In post","2021","Bradford","Undeclared","130","120","25820","21440"
"In post","2021","Bradford","Unknown","610","550","25690","21440"
"In post","2021","Breckland and South Norfolk","Declared disabled","50","50","27970","27570"
"In post","2021","Breckland and South Norfolk","Declared non-disabled","390","370","28390","26750"
"In post","2021","Breckland and South Norfolk","Undeclared","50","50","31510","27570"
"In post","2021","Breckland and South Norfolk","Unknown","40","40","[c]","[c]"
"In post","2021","Brent","Declared disabled","60","60","31360","31060"
"In post","2021","Brent","Declared non-disabled","440","410","31350","31060"
"In post","2021","Brent","Undeclared","40","40","[c]","[c]"
"In post","2021","Brent","Unknown","60","60","30850","31060"
"In post","2021","Bridgend and Neath Port Talbot","Declared disabled","110","100","26500","27570"
"In post","2021","Bridgend and Neath Port Talbot","Declared non-disabled","510","450","26590","27570"
"In post","2021","Bridgend and Neath Port Talbot","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Unknown","60","60","31930","32770"
"In post","2021","Brighton and Hove","Declared disabled","100","90","28460","27570"
"In post","2021","Brighton and Hove","Declared non-disabled","460","410","31130","27570"
"In post","2021","Brighton and Hove","Undeclared","40","40","[c]","[c]"
"In post","2021","Brighton and Hove","Unknown","60","60","30880","26970"
"In post","2021","Bristol, City of","Declared disabled","670","610","32550","27570"
"In post","2021","Bristol, City of","Declared non-disabled","4500","4190","36590","31810"
"In post","2021","Bristol, City of","Undeclared","330","300","35120","31590"
"In post","2021","Bristol, City of","Unknown","1110","1040","35140","31810"
"In post","2021","Bromley","Declared disabled","70","60","31360","31060"
"In post","2021","Bromley","Declared non-disabled","340","310","29090","31060"
"In post","2021","Bromley","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bromley","Unknown","30","30","[c]","[c]"
"In post","2021","Buckinghamshire CC","Declared disabled","190","180","30340","28200"
"In post","2021","Buckinghamshire CC","Declared non-disabled","1150","1100","32190","29530"
"In post","2021","Buckinghamshire CC","Undeclared","180","160","33690","33670"
"In post","2021","Buckinghamshire CC","Unknown","170","160","32250","28670"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Declared non-disabled","160","150","29480","27570"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Unknown","30","30","[c]","[c]"
"In post","2021","Calderdale and Kirklees","Declared disabled","190","160","26690","27570"
"In post","2021","Calderdale and Kirklees","Declared non-disabled","740","650","27290","27570"
"In post","2021","Calderdale and Kirklees","Undeclared","50","50","28100","27570"
"In post","2021","Calderdale and Kirklees","Unknown","90","80","24880","26280"
"In post","2021","Cambridgeshire CC","Declared disabled","350","330","32890","31220"
"In post","2021","Cambridgeshire CC","Declared non-disabled","2210","2110","34110","31220"
"In post","2021","Cambridgeshire CC","Undeclared","440","410","33170","31650"
"In post","2021","Cambridgeshire CC","Unknown","370","360","35260","30760"
"In post","2021","Camden and City of London","Declared disabled","290","280","35160","30850"
"In post","2021","Camden and City of London","Declared non-disabled","2270","2170","38500","32520"
"In post","2021","Camden and City of London","Undeclared","250","240","35910","31670"
"In post","2021","Camden and City of London","Unknown","830","800","39470","36160"
"In post","2021","Cardiff and Vale of Glamorgan","Declared disabled","1080","990","31610","27570"
"In post","2021","Cardiff and Vale of Glamorgan","Declared non-disabled","8230","7710","34390","28850"
"In post","2021","Cardiff and Vale of Glamorgan","Undeclared","570","520","32510","29670"
"In post","2021","Cardiff and Vale of Glamorgan","Unknown","2190","2040","28310","25560"
"In post","2021","Causeway Coast and Glens","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Causeway Coast and Glens","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","Causeway Coast and Glens","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Causeway Coast and Glens","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Central Bedfordshire","Declared disabled","40","40","[c]","[c]"
"In post","2021","Central Bedfordshire","Declared non-disabled","320","300","29870","27570"
"In post","2021","Central Bedfordshire","Undeclared","30","30","[c]","[c]"
"In post","2021","Central Bedfordshire","Unknown","40","40","[c]","[c]"
"In post","2021","Central Hampshire","Declared disabled","440","420","34270","33300"
"In post","2021","Central Hampshire","Declared non-disabled","2810","2700","36070","33300"
"In post","2021","Central Hampshire","Undeclared","390","380","36010","33520"
"In post","2021","Central Hampshire","Unknown","560","540","38380","34140"
"In post","2021","Central Valleys","Declared disabled","180","160","28700","27570"
"In post","2021","Central Valleys","Declared non-disabled","1370","1270","35080","28850"
"In post","2021","Central Valleys","Undeclared","60","60","34830","28850"
"In post","2021","Central Valleys","Unknown","100","100","37870","32540"
"In post","2021","Cheshire East","Declared disabled","90","90","30400","27570"
"In post","2021","Cheshire East","Declared non-disabled","540","500","30380","27570"
"In post","2021","Cheshire East","Undeclared","60","60","31280","31650"
"In post","2021","Cheshire East","Unknown","60","60","25340","23970"
"In post","2021","Cheshire West and Chester","Declared disabled","80","70","26000","27570"
