"Status","Year","Sex","Organisation","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Accountant in Bankruptcy","Southern Scotland","80","60","30300","29190"
"In post","2021","Female","Accountant in Bankruptcy","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","60","60","29660","30950"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","East Wales","60","50","30560","30950"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","30","30","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Greater Manchester","80","70","29720","30950"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Inner London - West","110","110","40100","38670"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Northumberland and Tyne and Wear","90","80","29580","26380"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","West Central Scotland","50","50","28900","28660"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","West Midlands","60","50","30520","30950"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","West Yorkshire","40","40","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Cornwall and Isles of Scilly","30","30","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Cumbria","100","90","25540","21050"
"In post","2021","Female","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Devon","130","120","26050","21050"
"In post","2021","Female","Animal and Plant Health Agency","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","East Anglia","40","40","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","East Wales","70","70","27630","21050"
"In post","2021","Female","Animal and Plant Health Agency","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","70","70","29530","25320"
"In post","2021","Female","Animal and Plant Health Agency","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Herefordshire, Worcestershire and Warwickshire","100","90","27580","25260"
"In post","2021","Female","Animal and Plant Health Agency","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Lancashire","50","40","29720","25190"
"In post","2021","Female","Animal and Plant Health Agency","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","North Yorkshire","100","90","27430","25210"
"In post","2021","Female","Animal and Plant Health Agency","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Outer London - West and North West","40","40","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Shropshire and Staffordshire","60","50","27290","24920"
"In post","2021","Female","Animal and Plant Health Agency","Southern Scotland","30","30","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Surrey, East and West Sussex","350","320","31710","28430"
"In post","2021","Female","Animal and Plant Health Agency","West Wales and The Valleys","140","120","27120","24920"
"In post","2021","Female","Animal and Plant Health Agency","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Office","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office (excl. agencies)","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","60","60","33420","33000"
