"Status","Year","Region_ITL1","Parent_department","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Attorney General's Departments","Asian","50","50","36170","28430"
"In post","2021","East Midlands (England)","Attorney General's Departments","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Attorney General's Departments","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Attorney General's Departments","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Attorney General's Departments","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Attorney General's Departments","Unknown","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Attorney General's Departments","White","300","280","39370","34480"
"In post","2021","East Midlands (England)","Cabinet Office","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Cabinet Office","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Cabinet Office","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Cabinet Office","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Cabinet Office","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Cabinet Office","White","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy","Unknown","80","70","27930","24250"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy","White","110","110","35580","34500"
"In post","2021","East Midlands (England)","Department for Education","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education","White","230","210","42260","37100"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","Unknown","60","50","28490","25190"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","White","150","140","34780","30720"
"In post","2021","East Midlands (England)","Department for International Trade","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for International Trade","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for International Trade","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for International Trade","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for International Trade","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for International Trade","White","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport","Undeclared","60","60","34120","31040"
"In post","2021","East Midlands (England)","Department for Transport","Unknown","120","120","31390","26780"
"In post","2021","East Midlands (England)","Department for Transport","White","430","400","34400","29730"
"In post","2021","East Midlands (England)","Department for Work and Pensions","Asian","600","530","24580","27570"
"In post","2021","East Midlands (England)","Department for Work and Pensions","Black","150","140","25590","27570"
"In post","2021","East Midlands (England)","Department for Work and Pensions","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Work and Pensions","Mixed","90","90","26270","27570"
"In post","2021","East Midlands (England)","Department for Work and Pensions","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Work and Pensions","Undeclared","230","200","27590","27570"
"In post","2021","East Midlands (England)","Department for Work and Pensions","Unknown","330","300","28370","27570"
"In post","2021","East Midlands (England)","Department for Work and Pensions","White","3450","3060","27670","27570"
"In post","2021","East Midlands (England)","Department of Health and Social Care","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department of Health and Social Care","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department of Health and Social Care","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department of Health and Social Care","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department of Health and Social Care","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department of Health and Social Care","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department of Health and Social Care","White","140","130","42120","36330"
"In post","2021","East Midlands (England)","Food Standards Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Food Standards Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Food Standards Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Food Standards Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Food Standards Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Food Standards Agency","White","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","Asian","90","80","29120","27130"
"In post","2021","East Midlands (England)","HM Land Registry","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","Undeclared","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","Unknown","120","120","27120","22350"
"In post","2021","East Midlands (England)","HM Land Registry","White","610","550","32050","27130"
"In post","2021","East Midlands (England)","HM Revenue and Customs","Asian","410","380","28950","25560"
"In post","2021","East Midlands (England)","HM Revenue and Customs","Black","70","70","28070","25560"
"In post","2021","East Midlands (England)","HM Revenue and Customs","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Revenue and Customs","Mixed","60","50","30410","25930"
"In post","2021","East Midlands (England)","HM Revenue and Customs","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Revenue and Customs","Undeclared","170","160","33230","31810"
"In post","2021","East Midlands (England)","HM Revenue and Customs","Unknown","990","930","27680","25560"
"In post","2021","East Midlands (England)","HM Revenue and Customs","White","2230","2070","34580","31810"
"In post","2021","East Midlands (England)","HM Treasury","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Treasury","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Treasury","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Treasury","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Treasury","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Treasury","White","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office","Asian","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office","White","150","140","28160","25310"
"In post","2021","East Midlands (England)","Ministry of Defence","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence","Undeclared","110","110","32250","33040"
"In post","2021","East Midlands (England)","Ministry of Defence","Unknown","140","130","29230","26670"
"In post","2021","East Midlands (England)","Ministry of Defence","White","1520","1470","27800","22500"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government","White","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice","Asian","400","360","24660","20100"
