"Status","Year","Region_ITL1","Ethnicity","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Asian","Derbyshire and Nottinghamshire","650","590","29880","27570"
"In post","2021","East Midlands (England)","Asian","Leicestershire, Rutland and Northamptonshire","1030","920","25190","22030"
"In post","2021","East Midlands (England)","Asian","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Derbyshire and Nottinghamshire","320","300","27280","26560"
"In post","2021","East Midlands (England)","Black","Leicestershire, Rutland and Northamptonshire","170","160","26400","24140"
"In post","2021","East Midlands (England)","Black","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Derbyshire and Nottinghamshire","210","200","30360","27570"
"In post","2021","East Midlands (England)","Mixed","Leicestershire, Rutland and Northamptonshire","100","90","27890","27570"
"In post","2021","East Midlands (England)","Mixed","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Derbyshire and Nottinghamshire","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Derbyshire and Nottinghamshire","500","460","31450","28130"
"In post","2021","East Midlands (England)","Undeclared","Leicestershire, Rutland and Northamptonshire","270","250","27380","26930"
"In post","2021","East Midlands (England)","Undeclared","Lincolnshire","140","130","31090","27570"
"In post","2021","East Midlands (England)","Unknown","Derbyshire and Nottinghamshire","1800","1700","28540","25560"
"In post","2021","East Midlands (England)","Unknown","Leicestershire, Rutland and Northamptonshire","740","690","25330","22850"
"In post","2021","East Midlands (England)","Unknown","Lincolnshire","150","150","27370","26300"
"In post","2021","East Midlands (England)","White","Derbyshire and Nottinghamshire","8750","8080","31650","27570"
"In post","2021","East Midlands (England)","White","Leicestershire, Rutland and Northamptonshire","3900","3580","28420","27130"
"In post","2021","East Midlands (England)","White","Lincolnshire","2450","2310","27840","26670"
"In post","2021","East of England","Asian","Bedfordshire and Hertfordshire","540","500","30790","29290"
"In post","2021","East of England","Asian","East Anglia","370","320","27160","23130"
"In post","2021","East of England","Asian","Essex","210","200","34760","29290"
"In post","2021","East of England","Black","Bedfordshire and Hertfordshire","230","220","30990","29290"
"In post","2021","East of England","Black","East Anglia","120","120","32370","27570"
"In post","2021","East of England","Black","Essex","240","230","29610","29290"
"In post","2021","East of England","Chinese","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Essex","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Bedfordshire and Hertfordshire","140","130","31830","29290"
"In post","2021","East of England","Mixed","East Anglia","180","170","28940","27570"
"In post","2021","East of England","Mixed","Essex","100","90","32100","29290"
"In post","2021","East of England","Other ethnicity","Bedfordshire and Hertfordshire","40","40","[c]","[c]"
"In post","2021","East of England","Other ethnicity","East Anglia","50","50","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Essex","30","30","[c]","[c]"
"In post","2021","East of England","Undeclared","Bedfordshire and Hertfordshire","210","190","32800","30420"
"In post","2021","East of England","Undeclared","East Anglia","570","530","31140","27900"
"In post","2021","East of England","Undeclared","Essex","310","290","30990","29090"
"In post","2021","East of England","Unknown","Bedfordshire and Hertfordshire","410","390","29890","28100"
"In post","2021","East of England","Unknown","East Anglia","1090","1030","28940","26350"
"In post","2021","East of England","Unknown","Essex","580","540","29370","26590"
"In post","2021","East of England","White","Bedfordshire and Hertfordshire","2950","2760","33160","30110"
"In post","2021","East of England","White","East Anglia","10060","9370","30280","27570"
"In post","2021","East of England","White","Essex","4110","3750","30790","29290"
"In post","2021","London","Asian","Inner London - East","2520","2360","37070","31880"
"In post","2021","London","Asian","Inner London - West","6000","5800","41320","36240"
"In post","2021","London","Asian","Outer London - East and North East","700","640","29620","31060"
"In post","2021","London","Asian","Outer London - South","1710","1590","34070","29870"
"In post","2021","London","Asian","Outer London - West and North West","2630","2420","31160","29450"
