"Status","Year","Function_of_post","Region_ITL3","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Analysis","Bedford","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bradford","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","G6/G7","30","30","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","SEO/HEO","100","90","35970","33250"
"In post","2021","Analysis","Buckinghamshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cambridgeshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cambridgeshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cambridgeshire CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","G6/G7","130","120","85090","80750"
"In post","2021","Analysis","Camden and City of London","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","SEO/HEO","70","70","41350","41210"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","G6/G7","160","150","49330","46130"
"In post","2021","Analysis","Central Hampshire","SEO/HEO","180","170","33990","37320"
