"Status","Year","Parent_department","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Communications","60","60","44340","39750"
"In post","2021","Attorney General's Departments","Female","Counter Fraud","100","100","42940","34370"
"In post","2021","Attorney General's Departments","Female","Digital, Data & Technology","80","70","37550","35290"
"In post","2021","Attorney General's Departments","Female","Finance","80","70","34400","31010"
"In post","2021","Attorney General's Departments","Female","Human Resources","160","150","40560","34400"
"In post","2021","Attorney General's Departments","Female","Legal","5780","5220","43960","48080"
"In post","2021","Attorney General's Departments","Female","No function","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Unknown","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Male","Counter Fraud","150","140","47400","41280"
"In post","2021","Attorney General's Departments","Male","Digital, Data & Technology","100","100","41590","38370"
"In post","2021","Attorney General's Departments","Male","Finance","70","70","39610","31560"
"In post","2021","Attorney General's Departments","Male","Human Resources","60","60","37900","31710"
"In post","2021","Attorney General's Departments","Male","Legal","2940","2860","48430","51250"
"In post","2021","Attorney General's Departments","Male","No function","50","50","[c]","[c]"
"In post","2021","Attorney General's Departments","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Female","Commercial","670","650","66570","62250"
"In post","2021","Cabinet Office","Female","Communications","200","200","46520","42550"
"In post","2021","Cabinet Office","Female","Counter Fraud","50","40","[c]","[c]"
"In post","2021","Cabinet Office","Female","Digital, Data & Technology","420","410","49800","54700"
"In post","2021","Cabinet Office","Female","Finance","40","40","[c]","[c]"
"In post","2021","Cabinet Office","Female","Human Resources","740","690","39170","35590"
"In post","2021","Cabinet Office","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Female","No function","2290","2260","39550","32000"
"In post","2021","Cabinet Office","Female","Project Delivery","90","90","63870","57840"
